id,name,year,basin,n,length_km,extent_km,c_cube,c_ball
AL081968,EDNA,1968,atlantic,31,3778.13,3770.36,2.0131,2.0078
AL041876,UNNAMED,1876,atlantic,26,3370.59,3363.65,2.0328,2.0059
AL031982,BERYL,1982,atlantic,37,4485.44,4459.46,2.037,2.0181
AL051951,DOG,1951,atlantic,38,5883.07,5845.83,2.0621,2.008
EP141983,NARDA,1983,pacific,41,5330.73,5287.25,2.066,2.0237
AL151967,UNNAMED,1967,atlantic,33,4601.23,4585.19,2.0666,2.0058
EP131994,KRISTY,1994,pacific,30,4376.1,4347.9,2.0672,2.0178
AL091932,UNNAMED,1932,atlantic,31,3844.57,3832.75,2.0719,2.0083
AL011906,UNNAMED,1906,atlantic,27,2668.27,2629.38,2.0885,2.0446
AL111898,UNNAMED,1898,atlantic,35,3478.18,3456.57,2.0976,2.0065
EP042009,CARLOS,2009,pacific,27,2740.01,2717.71,2.0983,2.0277
EP062008,ELIDA,2008,pacific,41,5583.94,5535.35,2.1055,2.0212
AL021983,UNNAMED,1983,atlantic,25,3985.93,3955.0,2.1068,2.013
AL081967,UNNAMED,1967,atlantic,25,2850.21,2837.4,2.1075,2.0086
AL031864,UNNAMED,1864,atlantic,26,3958.45,3931.07,2.1103,2.0051
EP061987,FERNANDA,1987,pacific,30,3237.25,3214.84,2.1126,2.023
EP012003,ANDRES,2003,pacific,28,4391.32,4357.21,2.1177,2.024
AL022009,ANA,2009,atlantic,26,3354.2,3334.5,2.1191,2.0158
EP072013,GIL,2013,pacific,32,3328.61,3281.05,2.1258,2.0595
EP062003,FELICIA,2003,pacific,28,4235.37,4206.55,2.1261,2.0141
EP052012,EMILIA,2012,pacific,44,6048.16,6020.71,2.1299,2.0106
AL041911,UNNAMED,1911,atlantic,38,4091.49,4043.06,2.137,2.0209
EP151968,ORLA,1968,pacific,35,3312.71,3242.55,2.151,2.0395
EP081958,UNNAMED,1958,pacific,27,1751.09,1723.13,2.153,2.0223
AL071970,UNNAMED,1970,atlantic,29,4625.96,4520.01,2.1584,2.0254
EP141994,LANE,1994,pacific,28,3664.14,3611.43,2.1689,2.0289
EP162005,SIXTEEN,2005,pacific,26,2118.96,2079.25,2.1713,2.0586
EP041967,DENISE,1967,pacific,49,7703.46,7654.96,2.1729,2.0158
AL091970,DOROTHY,1970,atlantic,25,3688.96,3670.91,2.177,2.0316
EP021991,BLANCA,1991,pacific,30,3089.06,3029.3,2.1791,2.0425
AL111974,UNNAMED,1974,atlantic,37,5997.62,5921.34,2.1796,2.0105
EP021985,BLANCA,1985,pacific,41,3470.3,3433.88,2.184,2.0533
EP131990,JULIO,1990,pacific,32,4291.75,4240.34,2.1848,2.0464
AL081916,UNNAMED,1916,atlantic,26,4721.17,4681.87,2.2007,2.032
EP132011,KENNETH,2011,pacific,31,3643.97,3587.64,2.2055,2.0474
AL051942,UNNAMED,1942,atlantic,32,3535.56,3518.73,2.2072,2.0059
EP131970,MAGGIE,1970,pacific,27,3153.88,3132.29,2.2078,2.0154
AL121878,UNNAMED,1878,atlantic,32,2953.79,2897.46,2.2129,2.0422
EP042006,CARLOTTA,2006,pacific,33,3342.86,3302.28,2.2134,2.0248
EP031991,CARLOS,1991,pacific,45,4480.92,4355.14,2.2153,2.0679
EP052001,DALILA,2001,pacific,31,3162.68,3151.43,2.2173,2.0093
EP042004,CELIA,2004,pacific,30,2596.25,2554.33,2.2174,2.0446
EP031995,BARBARA,1995,pacific,42,4513.65,4483.01,2.2179,2.014
EP041976,DIANA,1976,pacific,30,4851.35,4806.92,2.2208,2.0265
EP041981,DORA,1981,pacific,25,2550.59,2533.21,2.2209,2.0216
AL142000,JOYCE,2000,atlantic,28,3954.96,3891.26,2.223,2.0336
EP042012,DANIEL,2012,pacific,41,5641.33,5611.69,2.2233,2.0173
AL042015,DANNY,2015,atlantic,31,3599.78,3554.3,2.2289,2.0282
AL102008,JOSEPHINE,2008,atlantic,33,3551.4,3463.98,2.2293,2.0687
EP081999,EUGENE,1999,pacific,39,4659.6,4569.89,2.2293,2.0466
AL071931,UNNAMED,1931,atlantic,33,4839.53,4787.65,2.2311,2.023
EP082008,GENEVIEVE,2008,pacific,40,4342.91,4281.84,2.2337,2.0577
EP081991,GUILLERMO,1991,pacific,28,3900.01,3832.58,2.2427,2.0199
AL092010,GASTON,2010,atlantic,30,3918.69,3867.7,2.2515,2.0271
EP031966,CONNIE,1966,pacific,39,3670.97,3606.65,2.2551,2.0341
EP181984,RACHEL,1984,pacific,36,2561.13,2525.89,2.2594,2.0621
EP151990,LOWELL,1990,pacific,36,4377.33,4263.95,2.2636,2.0759
EP081992,GEORGETTE,1992,pacific,48,6843.9,6733.8,2.2708,2.0738
EP031975,CARLOTTA,1975,pacific,35,3223.26,3169.05,2.2725,2.0371
AL131969,FRANCELIA,1969,atlantic,27,3118.82,3062.92,2.2752,2.0514
EP091982,IVA,1982,pacific,30,2868.57,2811.45,2.2791,2.0641
EP091985,IGNACIO,1985,pacific,25,2664.65,2623.13,2.2806,2.0266
EP072011,GREG,2011,pacific,26,3069.51,3033.34,2.2809,2.0218
AL181971,IRENE,1971,atlantic,37,4403.28,4324.59,2.2868,2.0418
EP111993,JOVA,1993,pacific,32,2920.06,2872.3,2.2906,2.0346
EP031968,CELESTE,1968,pacific,27,2831.43,2775.96,2.2915,2.0375
AL042007,DEAN,2007,atlantic,42,7665.49,7541.22,2.2936,2.0177
AL041888,UNNAMED,1888,atlantic,34,3795.44,3714.07,2.3014,2.0402
EP011957,KANOA,1957,pacific,45,5049.43,4985.44,2.3031,2.0324
EP051951,UNNAMED,1951,pacific,29,3882.8,3830.23,2.3032,2.0438
EP031965,AVA,1965,pacific,25,2338.01,2287.6,2.305,2.0339
AL161978,GRETA,1978,atlantic,26,3443.83,3390.99,2.3083,2.0602
EP081988,HECTOR,1988,pacific,41,5063.31,4970.68,2.3108,2.0445
EP121983,LORENA,1983,pacific,34,2949.87,2914.97,2.3156,2.0636
EP061998,ESTELLE,1998,pacific,41,5182.73,5100.51,2.3164,2.0442
AL081931,UNNAMED,1931,atlantic,25,3111.69,3003.4,2.3205,2.0606
EP101982,JOHN,1982,pacific,35,4162.51,4138.25,2.324,2.0184
EP041994,DANIEL,1994,pacific,26,3612.9,3543.39,2.3289,2.0289
EP032006,BUD,2006,pacific,27,3850.77,3836.17,2.329,2.0073
EP052006,DANIEL,2006,pacific,48,4827.47,4753.09,2.3301,2.0343
EP121988,LANE,1988,pacific,38,4613.77,4540.75,2.3311,2.0376
EP101975,JEWEL,1975,pacific,31,3215.6,3151.07,2.332,2.0541
AL042001,CHANTAL,2001,atlantic,33,6102.66,5982.05,2.3324,2.0642
EP071996,DOUGLAS,1996,pacific,33,4448.73,4391.4,2.3377,2.0298
AL141974,FIFI,1974,atlantic,33,4267.58,4215.3,2.3379,2.037
AL051887,UNNAMED,1887,atlantic,36,3887.07,3857.71,2.3384,2.0084
EP051986,ESTELLE,1986,pacific,40,5618.07,5583.38,2.3389,2.013
EP011970,ADELE,1970,pacific,31,3614.78,3541.55,2.3398,2.0493
EP111992,JAVIER,1992,pacific,50,6143.58,6003.59,2.342,2.0518
AL041951,CHARLIE,1951,atlantic,52,6103.12,6024.28,2.3552,2.018
AL091973,CHRISTINE,1973,atlantic,42,5939.49,5737.75,2.3597,2.0466
EP112009,HILDA,2009,pacific,42,4914.43,4783.68,2.3597,2.1219
EP051968,ESTELLE,1968,pacific,33,4290.26,4212.48,2.3602,2.1319
EP051985,ENRIQUE,1985,pacific,35,3860.59,3747.15,2.3631,2.0977
EP052011,EUGENE,2011,pacific,44,4964.27,4858.43,2.3789,2.0682
EP022001,BARBARA,2001,pacific,26,3877.3,3866.29,2.3922,2.0125
EP101970,JOYCE,1970,pacific,25,1771.51,1727.56,2.3989,2.0277
EP071983,GIL,1983,pacific,51,7952.48,7766.39,2.4018,2.0717
EP121970,LORRAINE,1970,pacific,47,5151.91,4976.17,2.4018,2.1198
AL031993,BRET,1993,atlantic,33,5183.95,5122.4,2.4022,2.0223
EP031988,CARLOTTA,1988,pacific,28,2785.89,2715.37,2.411,2.065
EP092008,HERNAN,2008,pacific,41,4412.54,4269.57,2.4154,2.0804
AL061909,UNNAMED,1909,atlantic,34,4698.23,4636.48,2.424,2.0267
EP121982,LANE,1982,pacific,26,3382.92,3337.6,2.4314,2.0316
EP191968,TARA,1968,pacific,33,3732.7,3615.82,2.4341,2.0593
EP081965,FLORENCE,1965,pacific,31,2685.91,2641.43,2.4369,2.0298
EP091975,ILSA,1975,pacific,35,3702.55,3596.11,2.4431,2.0773
AL101955,JANET,1955,atlantic,40,5298.69,5194.39,2.4452,2.036
