curve_A,curve_B,name_A,year_A,name_B,year_B,basin,n_A,n_B,len_A_km,len_B_km,c_cube_A,c_cube_B,c_ball_A,c_ball_B,c_cube_pair,c_ball_pair,frechet_km,discrete_frechet_km,frechet_over_len
EP081969,EP152009,HEATHER,1969,LINDA,2009,pacific,27,38,1664.4,2032.4,2.819,3.322,2.0585,2.5784,3.322,2.5784,153.94,154.36,0.0925
EP041983,EP151967,DALILIA,1983,PRISCILLA,1967,pacific,26,27,3053.3,2883.9,2.6498,2.7901,2.0481,2.0918,2.7901,2.0918,164.11,161.47,0.0569
EP051990,EP151989,ELIDA,1990,LORENA,1989,pacific,26,40,3108.3,3059.6,2.5768,2.6521,2.0222,2.0831,2.6521,2.0831,164.56,161.79,0.0538
EP161990,EP121985,MARIE,1990,LINDA,1985,pacific,55,42,4374.9,4011.0,2.6101,2.7832,2.1778,2.0949,2.7832,2.1778,168.33,174.57,0.042
EP071995,EP061984,FLOSSIE,1995,FAUSTO,1984,pacific,27,27,1994.8,1852.1,2.8638,2.8643,2.0764,2.1482,2.8643,2.1482,169.45,167.78,0.0915
AL021895,AL091887,UNNAMED,1895,UNNAMED,1887,atlantic,36,47,4597.7,4967.3,2.738,2.8733,2.0165,2.1342,2.8733,2.1342,172.87,185.19,0.0376
EP171987,EP072012,RAMON,1987,GILMA,2012,pacific,27,33,2340.8,2276.0,2.8043,3.3391,2.0879,2.6973,3.3391,2.6973,203.16,201.28,0.0893
EP042006,EP051990,CARLOTTA,2006,ELIDA,1990,pacific,33,26,3342.9,3108.3,2.2134,2.5768,2.0248,2.0222,2.5768,2.0248,203.49,200.54,0.0655
AL041951,AL021903,CHARLIE,1951,UNNAMED,1903,atlantic,52,43,6103.1,6318.1,2.3552,2.6122,2.018,2.097,2.6122,2.097,205.74,199.86,0.0337
EP081990,EP101990,GENEVIEVE,1990,ISELLE,1990,pacific,35,38,3670.2,3312.3,2.6803,3.3338,2.0591,2.8177,3.3338,2.8177,211.19,214.4,0.0638
EP121993,EP091990,KENNETH,1993,HERNAN,1990,pacific,50,47,3830.2,3949.3,2.7141,2.7909,2.1322,2.1306,2.7909,2.1322,211.9,212.19,0.0553
EP042006,EP111985,CARLOTTA,2006,KEVIN,1985,pacific,33,36,3342.9,3463.1,2.2134,2.5263,2.0248,2.0471,2.5263,2.0471,214.99,219.92,0.0643
EP131987,EP042002,MAX,1987,CRISTINA,2002,pacific,29,30,2973.4,2784.4,2.9343,2.9566,2.1027,2.2326,2.9566,2.2326,215.42,215.51,0.0774
EP131983,EP181989,MANUEL,1983,OCTAVE,1989,pacific,34,33,3296.2,3136.5,2.7713,2.9085,2.1528,2.3092,2.9085,2.3092,221.97,219.35,0.0708
EP211990,EP152008,RACHEL,1990,NORBERT,2008,pacific,26,38,3194.3,3055.0,2.8494,2.9089,2.4273,2.3288,2.9089,2.4273,224.88,234.85,0.0736
EP092005,EP102008,IRWIN,2005,ISELLE,2008,pacific,34,41,2464.9,2546.8,2.7791,2.9246,2.1019,2.2553,2.9246,2.2553,225.21,224.83,0.0914
EP051979,EP091965,ENRIQUE,1979,GLENDA,1965,pacific,29,37,2719.3,2841.5,2.8486,2.8505,2.0898,2.0503,2.8505,2.0898,228.58,226.12,0.0841
EP031949,EP142014,UNNAMED,1949,NORBERT,2014,pacific,25,35,1751.1,2287.0,4.2162,4.6331,3.8278,4.3671,4.6331,4.3671,229.3,228.69,0.1309
EP101989,EP111983,GIL,1989,KIKO,1983,pacific,27,36,2425.7,2531.4,2.8082,2.8347,2.0463,2.0963,2.8347,2.0963,230.85,228.67,0.0952
EP042006,EP151989,CARLOTTA,2006,LORENA,1989,pacific,33,40,3342.9,3059.6,2.2134,2.6521,2.0248,2.0831,2.6521,2.0831,232.08,229.27,0.0759
AL021892,AL031890,UNNAMED,1892,UNNAMED,1890,atlantic,40,33,6894.2,7166.3,2.7966,2.8258,2.393,2.4197,2.8258,2.4197,233.44,269.88,0.0339
EP031975,EP021969,CARLOTTA,1975,BERNICE,1969,pacific,35,33,3223.3,3454.0,2.2725,2.6418,2.0371,2.1403,2.6418,2.1403,236.84,238.05,0.0735
EP051995,EP212015,DALILA,1995,RICK,2015,pacific,36,33,2395.2,2656.5,2.7656,3.0267,2.2575,2.7244,3.0267,2.7244,238.09,238.08,0.0994
EP092010,EP011969,FRANK,2010,AVA,1969,pacific,30,28,2425.7,2899.2,2.9161,3.0108,2.4849,2.3607,3.0108,2.4849,239.34,237.25,0.0987
EP082008,EP041978,GENEVIEVE,2008,DANIEL,1978,pacific,40,29,4342.9,4135.6,2.2337,2.4797,2.0577,2.0329,2.4797,2.0577,239.77,235.81,0.058
EP071973,EP231990,GLENDA,1973,TRUDY,1990,pacific,25,67,2916.4,3867.9,2.6344,6.0575,2.1244,5.801,6.0575,5.801,242.75,252.86,0.0832
EP162003,EP012002,PATRICIA,2003,ALMA,2002,pacific,25,31,1817.2,2231.6,2.8272,3.3669,2.093,2.7706,3.3669,2.7706,246.35,245.76,0.1356
EP011976,EP021984,ANNETTE,1976,BORIS,1984,pacific,44,82,2765.1,3497.3,4.5613,5.3132,4.0,4.6325,5.3132,4.6325,250.14,249.5,0.0905
EP012003,EP051968,ANDRES,2003,ESTELLE,1968,pacific,28,33,4391.3,4290.3,2.1177,2.3602,2.024,2.1319,2.3602,2.1319,253.58,249.47,0.0591
EP101970,EP081954,JOYCE,1970,UNNAMED,1954,pacific,25,27,1771.5,2334.9,2.3989,2.7349,2.0277,2.1917,2.7349,2.1917,254.16,252.49,0.1435
EP051951,EP091975,UNNAMED,1951,ILSA,1975,pacific,29,35,3882.8,3702.5,2.3032,2.4431,2.0438,2.0773,2.4431,2.0773,255.6,260.29,0.069
EP131970,EP102015,MAGGIE,1970,HILDA,2015,pacific,27,36,3153.9,3401.7,2.2078,3.3556,2.0154,2.6093,3.3556,2.6093,257.89,255.0,0.0818
EP041983,EP091972,DALILIA,1983,IVA,1972,pacific,26,33,3053.3,2969.9,2.6498,2.7878,2.0481,2.1127,2.7878,2.1127,259.66,263.49,0.0874
EP191985,EP071972,TERRY,1985,GWEN,1972,pacific,37,37,3239.6,3423.8,2.8053,2.8603,2.0796,2.1205,2.8603,2.1205,263.29,261.04,0.0813
EP112007,EP091993,HENRIETTE,2007,HILARY,1993,pacific,30,42,2676.4,3269.0,2.6406,5.238,2.103,4.5742,5.238,4.5742,263.39,261.07,0.0984
EP031995,EP111968,BARBARA,1995,KATHLEEN,1968,pacific,42,41,4513.7,4830.7,2.2179,2.5014,2.014,2.0933,2.5014,2.0933,265.41,267.2,0.0588
EP131983,EP071972,MANUEL,1983,GWEN,1972,pacific,34,37,3296.2,3423.8,2.7713,2.8603,2.1528,2.1205,2.8603,2.1528,265.5,266.36,0.0805
