metric,available,applicable_attempts,missing,not_applicable
selected_indices_A,345,386,41,0
selected_indices_B,345,386,41,0
coupling_distance,345,386,41,0
continuous_A_lower,343,386,43,0
continuous_B_upper,343,386,43,0
auxiliary_A,164,196,32,190
auxiliary_B,164,196,32,190
extended_vertices_A,142,196,54,190
dense_states_A,142,196,54,190
active_states_A,142,196,54,190
edges_including_waits_A,142,196,54,190
construction_completed_A,142,196,54,190
states,178,196,18,190
states_dequeued,162,196,34,190
processed_states_lower_bound,162,196,34,190
queue_size,162,196,34,190
transitions,178,196,18,190
unique_configuration_edges,0,196,196,190
dynamic_programming_labels,0,196,196,190
warmup_seconds,366,386,20,0
solver_seconds,366,386,20,0
validation_seconds,309,386,77,0
optional_measurement_seconds,307,386,79,0
total_process_seconds,386,386,0,0
peak_rss_mib,370,386,16,0
