domain,pair,nA,nB,input_file,input_sha256,inherited,units,subsampling,alignment,basin,individuals,features,source_record,eligible,coverage_cohort,nA_full,nB_full,paper_reported_B,B_fragments,A_author_chain,B_author_chain,model,existing_prepared,blocked_reason,gap_policy,source_coordinate_rounding_A,source_rigid_distance_discrepancies,source_files,s_A,s_B,delta3,delta1,delta2,source_hashes,alignment_record,standardized_features,size_band,selection_score,exclusion_reason,max_length,length_ratio,size_quartile,ratio_group,stratum,reused_prior_storms,reused_current_storms,selection_order,tie_pool_size,pair_alias
protein,1o7j.a__1d9q.d,22,22,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,True,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '1d9q']","[3.091042453358316, 0.0, 0.10189298468465235, 0.0057776121369231236]","{'pair': '1o7j.a/1d9q.d', 'chain_A': '1o7j.a', 'chain_B': '1d9q.d', 'frame': 'aligned', 'w': 16, 'superimposed': True, 'n_A': 22, 'n_B': 22, 'n_before': 325, 'edge_mean': 19.578, 'dF_discrete': 47.964, 'dF_continuous': 47.965, 'feasibility_floor': 47.964, 'delta3': 48.0, 'feasible': True, 'endpoint_floor': 47.964, 'delta1_alpha1': 19.578, 'delta1_alpha2': 39.157, 'delta1_alpha4': 78.313}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1
protein,1o7j.a__1hfj.c,22,22,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,True,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '1hfj']","[3.091042453358316, 0.0, 0.08870624089209793, 7.324767421835017e-05]","{'pair': '1o7j.a/1hfj.c', 'chain_A': '1o7j.a', 'chain_B': '1hfj.c', 'frame': 'aligned', 'w': 16, 'superimposed': True, 'n_A': 22, 'n_B': 22, 'n_before': 325, 'edge_mean': 19.014, 'dF_discrete': 0.999, 'dF_continuous': 0.999, 'feasibility_floor': 0.495, 'delta3': 1.0, 'feasible': True, 'endpoint_floor': 0.495, 'delta1_alpha1': 19.014, 'delta1_alpha2': 38.029, 'delta1_alpha4': 76.058}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2
protein,1o7j.a__1qd1.b,22,22,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,False,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '1qd1']","[3.091042453358316, 0.0, 0.05818031930629271, 0.00736127613281789]","{'pair': '1o7j.a/1qd1.b', 'chain_A': '1o7j.a', 'chain_B': '1qd1.b', 'frame': 'aligned', 'w': 16, 'superimposed': True, 'n_A': 22, 'n_B': 22, 'n_before': 325, 'edge_mean': 20.367, 'dF_discrete': 35.979, 'dF_continuous': 35.979, 'feasibility_floor': 35.979, 'delta3': 36.0, 'feasible': True, 'endpoint_floor': 35.979, 'delta1_alpha1': 20.367, 'delta1_alpha2': 40.735, 'delta1_alpha4': 81.469}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3
protein,1o7j.a__4eca.d,22,22,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,False,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '4eca']","[3.091042453358316, 0.0, 0.08954940034295641, 0.004551817695411999]","{'pair': '1o7j.a/4eca.d', 'chain_A': '1o7j.a', 'chain_B': '4eca.d', 'frame': 'aligned', 'w': 16, 'superimposed': True, 'n_A': 22, 'n_B': 22, 'n_before': 325, 'edge_mean': 18.258, 'dF_discrete': 15.364, 'dF_continuous': 14.66, 'feasibility_floor': 4.452, 'delta3': 16.0, 'feasible': True, 'endpoint_floor': 4.452, 'delta1_alpha1': 18.258, 'delta1_alpha2': 36.515, 'delta1_alpha4': 73.03}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4
protein,1o7j.a__1toh.a,22,22,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,False,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '1toh']","[3.091042453358316, 0.0, 0.10600026296780272, 0.0053107038527976085]","{'pair': '1o7j.a/1toh.a', 'chain_A': '1o7j.a', 'chain_B': '1toh.a', 'frame': 'aligned', 'w': 16, 'superimposed': True, 'n_A': 22, 'n_B': 22, 'n_before': 325, 'edge_mean': 19.823, 'dF_discrete': 37.128, 'dF_continuous': 37.128, 'feasibility_floor': 37.128, 'delta3': 38.0, 'feasible': True, 'endpoint_floor': 37.128, 'delta1_alpha1': 19.823, 'delta1_alpha2': 39.646, 'delta1_alpha4': 79.291}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P5
hurricane,AL031854__AL011991,25,25,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,True,projected km,none; full supplied track,supplied common basin coordinates; no alignment,atlantic,"['AL031854', 'AL011991']","[3.2188758248682006, 0.0, 0.7379658080645005, 0.09640061137208297]","{'curve_A': 'AL031854', 'curve_B': 'AL011991', 'name_A': 'UNNAMED', 'year_A': 1854, 'name_B': 'ANA', 'year_B': 1991, 'basin': 'atlantic', 'n_A': 25, 'n_B': 25, 'len_A_km': 4093.2, 'len_B_km': 3936.8, 'c_cube_A': 2.7976, 'c_cube_B': 3.1256, 'c_ball_A': 2.4558, 'c_ball_B': 2.7865, 'c_cube_pair': 3.1256, 'c_ball_pair': 2.7865, 'frechet_km': 429.21, 'discrete_frechet_km': 426.18, 'frechet_over_len': 0.109}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H1
hurricane,EP021949__EP031949,25,25,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,True,projected km,none; full supplied track,supplied common basin coordinates; no alignment,pacific,"['EP021949', 'EP031949']","[3.2188758248682006, 0.0, 0.8909414761803294, 0.2597469741417784]","{'curve_A': 'EP021949', 'curve_B': 'EP031949', 'name_A': 'UNNAMED', 'year_A': 1949, 'name_B': 'UNNAMED', 'year_B': 1949, 'basin': 'pacific', 'n_A': 25, 'n_B': 25, 'len_A_km': 1932.2, 'len_B_km': 1751.1, 'c_cube_A': 2.8231, 'c_cube_B': 4.2162, 'c_ball_A': 2.1257, 'c_ball_B': 3.8278, 'c_cube_pair': 4.2162, 'c_ball_pair': 3.8278, 'frechet_km': 564.4, 'discrete_frechet_km': 565.34, 'frechet_over_len': 0.3223}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2
hurricane,EP111954__EP021984,25,82,output\paper_v1\expanded_comparison\inputs\hurricane_EP111954__EP021984.npz,f6f69328452dbeb2c9b701abdb3760ce7a95f9de1a53ed1dcbd1261aa4023d20,False,projected km,none; full supplied track,supplied common basin coordinates; no alignment,pacific,"['EP111954', 'EP021984']","[4.406719247264253, 1.1878434223960523, 0.8415873085651769, 0.024185614791877082]","{'curve_A': 'EP111954', 'curve_B': 'EP021984', 'name_A': 'UNNAMED', 'year_A': 1954, 'name_B': 'BORIS', 'year_B': 1984, 'basin': 'pacific', 'n_A': 25, 'n_B': 82, 'len_A_km': 3004.4, 'len_B_km': 3497.3, 'c_cube_A': 2.4601, 'c_cube_B': 5.3132, 'c_ball_A': 2.0571, 'c_ball_B': 4.6325, 'c_cube_pair': 5.3132, 'c_ball_pair': 4.6325, 'frechet_km': 411.56, 'discrete_frechet_km': 411.75, 'frechet_over_len': 0.137}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3
hurricane,AL072006__AL011900,62,81,output\paper_v1\expanded_comparison\inputs\hurricane_AL072006__AL011900.npz,d1c7ae57c312b1c5a78b6a809f85412f79e79e9cffd6209bda018544b7cd301f,False,projected km,none; full supplied track,supplied common basin coordinates; no alignment,atlantic,"['AL072006', 'AL011900']","[4.394449154672439, 0.2673147696273472, 0.4683266220041641, 0.18070207212625938]","{'curve_A': 'AL072006', 'curve_B': 'AL011900', 'name_A': 'FLORENCE', 'year_A': 2006, 'name_B': 'UNNAMED', 'year_B': 1900, 'basin': 'atlantic', 'n_A': 62, 'n_B': 81, 'len_A_km': 10175.8, 'len_B_km': 12985.4, 'c_cube_A': 3.6036, 'c_cube_B': 3.9068, 'c_ball_A': 3.043, 'c_ball_B': 3.2854, 'c_cube_pair': 3.9068, 'c_ball_pair': 3.2854, 'frechet_km': 2973.45, 'discrete_frechet_km': 2969.78, 'frechet_over_len': 0.2922}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H4
hurricane,EP012014__EP212006,30,29,output\paper_v1\expanded_comparison\inputs\hurricane_EP012014__EP212006.npz,b1ea8828119b71374fb3be9b07b5e3d7cd5ed7f81701351d279a01dd32677ddf,False,projected km,none; full supplied track,supplied common basin coordinates; no alignment,pacific,"['EP012014', 'EP212006']","[3.4011973816621555, 0.033901551675681416, 0.5313800185411821, 0.5557457631933547]","{'curve_A': 'EP012014', 'curve_B': 'EP212006', 'name_A': 'AMANDA', 'year_A': 2014, 'name_B': 'SERGIO', 'year_B': 2006, 'basin': 'pacific', 'n_A': 30, 'n_B': 29, 'len_A_km': 1281.1, 'len_B_km': 1163.3, 'c_cube_A': 3.7335, 'c_cube_B': 4.5437, 'c_ball_A': 3.3889, 'c_ball_B': 3.941, 'c_cube_pair': 4.5437, 'c_ball_pair': 3.941, 'frechet_km': 628.93, 'discrete_frechet_km': 628.9, 'frechet_over_len': 0.5406}",True,original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H5
