domain,identity,identity_type,pair_count,pairs
protein,1o7j,PDB structure,14,"[""1o7j.a__1d9q.d"", ""1o7j.a__1hfj.c"", ""1o7j.a__1qd1.b"", ""1o7j.a__4eca.d"", ""1o7j.a__1toh.a"", ""1o7j.a__4eca.b"", ""1o7j.a__4eca.c"", ""1o7j.a__3ntx.a"", ""1o7j.a__1wls.a"", ""1o7j.a__2eq5.a"", ""1o7j.a__2zsk.a"", ""1o7j.a__1zq1.a"", ""1o7j.a__3jq0.a"", ""1o7j.a__2fep.a""]"
protein,1d9q,PDB structure,1,"[""1o7j.a__1d9q.d""]"
protein,1hfj,PDB structure,1,"[""1o7j.a__1hfj.c""]"
protein,1qd1,PDB structure,1,"[""1o7j.a__1qd1.b""]"
protein,4eca,PDB structure,3,"[""1o7j.a__4eca.d"", ""1o7j.a__4eca.b"", ""1o7j.a__4eca.c""]"
protein,1toh,PDB structure,1,"[""1o7j.a__1toh.a""]"
protein,3ntx,PDB structure,1,"[""1o7j.a__3ntx.a""]"
protein,1wls,PDB structure,1,"[""1o7j.a__1wls.a""]"
protein,2eq5,PDB structure,1,"[""1o7j.a__2eq5.a""]"
protein,2zsk,PDB structure,1,"[""1o7j.a__2zsk.a""]"
protein,1zq1,PDB structure,1,"[""1o7j.a__1zq1.a""]"
protein,3jq0,PDB structure,1,"[""1o7j.a__3jq0.a""]"
protein,2fep,PDB structure,1,"[""1o7j.a__2fep.a""]"
hurricane,AL031854,storm,1,"[""AL031854__AL011991""]"
hurricane,AL011991,storm,1,"[""AL031854__AL011991""]"
hurricane,EP021949,storm,1,"[""EP021949__EP031949""]"
hurricane,EP031949,storm,1,"[""EP021949__EP031949""]"
hurricane,EP111954,storm,1,"[""EP111954__EP021984""]"
hurricane,EP021984,storm,1,"[""EP111954__EP021984""]"
hurricane,AL072006,storm,1,"[""AL072006__AL011900""]"
hurricane,AL011900,storm,1,"[""AL072006__AL011900""]"
hurricane,EP012014,storm,1,"[""EP012014__EP212006""]"
hurricane,EP212006,storm,1,"[""EP012014__EP212006""]"
hurricane,AL182011,storm,1,"[""AL182011__AL061926""]"
hurricane,AL061926,storm,1,"[""AL182011__AL061926""]"
hurricane,EP141997,storm,1,"[""EP141997__EP092000""]"
hurricane,EP092000,storm,1,"[""EP141997__EP092000""]"
hurricane,EP211990,storm,1,"[""EP211990__EP152008""]"
hurricane,EP152008,storm,1,"[""EP211990__EP152008""]"
hurricane,EP041981,storm,1,"[""EP041981__EP211992""]"
hurricane,EP211992,storm,1,"[""EP041981__EP211992""]"
hurricane,AL181887,storm,1,"[""AL181887__AL091888""]"
hurricane,AL091888,storm,1,"[""AL181887__AL091888""]"
hurricane,EP172000,storm,1,"[""EP172000__EP061970""]"
hurricane,EP061970,storm,1,"[""EP172000__EP061970""]"
hurricane,EP111995,storm,1,"[""EP111995__EP032014""]"
hurricane,EP032014,storm,1,"[""EP111995__EP032014""]"
hurricane,EP061986,storm,1,"[""EP061986__EP131991""]"
hurricane,EP131991,storm,1,"[""EP061986__EP131991""]"
hurricane,EP092002,storm,1,"[""EP092002__EP171994""]"
hurricane,EP171994,storm,1,"[""EP092002__EP171994""]"
hurricane,AL091944,storm,1,"[""AL091944__AL031917""]"
hurricane,AL031917,storm,1,"[""AL091944__AL031917""]"
hurricane,EP101985,storm,1,"[""EP101985__EP151985""]"
hurricane,EP151985,storm,1,"[""EP101985__EP151985""]"
hurricane,EP031965,storm,1,"[""EP031965__EP141991""]"
hurricane,EP141991,storm,1,"[""EP031965__EP141991""]"
hurricane,AL061921,storm,1,"[""AL061921__AL101926""]"
hurricane,AL101926,storm,1,"[""AL061921__AL101926""]"
hurricane,EP041976,storm,1,"[""EP041976__EP041984""]"
hurricane,EP041984,storm,1,"[""EP041976__EP041984""]"
hurricane,EP081967,storm,1,"[""EP081967__EP101980""]"
hurricane,EP101980,storm,1,"[""EP081967__EP101980""]"
hurricane,EP031994,storm,1,"[""EP031994__EP031978""]"
hurricane,EP031978,storm,1,"[""EP031994__EP031978""]"
hurricane,EP021985,storm,1,"[""EP021985__EP181984""]"
hurricane,EP181984,storm,1,"[""EP021985__EP181984""]"
hurricane,AL101886,storm,1,"[""AL101886__AL051950""]"
hurricane,AL051950,storm,1,"[""AL101886__AL051950""]"
hurricane,AL091947,storm,1,"[""AL091947__AL011953""]"
hurricane,AL011953,storm,1,"[""AL091947__AL011953""]"
hurricane,EP072011,storm,1,"[""EP072011__EP092011""]"
hurricane,EP092011,storm,1,"[""EP072011__EP092011""]"
hurricane,AL171980,storm,1,"[""AL171980__AL112009""]"
hurricane,AL112009,storm,1,"[""AL171980__AL112009""]"
hurricane,AL102008,storm,1,"[""AL102008__AL061989""]"
hurricane,AL061989,storm,1,"[""AL102008__AL061989""]"
hurricane,EP102002,storm,1,"[""EP102002__EP042014""]"
hurricane,EP042014,storm,1,"[""EP102002__EP042014""]"
hurricane,EP032000,storm,1,"[""EP032000__EP041975""]"
hurricane,EP041975,storm,1,"[""EP032000__EP041975""]"
hurricane,EP081993,storm,1,"[""EP081993__EP121989""]"
hurricane,EP121989,storm,1,"[""EP081993__EP121989""]"
hurricane,EP032006,storm,1,"[""EP032006__EP201992""]"
hurricane,EP201992,storm,1,"[""EP032006__EP201992""]"
hurricane,AL022011,storm,1,"[""AL022011__AL071977""]"
hurricane,AL071977,storm,1,"[""AL022011__AL071977""]"
hurricane,EP101972,storm,1,"[""EP101972__EP141967""]"
hurricane,EP141967,storm,1,"[""EP101972__EP141967""]"
