configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,raw_kA,raw_kB,raw_k,observation_cohort,eligible,blocked_reason,reuse_path
protein:1o7j.a__4eca.b:a0.5|Independent continuous,1,protein,1o7j.a__4eca.b,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.b.npz,87bc3a01b5c6351d83a9d76da5b2f97dc170b6c90e59a9fad4988458a096ada9,Independent continuous,0.5,9.476499139682725,8.792921091444232,15.18472410022651,new,output\paper_v1\coverage_extension\slots\01\attempts\coverage01_d94227c44bea4b4dbb3c4cbc789da96b,validated,True,False,16.0,18.0,18.0,0.7272727272727273,0.8181818181818182,0.7727272727272727,0.009915699978591874,0.002503999974578619,8.864673500007484,9.573509600013494,211.6015625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,18.13889506006361,False,e25c4ec8d338d7c67db351fd44e716db6303d0e1c9f9b6645d36d1671fefba2c,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,16.0,18.0,18.0,coverage_extension single observation,,,
protein:1o7j.a__4eca.b:a0.5|Independent discrete,2,protein,1o7j.a__4eca.b,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.b.npz,87bc3a01b5c6351d83a9d76da5b2f97dc170b6c90e59a9fad4988458a096ada9,Independent discrete,0.5,9.476499139682725,8.792921091444232,15.18472410022651,new,output\paper_v1\coverage_extension\slots\02\attempts\coverage02_4da3238292e54b4999fe790bf1e2586a,validated,True,False,20.0,21.0,21.0,0.9090909090909091,0.9545454545454546,0.9318181818181818,0.009742499998537824,0.003505200002109632,6.9745597000001,7.681761899992125,193.91796875,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,15.18472410022651,True,0ed9e0c93264e09b5559a2ddb8eaec1224dc34f4a457b9a5c471b23cbed138d1,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,20.0,21.0,21.0,coverage_extension single observation,,,
protein:1o7j.a__4eca.b:a0.5|CPS-2F,3,protein,1o7j.a__4eca.b,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.b.npz,87bc3a01b5c6351d83a9d76da5b2f97dc170b6c90e59a9fad4988458a096ada9,CPS-2F,0.5,9.476499139682725,8.792921091444232,15.18472410022651,new,output\paper_v1\coverage_extension\slots\03\attempts\coverage03_7089725cc44342a1bffd2ef8ac5f17a3,validated,True,False,17.0,18.0,18.0,0.7727272727272727,0.8181818181818182,0.7954545454545454,0.47966410001390614,0.00308620001305826,11.885134299984202,13.169559499976458,220.19921875,2419.0,285153.0,2419.0,2418.0,0.0,2.0,True,configuration_graph,True,validated,,15.18472410022651,True,c76e942dcc11c281648d287f890a577543e2bf92a8f5adc2fdd5683c11299cff,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,17.0,18.0,18.0,coverage_extension single observation,,,
protein:1o7j.a__4eca.b:a0.5|CPS-3F,4,protein,1o7j.a__4eca.b,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.b.npz,87bc3a01b5c6351d83a9d76da5b2f97dc170b6c90e59a9fad4988458a096ada9,CPS-3F,0.5,9.476499139682725,8.792921091444232,15.18472410022651,new,output\paper_v1\coverage_extension\slots\04\attempts\coverage04_b29e35efdd404a5b9a18e13afa304f94,validated,True,False,20.0,21.0,21.0,0.9090909090909091,0.9545454545454546,0.9318181818181818,0.029470200010109693,0.0035361999762244523,7.27725049998844,8.027818000002299,194.93359375,109.0,638.0,109.0,108.0,0.0,2.0,True,configuration_graph,True,validated,,15.18472410022651,True,82cf8072cb70a0d1ee371944d8b75476630f8e9fcd00499a33236fd58e3fdfb2,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,20.0,21.0,21.0,coverage_extension single observation,,,
protein:1o7j.a__4eca.c:a0.5|Independent continuous,5,protein,1o7j.a__4eca.c,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.c.npz,39de7ee2c8cc32da7607c02a6a91687aee0a5a0c52ac9c2a56c4ff02fb4de066,Independent continuous,0.5,9.476499139682725,8.829933213766195,15.338020113430543,new,output\paper_v1\coverage_extension\slots\05\attempts\coverage05_e9c41696ba26406aaebbe392d840bf8b,validated,True,False,16.0,18.0,18.0,0.7272727272727273,0.8181818181818182,0.7727272727272727,0.011573600000701845,0.004236499982653186,10.031237999995938,10.770212100003846,211.34375,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,18.140424388640966,False,35daf6c10812ac5c8db2bdb6d5227958ef5296227c86ffd2af1b000d787a8d25,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,16.0,18.0,18.0,coverage_extension single observation,,,
protein:1o7j.a__4eca.c:a0.5|Independent discrete,6,protein,1o7j.a__4eca.c,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.c.npz,39de7ee2c8cc32da7607c02a6a91687aee0a5a0c52ac9c2a56c4ff02fb4de066,Independent discrete,0.5,9.476499139682725,8.829933213766195,15.338020113430543,new,output\paper_v1\coverage_extension\slots\06\attempts\coverage06_b0d1afea28de4991a07496944c419dce,validated,True,False,20.0,21.0,21.0,0.9090909090909091,0.9545454545454546,0.9318181818181818,0.006048499984899536,0.0030377999937627465,6.612687499989988,7.366070200019749,194.4453125,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,15.338020113430543,True,7445074d5dd64e3742e13548b8708342fbc0b4ce6eb0d9fcc44fdfd922758a86,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,20.0,21.0,21.0,coverage_extension single observation,,,
protein:1o7j.a__4eca.c:a0.5|CPS-2F,7,protein,1o7j.a__4eca.c,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.c.npz,39de7ee2c8cc32da7607c02a6a91687aee0a5a0c52ac9c2a56c4ff02fb4de066,CPS-2F,0.5,9.476499139682725,8.829933213766195,15.338020113430543,new,output\paper_v1\coverage_extension\slots\07\attempts\coverage07_0f8bde73980c4f1788a9ad0fca35b21e,validated,True,False,17.0,18.0,18.0,0.7727272727272727,0.8181818181818182,0.7954545454545454,0.5059389999951236,0.002650999987963587,10.975123699987307,12.27269179999712,220.37890625,2448.0,290104.0,2448.0,2447.0,0.0,2.0,True,configuration_graph,True,validated,,15.338020113430543,True,aee6159870d45975a7ae8d6ffe09bf7727140e579eae6ee93f1efe032ec7e8c2,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,17.0,18.0,18.0,coverage_extension single observation,,,
protein:1o7j.a__4eca.c:a0.5|CPS-3F,8,protein,1o7j.a__4eca.c,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.c.npz,39de7ee2c8cc32da7607c02a6a91687aee0a5a0c52ac9c2a56c4ff02fb4de066,CPS-3F,0.5,9.476499139682725,8.829933213766195,15.338020113430543,new,output\paper_v1\coverage_extension\slots\08\attempts\coverage08_0414cf2ed27848009d87d0c4750feb50,validated,True,False,20.0,21.0,21.0,0.9090909090909091,0.9545454545454546,0.9318181818181818,0.06265390000771731,0.0105061000213027,10.39232750001247,11.428423399978783,195.47265625,109.0,638.0,109.0,108.0,0.0,2.0,True,configuration_graph,True,validated,,15.338020113430543,True,46196463881282162be0b706e967fd43d8d657b1014330424f2f2ed4597faad0,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,20.0,21.0,21.0,coverage_extension single observation,,,
protein:1o7j.a__3ntx.a:a0.5|Independent continuous,9,protein,1o7j.a__3ntx.a,22,22,angstrom,,,Independent continuous,0.5,,,,blocked,,preparation_blocked,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparation_blocked,,,,coverage_extension single observation,False,Internal chain break(s); no existing uncropped whole-chain gap-handling policy. Existing preparation splits fragments; cropping/bridging not introduced.,
protein:1o7j.a__3ntx.a:a0.5|Independent discrete,10,protein,1o7j.a__3ntx.a,22,22,angstrom,,,Independent discrete,0.5,,,,blocked,,preparation_blocked,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparation_blocked,,,,coverage_extension single observation,False,Internal chain break(s); no existing uncropped whole-chain gap-handling policy. Existing preparation splits fragments; cropping/bridging not introduced.,
