configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,validation_recovery_path,original_validation_seconds,original_limiting_phase,original_origin,observation_cohort,raw_kA,raw_kB,raw_k
hurricane:AL031854__AL011991:a1|Independent discrete,5,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent discrete,1.0,170.55199340819394,164.03192020188183,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\05\attempts\slot05_0c387ea78eff44e9945f07128b393bb1,validated,True,False,16.0,15.0,16.0,0.64,0.6,0.62,0.007855900010326877,0.002224199997726828,6.39905269999872,7.008896800020011,193.84765625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,426.1842176844774,True,514507b665378c586cc7fbadf486fd68c11ed788a170bef919a9d83430f92c31,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,16.0,15.0,16.0
hurricane:AL031854__AL011991:a1|CPS-2F,6,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-2F,1.0,170.55199340819394,164.03192020188183,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\06\attempts\slot06_e21c1ee13d734cd8b59abf9e4a4a1dd4,transition_budget_limit,False,True,,,,,,,26.11367779999273,,10.030124200013233,36.77083519997541,233.32421875,16327.0,20000001.0,2579.0,2578.0,13748.0,2.0,True,configuration_graph,False,not_run_no_solution,solver / configuration_graph,,,,False,55.0,800000 main,transition_budget_limit,worker_exited,product transition budget exceeded,time_to_termination,transition_budget_limit,,,,new,inherited unified pilot,,,
hurricane:AL031854__AL011991:a1|CPS-3F,7,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-3F,1.0,170.55199340819394,164.03192020188183,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\07\attempts\slot07_61a62b3628834eafbcd97bd272a0369e,validated,True,False,16.0,15.0,16.0,0.64,0.6,0.62,0.12340800001402386,0.002961599995614961,6.648508499987656,7.479838200000813,195.66015625,1742.0,49344.0,1742.0,1741.0,0.0,2.0,True,configuration_graph,True,validated,,426.1842176844774,True,d56076a8da58a240f13af130220e0f58d0dcb862e3f11ca1a45d409d982eccc3,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,16.0,15.0,16.0
hurricane:AL031854__AL011991:a1|Independent continuous,8,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent continuous,1.0,170.55199340819394,164.03192020188183,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\08\attempts\slot08_e87dd29030384a46a88e8329ed149094,validated,True,False,4.0,4.0,4.0,0.16,0.16,0.16,0.011623500002315268,0.0012256000190973282,8.924852199997986,9.676991999993334,211.06640625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,465.82897638768674,False,744b0b329f04d1814a1fe9b5ce635a9e07308a429468e898e84cd9572d631766,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,4.0,4.0,4.0
hurricane:EP021949__EP031949:a1|CPS-3F,13,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-3F,1.0,80.51014757430335,72.96314160303547,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\13\attempts\slot13_288bd832f6b34a6ca19d5e091f46554e,validated,True,False,15.0,15.0,15.0,0.6,0.6,0.6,0.04053950001252815,0.0022510999988298863,6.468313799996395,7.160618699999759,194.44140625,575.0,5345.0,575.0,574.0,0.0,2.0,True,configuration_graph,True,validated,,563.7413269498431,True,62ec34d85e7509991bd8bb4efe179d3ea9dcbecdc28c231176cc23639d917409,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,15.0,15.0,15.0
hurricane:EP021949__EP031949:a1|Independent continuous,14,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent continuous,1.0,80.51014757430335,72.96314160303547,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\14\attempts\slot14_611e60f8a5fe4cb1ad7a48a443a2692b,validated,True,False,4.0,2.0,4.0,0.16,0.08,0.12,0.011792500008596107,0.0007754999969620258,8.813192899979185,9.482673999998951,211.37890625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,674.8358646699581,False,c37186572be0ef62e36071e93e84a5062dfcfee4e3d5fa74a7fce3ff9a206498,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,4.0,2.0,4.0
hurricane:EP021949__EP031949:a1|Independent discrete,15,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent discrete,1.0,80.51014757430335,72.96314160303547,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\15\attempts\slot15_452824b437124977b5f90387d2ceee8f,validated,True,False,15.0,15.0,15.0,0.6,0.6,0.6,0.007874000002630055,0.002023300010478124,6.4278747999924235,7.063077099999646,194.2421875,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,563.7413269498431,True,e92e432a570c84a98e087e4236266c4f36cdd568b763d164c2e4e7d540d055d8,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,15.0,15.0,15.0
hurricane:EP021949__EP031949:a1|CPS-2F,16,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-2F,1.0,80.51014757430335,72.96314160303547,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\16\attempts\slot16_717d93cece42448796adbcb4b4004ad9,validated,True,False,4.0,3.0,4.0,0.16,0.12,0.14,20.406551200023387,0.0010115999903064221,10.085321400023531,31.147200500010513,228.22265625,6765.0,8661251.0,6765.0,6764.0,0.0,2.0,True,configuration_graph,True,validated,,565.2413194096216,True,98c15370ae0bc63e2a88f3062e577fc5abba7910fe2ee45385a68082cd1cfa81,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,4.0,3.0,4.0
protein:1o7j.a__1d9q.d:a1|Independent discrete,21,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent discrete,1.0,18.95299827936545,20.20350417600859,47.96448297438429,reused,output\paper_v1\unified_pilot_results\slots\21\attempts\slot21_7a5b9ca5e8bc48798aa10f36bf10a98d,validated,True,False,5.0,13.0,13.0,0.22727272727272727,0.5909090909090909,0.4090909090909091,0.01207659998908639,0.33414449999690987,6.860692200018093,10.358729600004153,214.3359375,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,47.96448297438429,True,01e355fb3bdd1b4775bec80b9aa36f46af1de1f3fce33e6baad683ceee9c6b67,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,5.0,13.0,13.0
protein:1o7j.a__1d9q.d:a1|CPS-2F,22,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-2F,1.0,18.95299827936545,20.20350417600859,47.96448297438429,reused,output\paper_v1\unified_pilot_results\slots\22\attempts\slot22_739086777aba470a8481508806d02f99,state_budget_limit,False,True,,,,,,,11.772574400005396,,10.606693999987328,23.11563399998704,346.3359375,100000.0,9667290.0,953.0,952.0,99047.0,2.0,True,configuration_graph,False,not_run_no_solution,solver / configuration_graph,,,,False,55.0,800000 main,state_budget_limit,worker_exited,reachable configuration budget exceeded,time_to_termination,state_budget_limit,,,,new,inherited unified pilot,,,
protein:1o7j.a__1d9q.d:a1|CPS-3F,23,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-3F,1.0,18.95299827936545,20.20350417600859,47.96448297438429,reused,output\paper_v1\unified_pilot_results\slots\23\attempts\slot23_b83adb2f114340e2b1e0482117050c66,validated,True,False,5.0,13.0,13.0,0.22727272727272727,0.5909090909090909,0.4090909090909091,0.3468277000065427,0.35955880000256,6.432332800002769,10.266192999988561,212.23828125,5038.0,131421.0,5038.0,5037.0,0.0,2.0,True,configuration_graph,True,validated,,47.96448297438429,True,eb3585c1b01508aff1a1dfe4564d906d76bec7f5f67594290a848026ffddcbaa,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,5.0,13.0,13.0
protein:1o7j.a__1d9q.d:a1|Independent continuous,24,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent continuous,1.0,18.95299827936545,20.20350417600859,47.96448297438429,reused,output\paper_v1\unified_pilot_results\slots\24\attempts\slot24_31c363917f9e45649d2c0f71b859a6eb,validated,True,False,5.0,6.0,6.0,0.22727272727272727,0.2727272727272727,0.25,0.009043199999723583,2.0224007999931928,9.053696699993452,12.144261399982497,227.71484375,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,47.96448297438429,True,d06c22543bada7fa8354f265eea224574bee77a48eb2d413f532dbdc50dee5dc,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,5.0,6.0,6.0
protein:1o7j.a__1hfj.c:a1|CPS-3F,29,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-3F,1.0,18.95299827936545,19.07576340534633,0.9993252723713152,reused,output\paper_v1\unified_pilot_results\slots\29\attempts\slot29_29c4c84cb8ba494c9ab2694cf23b39ac,validated,True,False,5.0,5.0,5.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.04356829999596812,0.3559338999912143,6.570836800005054,10.118433600000571,216.5625,456.0,3210.0,456.0,455.0,0.0,2.0,True,configuration_graph,True,validated,,0.4952938521726262,True,4f6b14fe2c0cb097b3bd99fe462ea0c15789127fd9bc44257b63d2ca1a947e6b,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,5.0,5.0,5.0
