pair,domain,alpha,method,baseline,delta1,delta2,delta3,joint_status,baseline_status,matched_validated,k_joint,k_baseline,vertex_cost,baseline_coupling_feasible,joint_attempt,baseline_attempt
AL031854__AL011991,hurricane,0.5,CPS-2F,Independent continuous,85.27599670409697,82.01596010094092,426.1842176844774,validated,validated,True,5.0,5.0,0.0,False,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,output\paper_v1\unified_pilot_results\slots\01\attempts\slot01_a21dc5c0aa204ab3b617cea12e9c1fdf
AL031854__AL011991,hurricane,0.5,CPS-3F,Independent discrete,85.27599670409697,82.01596010094092,426.1842176844774,validated,validated,True,20.0,20.0,0.0,True,output\paper_v1\unified_pilot_results\slots\04\attempts\slot04_932e5573922349258233e40f17b3a4ad,output\paper_v1\unified_pilot_results\slots\02\attempts\slot02_be1a32ff67984f64be5a5df446945b5e
EP021949__EP031949,hurricane,0.5,CPS-2F,Independent continuous,40.25507378715167,36.48157080151773,565.3421428246969,validated,validated,True,6.0,5.0,1.0,False,output\paper_v1\unified_pilot_results\slots\09\attempts\slot09_e46deb0bcdd14153a890b48a67dfe8ee,output\paper_v1\unified_pilot_results\slots\11\attempts\slot11_779efee65c1c4da48452a50487b13fb4
EP021949__EP031949,hurricane,0.5,CPS-3F,Independent discrete,40.25507378715167,36.48157080151773,565.3421428246969,validated,validated,True,25.0,25.0,0.0,True,output\paper_v1\unified_pilot_results\slots\10\attempts\slot10_9c3ce8eb1cc545e1b9833ac08e21c34d,output\paper_v1\unified_pilot_results\slots\12\attempts\slot12_cbb981900e99447d9afd681e05358355
1o7j.a__1d9q.d,protein,0.5,CPS-2F,Independent continuous,9.476499139682725,10.101752088004297,47.96448297438429,validated,validated,True,16.0,16.0,0.0,True,output\paper_v1\unified_pilot_results\slots\19\attempts\slot19_67a95ddd348341d08fd3a07c99191bd7,output\paper_v1\unified_pilot_results\slots\17\attempts\slot17_8cc2d653a53341719f762049559f92f0
1o7j.a__1d9q.d,protein,0.5,CPS-3F,Independent discrete,9.476499139682725,10.101752088004297,47.96448297438429,validated,validated,True,20.0,20.0,0.0,True,output\paper_v1\unified_pilot_results\slots\20\attempts\slot20_e0ee0e87e6cf44b8b6e3f58388474666,output\paper_v1\graph_only_v2\attempts\C_8c679d9e32f84779ab0c2bea3386850e
1o7j.a__1hfj.c,protein,0.5,CPS-2F,Independent continuous,9.476499139682725,9.537881702673165,0.9993252723713152,validated,validated,True,16.0,16.0,0.0,True,output\paper_v1\unified_pilot_results\slots\25\attempts\slot25_e5ce743da5d4474f8086789aa234a723,output\paper_v1\unified_pilot_results\slots\27\attempts\slot27_3abe46c8e95b4cdd96c9b8eb7f451478
1o7j.a__1hfj.c,protein,0.5,CPS-3F,Independent discrete,9.476499139682725,9.537881702673165,0.9993252723713152,validated,validated,True,20.0,20.0,0.0,True,output\paper_v1\unified_pilot_results\slots\26\attempts\slot26_dd70540fbfa346d9babebd31da1d1eae,output\paper_v1\unified_pilot_results\slots\28\attempts\slot28_1530208469eb432cb8bc302cdc0c09fa
1o7j.a__1qd1.b,protein,0.5,CPS-2F,Independent continuous,9.476499139682725,10.890797290213742,35.978995691931146,validated,validated,True,20.0,20.0,0.0,True,output\paper_v1\expanded_comparison\slots\35\attempts\expanded35_4fea86cbd8a54e25b1f0959f61809ba3,output\paper_v1\expanded_comparison\slots\33\attempts\expanded33_cd40b1cb287c4293b17a8c217c343bff
1o7j.a__1qd1.b,protein,0.5,CPS-3F,Independent discrete,9.476499139682725,10.890797290213742,35.978995691931146,validated,validated,True,20.0,20.0,0.0,True,output\paper_v1\expanded_comparison\slots\36\attempts\expanded36_b0a6256809594ea6b52aaa2f32fc4ee9,output\paper_v1\expanded_comparison\slots\34\attempts\expanded34_e309439661e84f828e3ac66dc0ee042a
