domain,method,termination_reason,count,denominator
hurricane,Independent continuous,validated,4,10
hurricane,Independent discrete,validated,4,10
hurricane,CPS-2F,validated,3,10
hurricane,CPS-3F,validated,4,10
hurricane,CPS-2F,transition_budget_limit,1,10
protein,Independent continuous,validated,4,10
protein,Independent discrete,validated,4,10
protein,CPS-2F,validated,2,10
protein,CPS-3F,validated,4,10
protein,CPS-2F,state_budget_limit,1,10
protein,CPS-2F,transition_budget_limit,1,10
protein,Independent continuous,validation_timeout,1,10
protein,Independent discrete,unexecuted,6,10
protein,CPS-2F,unexecuted,6,10
protein,CPS-3F,unexecuted,6,10
protein,Independent continuous,unexecuted,5,10
hurricane,Independent continuous,unexecuted,6,10
hurricane,Independent discrete,unexecuted,6,10
hurricane,CPS-2F,unexecuted,6,10
hurricane,CPS-3F,unexecuted,6,10
