configuration_id,plan_order,domain,pair,alpha,method,nA,nB,origin,attempt_path,status,search_completed,construction_completed,count_scope,quantity,observed,finite_upper_bound,percent_of_bound,formula,assumptions,source,asymptotic_states,missing_reason,bound_missing_reason
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,auxiliary_A,48.0,1200.0,4.0,2 k(k-1),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,single_dense_A,1825.0,30625.0,5.959183673469388,k*(k+2k(k-1)),"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,single_active_A,,1825.0,,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),Counter unavailable or phase not reached; historical runs not rerun,
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,single_edges_with_waits_A,,,,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^3 m^3),Counter unavailable or phase not reached; historical runs not rerun,Missing completed single-graph counters
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,auxiliary_B,48.0,1200.0,4.0,2 k(k-1),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,single_dense_B,1825.0,30625.0,5.959183673469388,k*(k+2k(k-1)),"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,single_active_B,,1825.0,,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),Counter unavailable or phase not reached; historical runs not rerun,
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,single_edges_with_waits_B,4616.0,,,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^3 m^3),,Missing completed single-graph counters
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,configuration_states_input_bound,5678.0,937890625.0,0.0006054010828821325,n*m*(n+2n(n-1))*(m+2m(m-1)),All index combinations; includes source/terminal; no hidden asymptotic constant,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,configuration_states_extended_bound,5678.0,3330625.0,0.17047851379245638,n*m*(n+aA)*(m+aB),Actual extended-curve sizes; all index combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,configuration_states_active_bound,5678.0,,,H_A*H_B,Completed single graphs; includes coupling-invalid combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,Missing completed single-graph counters
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,0.5,CPS-2F,25,25,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,True,completed search,candidate_transition_checks,7076530.0,,,E_A*E_B-H_A*H_B,No duplicate single-graph entries; each product source popped once; excludes simultaneous waits,Finite derivation from solve_cps() and chain_graph(); see graph_bounds.md,O(n^3 m^3),,Missing completed single-graph counters
hurricane:AL031854__AL011991:a0.5|CPS-3F,4,hurricane,AL031854__AL011991,0.5,CPS-3F,25,25,reused,output\paper_v1\unified_pilot_results\slots\04\attempts\slot04_932e5573922349258233e40f17b3a4ad,validated,True,True,completed search,auxiliary_A,0.0,0.0,,0 (no auxiliary locations),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,Zero/non-applicable bound
