configuration_id,domain,pair,alpha,method,status,observed,finite_upper_bound,percent_of_bound,search_completed,construction_completed,count_scope,formula,source
hurricane:AL031854__AL011991:a0.5|CPS-2F,hurricane,AL031854__AL011991,0.5,CPS-2F,validated,5678.0,937890625.0,0.0006054010828821325,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL031854__AL011991:a0.5|CPS-3F,hurricane,AL031854__AL011991,0.5,CPS-3F,validated,522.0,390625.0,0.133632,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL031854__AL011991:a1|CPS-2F,hurricane,AL031854__AL011991,1.0,CPS-2F,transition_budget_limit,16327.0,937890625.0,0.0017408213244481466,False,True,observed before termination,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL031854__AL011991:a1|CPS-3F,hurricane,AL031854__AL011991,1.0,CPS-3F,validated,1742.0,390625.0,0.445952,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP021949__EP031949:a0.5|CPS-2F,hurricane,EP021949__EP031949,0.5,CPS-2F,validated,2828.0,937890625.0,0.0003015276967930029,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP021949__EP031949:a0.5|CPS-3F,hurricane,EP021949__EP031949,0.5,CPS-3F,validated,301.0,390625.0,0.077056,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP021949__EP031949:a1|CPS-3F,hurricane,EP021949__EP031949,1.0,CPS-3F,validated,575.0,390625.0,0.1472,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP021949__EP031949:a1|CPS-2F,hurricane,EP021949__EP031949,1.0,CPS-2F,validated,6765.0,937890625.0,0.0007212994585589338,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1d9q.d:a0.5|CPS-2F,protein,1o7j.a__1d9q.d,0.5,CPS-2F,validated,22004.0,433139344.0,0.005080120359604183,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1d9q.d:a0.5|CPS-3F,protein,1o7j.a__1d9q.d,0.5,CPS-3F,validated,669.0,234256.0,0.28558500102452017,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1d9q.d:a1|CPS-2F,protein,1o7j.a__1d9q.d,1.0,CPS-2F,state_budget_limit,100000.0,433139344.0,0.023087258496655987,False,True,observed before termination,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1d9q.d:a1|CPS-3F,protein,1o7j.a__1d9q.d,1.0,CPS-3F,validated,5038.0,234256.0,2.1506386175807664,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1hfj.c:a0.5|CPS-2F,protein,1o7j.a__1hfj.c,0.5,CPS-2F,validated,1273.0,433139344.0,0.0002939008006624307,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1hfj.c:a0.5|CPS-3F,protein,1o7j.a__1hfj.c,0.5,CPS-3F,validated,42.0,234256.0,0.017929103203333106,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
