configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,original_origin,observation_cohort,raw_kA,raw_kB,raw_k
hurricane:AL031854__AL011991:a0.5|Independent continuous,1,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent continuous,0.5,85.27599670409697,82.01596010094092,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\01\attempts\slot01_a21dc5c0aa204ab3b617cea12e9c1fdf,validated,True,False,5.0,5.0,5.0,0.2,0.2,0.2,0.0125594999990426,0.002043699991190806,8.951385199994547,9.642154200002551,210.77734375,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,725.5714648587692,False,0d7540c6ec12929bcb6df7acb3d4893578357bd8fc4459a00f68d1d120fd861b,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,new,inherited unified pilot,5.0,5.0,5.0
hurricane:AL031854__AL011991:a0.5|Independent discrete,2,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent discrete,0.5,85.27599670409697,82.01596010094092,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\02\attempts\slot02_be1a32ff67984f64be5a5df446945b5e,validated,True,False,20.0,19.0,20.0,0.8,0.76,0.78,0.006829599995398894,0.0032976999937091023,6.5363800000050105,7.162665399984689,193.88671875,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,426.1842176844774,True,1365c7d57aa63d39ea115bfc0729636744e75925e611fc0bd96801837727ecbf,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,new,inherited unified pilot,20.0,19.0,20.0
hurricane:AL031854__AL011991:a0.5|CPS-2F,3,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-2F,0.5,85.27599670409697,82.01596010094092,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,True,False,5.0,5.0,5.0,0.2,0.2,0.2,9.860817900014808,0.0010925999958999455,9.896473000000697,20.423020300018834,223.44140625,5678.0,7076530.0,5678.0,5677.0,0.0,2.0,True,configuration_graph,True,validated,,426.1842176844774,True,82a5d0eb15fd3d6e8419cb64c4fb6062d74c9ddd1e02730211af33a3b1a398df,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,new,inherited unified pilot,5.0,5.0,5.0
hurricane:AL031854__AL011991:a0.5|CPS-3F,4,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-3F,0.5,85.27599670409697,82.01596010094092,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\04\attempts\slot04_932e5573922349258233e40f17b3a4ad,validated,True,False,20.0,19.0,20.0,0.8,0.76,0.78,0.03943550001713447,0.0032574000069871545,6.426368700020248,7.145877600007225,194.2578125,522.0,6544.0,522.0,521.0,0.0,2.0,True,configuration_graph,True,validated,,426.1842176844774,True,495ad6d8fec9cd0811e279adce6c89921296f074759265c73822b9b1e67b076d,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,new,inherited unified pilot,20.0,19.0,20.0
hurricane:AL031854__AL011991:a1|Independent discrete,5,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent discrete,1.0,170.55199340819394,164.03192020188183,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\05\attempts\slot05_0c387ea78eff44e9945f07128b393bb1,validated,True,False,16.0,15.0,16.0,0.64,0.6,0.62,0.007855900010326877,0.002224199997726828,6.39905269999872,7.008896800020011,193.84765625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,426.1842176844774,True,514507b665378c586cc7fbadf486fd68c11ed788a170bef919a9d83430f92c31,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,new,inherited unified pilot,16.0,15.0,16.0
hurricane:AL031854__AL011991:a1|CPS-2F,6,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-2F,1.0,170.55199340819394,164.03192020188183,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\06\attempts\slot06_e21c1ee13d734cd8b59abf9e4a4a1dd4,transition_budget_limit,False,True,,,,,,,26.11367779999273,,10.030124200013233,36.77083519997541,233.32421875,16327.0,20000001.0,2579.0,2578.0,13748.0,2.0,True,configuration_graph,False,not_run_no_solution,solver / configuration_graph,,,,False,55.0,800000 main,transition_budget_limit,worker_exited,product transition budget exceeded,time_to_termination,transition_budget_limit,new,inherited unified pilot,,,
hurricane:AL031854__AL011991:a1|CPS-3F,7,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-3F,1.0,170.55199340819394,164.03192020188183,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\07\attempts\slot07_61a62b3628834eafbcd97bd272a0369e,validated,True,False,16.0,15.0,16.0,0.64,0.6,0.62,0.12340800001402386,0.002961599995614961,6.648508499987656,7.479838200000813,195.66015625,1742.0,49344.0,1742.0,1741.0,0.0,2.0,True,configuration_graph,True,validated,,426.1842176844774,True,d56076a8da58a240f13af130220e0f58d0dcb862e3f11ca1a45d409d982eccc3,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,new,inherited unified pilot,16.0,15.0,16.0
hurricane:AL031854__AL011991:a1|Independent continuous,8,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent continuous,1.0,170.55199340819394,164.03192020188183,426.1842176844774,reused,output\paper_v1\unified_pilot_results\slots\08\attempts\slot08_e87dd29030384a46a88e8329ed149094,validated,True,False,4.0,4.0,4.0,0.16,0.16,0.16,0.011623500002315268,0.0012256000190973282,8.924852199997986,9.676991999993334,211.06640625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,465.82897638768674,False,744b0b329f04d1814a1fe9b5ce635a9e07308a429468e898e84cd9572d631766,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,new,inherited unified pilot,4.0,4.0,4.0
hurricane:EP021949__EP031949:a0.5|CPS-2F,9,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-2F,0.5,40.25507378715167,36.48157080151773,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\09\attempts\slot09_e46deb0bcdd14153a890b48a67dfe8ee,validated,True,False,5.0,6.0,6.0,0.2,0.24,0.22,1.7920451999816578,0.000979599979473278,9.799547000002349,12.26503809998394,222.390625,2828.0,975595.0,2828.0,2827.0,0.0,2.0,True,configuration_graph,True,validated,,559.2493332576446,True,84005181ed4c04e75f197f7ee57d3cd7fb93905856b82a04422a82fd70958b4f,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,new,inherited unified pilot,5.0,6.0,6.0
hurricane:EP021949__EP031949:a0.5|CPS-3F,10,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-3F,0.5,40.25507378715167,36.48157080151773,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\10\attempts\slot10_9c3ce8eb1cc545e1b9833ac08e21c34d,validated,True,False,25.0,18.0,25.0,1.0,0.72,0.86,0.031486499996390194,0.003139899985399097,7.120803500001784,7.933561599988025,195.140625,301.0,1923.0,301.0,300.0,0.0,2.0,True,configuration_graph,True,validated,,565.3421428246969,True,13330747fe0df5b57c9ddd57696d1f3bee53fa172ea545a96c53bcbfc21f93fe,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,new,inherited unified pilot,25.0,18.0,25.0
