configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,base_configuration_id,repetition,block_id,termination_reason,optional_measurement_status,configuration_sha256,raw_kA,raw_kB,raw_k,objective_consistency
hurricane:AL031854__AL011991:a0.5|Independent continuous|repetition1,1,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent continuous,0.5,85.27599670409697,82.01596010094092,426.1842176844774,new,output\paper_v1\expanded_comparison\timing_study\slots\01\attempts\timing001_ceb9016ca3104a1cb2a39ea5f0d2c6e8,validated,True,False,5.0,5.0,5.0,0.2,0.2,0.2,0.01117419998627156,0.0009735999919939786,8.921209899999667,9.634405899996636,210.88671875,,,0,0,,0,False,independent_optimization,True,validated,,725.5714648587692,False,4feb41c096a55c244ca54e72f954902d8644dc7f32baba56a877b422d4affd4e,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,hurricane:AL031854__AL011991:a0.5|Independent continuous,1,r1:AL031854__AL011991,validated,completed,0e10e43ff2d17de8e5fa80ce70bc8648c5101b2fe846959b4a45282a1b27bed2,5.0,5.0,5.0,agrees_with_primary
hurricane:AL031854__AL011991:a0.5|Independent discrete|repetition1,2,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent discrete,0.5,85.27599670409697,82.01596010094092,426.1842176844774,new,output\paper_v1\expanded_comparison\timing_study\slots\02\attempts\timing002_f2582108108a47ec810b171e03be260f,validated,True,False,20.0,19.0,20.0,0.8,0.76,0.78,0.006947600020794198,0.003429800010053441,6.757566600019345,7.431935900007375,193.94921875,,,0,0,,0,False,independent_optimization,True,validated,,426.1842176844774,True,828489dd434d381c3078878c49f7e4d354b1bc2b883fe026b90713a23dcbf021,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,hurricane:AL031854__AL011991:a0.5|Independent discrete,1,r1:AL031854__AL011991,validated,completed,48b9c4c3af6e44c78317a0ec6b3b5e7e10dce2e921aa901ed4421a966b26ae2b,20.0,19.0,20.0,agrees_with_primary
hurricane:AL031854__AL011991:a0.5|CPS-2F|repetition1,3,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-2F,0.5,85.27599670409697,82.01596010094092,426.1842176844774,new,output\paper_v1\expanded_comparison\timing_study\slots\03\attempts\timing003_91287d00e9f34cdda177cb0c70d754f8,validated,True,False,5.0,5.0,5.0,0.2,0.2,0.2,9.980473000003258,0.0010614999919198453,9.911079499986954,20.53023549998761,223.1015625,5678.0,7076530.0,5678,5677,0.0,2,True,configuration_graph,True,validated,,426.1842176844774,True,fe744f6a2b4e068af99db4a63dcf9ba4267fa3447e7eab75484b8b8dfaca3f28,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,hurricane:AL031854__AL011991:a0.5|CPS-2F,1,r1:AL031854__AL011991,validated,completed,70535a3f63a00082859f1dd6df42816bae7e011ad2d116e7bd021a7145f8fd24,5.0,5.0,5.0,agrees_with_primary
hurricane:AL031854__AL011991:a0.5|CPS-3F|repetition1,4,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-3F,0.5,85.27599670409697,82.01596010094092,426.1842176844774,new,output\paper_v1\expanded_comparison\timing_study\slots\04\attempts\timing004_22e5a2e3bf774d53a43b8e43cce41f84,validated,True,False,20.0,19.0,20.0,0.8,0.76,0.78,0.03635609999764711,0.0030934000096749514,6.845011900004465,7.515501399990171,195.12890625,522.0,6544.0,522,521,0.0,2,True,configuration_graph,True,validated,,426.1842176844774,True,b999f543d6935195a571f77ba77a535fc76df7df1c462984fec3b0f7018ce9e9,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,hurricane:AL031854__AL011991:a0.5|CPS-3F,1,r1:AL031854__AL011991,validated,completed,c63c5b7f5185bbf0bdb30c5449dc01178064fb16ba10f03d02ad56f8e290ec43,20.0,19.0,20.0,agrees_with_primary
hurricane:EP021949__EP031949:a0.5|Independent continuous|repetition1,5,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent continuous,0.5,40.25507378715167,36.48157080151773,565.3421428246969,new,output\paper_v1\expanded_comparison\timing_study\slots\05\attempts\timing005_63d66b580c76492f8c20d6a55a783a33,validated,True,False,5.0,5.0,5.0,0.2,0.2,0.2,0.011127000005217269,0.0009349000174552202,8.794561399990926,9.455257399997208,211.26953125,,,0,0,,0,False,independent_optimization,True,validated,,790.6098883954147,False,a2e2c550d303fb6539ee49d75392fc03914587de01da8852009f36c3d56797c2,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,hurricane:EP021949__EP031949:a0.5|Independent continuous,1,r1:EP021949__EP031949,validated,completed,8e952770be4f023f6eebe25d0f54d3912d32c6e25bce738af4aec6d5f3bc9920,5.0,5.0,5.0,agrees_with_primary
hurricane:EP021949__EP031949:a0.5|Independent discrete|repetition1,6,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent discrete,0.5,40.25507378715167,36.48157080151773,565.3421428246969,new,output\paper_v1\expanded_comparison\timing_study\slots\06\attempts\timing006_32e247fbc1d54a12b378ee5da4837176,validated,True,False,25.0,18.0,25.0,1.0,0.72,0.86,0.005599099997198209,0.003316399990580976,6.808906399994157,7.465035300003365,194.4765625,,,0,0,,0,False,independent_optimization,True,validated,,565.3421428246969,True,86d339638d3d8d1b59f20c4b2d9b2a4d428eba7b7421c5e428e709bc789554fa,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,hurricane:EP021949__EP031949:a0.5|Independent discrete,1,r1:EP021949__EP031949,validated,completed,da79d3eb95902c1c23866f33028f7a5009090980f741e136a63f62a1b210544f,25.0,18.0,25.0,agrees_with_primary
hurricane:EP021949__EP031949:a0.5|CPS-2F|repetition1,7,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-2F,0.5,40.25507378715167,36.48157080151773,565.3421428246969,new,output\paper_v1\expanded_comparison\timing_study\slots\07\attempts\timing007_f777e4017a074c799ee70cf9fb0b7ae3,validated,True,False,5.0,6.0,6.0,0.2,0.24,0.22,1.7414986999938264,0.0011251000105403364,9.759093900007429,12.105859200004488,222.6796875,2828.0,975595.0,2828,2827,0.0,2,True,configuration_graph,True,validated,,559.2493332576446,True,699ef2faee9f3ba8fd83816c08cb29215dab9e7cf3dd81ef419743c8cb51cb41,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,hurricane:EP021949__EP031949:a0.5|CPS-2F,1,r1:EP021949__EP031949,validated,completed,fdf1276b1054cbf62cace1ce955e121c11f8f589347b88e59896fd51ca81a19e,5.0,6.0,6.0,agrees_with_primary
hurricane:EP021949__EP031949:a0.5|CPS-3F|repetition1,8,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-3F,0.5,40.25507378715167,36.48157080151773,565.3421428246969,new,output\paper_v1\expanded_comparison\timing_study\slots\08\attempts\timing008_db19840cf2ca485c80755c771660e2cc,validated,True,False,25.0,18.0,25.0,1.0,0.72,0.86,0.029696899990085512,0.003023199999006465,6.210817299986957,6.8672037000069395,195.1796875,301.0,1923.0,301,300,0.0,2,True,configuration_graph,True,validated,,565.3421428246969,True,b74319337018a3a9207e51bdd546686b95289dfdb5d052d2d26a5bc9317d35d4,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,hurricane:EP021949__EP031949:a0.5|CPS-3F,1,r1:EP021949__EP031949,validated,completed,ac513c9cb2dfd7ea5ec5b1d3f208d137b1fc67173e399a7f8e1939dcce48f372,25.0,18.0,25.0,agrees_with_primary
protein:1o7j.a__1d9q.d:a0.5|Independent continuous|repetition1,9,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent continuous,0.5,9.476499139682725,10.101752088004297,47.96448297438429,new,output\paper_v1\expanded_comparison\timing_study\slots\09\attempts\timing009_0e304943d7634b6ebd5fd000f0050718,validated,True,False,16.0,15.0,16.0,0.7272727272727273,0.6818181818181818,0.7045454545454546,0.009765099996002391,0.002294600009918213,7.914212000003317,10.724911899975268,229.55078125,,,0,0,,0,False,independent_optimization,True,validated,,47.96448297438429,True,43b5aea74fbfe516d1376e45f16f59e54bb350e2f3fcc21bd6df8b087715680c,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,protein:1o7j.a__1d9q.d:a0.5|Independent continuous,1,r1:1o7j.a__1d9q.d,validated,completed,b0afd3fe917262a85133a12db7e4f6110117925f0730901017eaa952ddb8a476,16.0,15.0,16.0,agrees_with_primary
protein:1o7j.a__1d9q.d:a0.5|Independent discrete|repetition1,10,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent discrete,0.5,9.476499139682725,10.101752088004297,47.96448297438429,new,output\paper_v1\expanded_comparison\timing_study\slots\10\attempts\timing010_05359e8789814828b948f789b9e1022f,validated,True,False,20.0,19.0,20.0,0.9090909090909091,0.8636363636363636,0.8863636363636364,0.005184699984965846,0.00255279999691993,6.003299400006654,9.118056999985129,215.3203125,,,0,0,,0,False,independent_optimization,True,validated,,47.96448297438429,True,08ee34f0c5c3b9b13283b2503bf36b8b9d5752b0474c2a943f6d9343494c6c4f,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,protein:1o7j.a__1d9q.d:a0.5|Independent discrete,1,r1:1o7j.a__1d9q.d,validated,completed,752acccaf4056633600ec3fe023c377cf5c7e07008c97ad45596ff30afd7f143,20.0,19.0,20.0,agrees_with_primary
