configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,base_configuration_id,repetition,block_id,reuse_path
hurricane:AL031854__AL011991:a0.5|Independent continuous|repetition1,1,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent continuous,0.5,85.27599670409697,82.01596010094092,426.1842176844774,hurricane:AL031854__AL011991:a0.5|Independent continuous,1,r1:AL031854__AL011991,
hurricane:AL031854__AL011991:a0.5|Independent discrete|repetition1,2,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent discrete,0.5,85.27599670409697,82.01596010094092,426.1842176844774,hurricane:AL031854__AL011991:a0.5|Independent discrete,1,r1:AL031854__AL011991,
hurricane:AL031854__AL011991:a0.5|CPS-2F|repetition1,3,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-2F,0.5,85.27599670409697,82.01596010094092,426.1842176844774,hurricane:AL031854__AL011991:a0.5|CPS-2F,1,r1:AL031854__AL011991,
hurricane:AL031854__AL011991:a0.5|CPS-3F|repetition1,4,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-3F,0.5,85.27599670409697,82.01596010094092,426.1842176844774,hurricane:AL031854__AL011991:a0.5|CPS-3F,1,r1:AL031854__AL011991,
hurricane:EP021949__EP031949:a0.5|Independent continuous|repetition1,5,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent continuous,0.5,40.25507378715167,36.48157080151773,565.3421428246969,hurricane:EP021949__EP031949:a0.5|Independent continuous,1,r1:EP021949__EP031949,
hurricane:EP021949__EP031949:a0.5|Independent discrete|repetition1,6,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent discrete,0.5,40.25507378715167,36.48157080151773,565.3421428246969,hurricane:EP021949__EP031949:a0.5|Independent discrete,1,r1:EP021949__EP031949,
hurricane:EP021949__EP031949:a0.5|CPS-2F|repetition1,7,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-2F,0.5,40.25507378715167,36.48157080151773,565.3421428246969,hurricane:EP021949__EP031949:a0.5|CPS-2F,1,r1:EP021949__EP031949,
hurricane:EP021949__EP031949:a0.5|CPS-3F|repetition1,8,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-3F,0.5,40.25507378715167,36.48157080151773,565.3421428246969,hurricane:EP021949__EP031949:a0.5|CPS-3F,1,r1:EP021949__EP031949,
protein:1o7j.a__1d9q.d:a0.5|Independent continuous|repetition1,9,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent continuous,0.5,9.476499139682725,10.101752088004297,47.96448297438429,protein:1o7j.a__1d9q.d:a0.5|Independent continuous,1,r1:1o7j.a__1d9q.d,
protein:1o7j.a__1d9q.d:a0.5|Independent discrete|repetition1,10,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent discrete,0.5,9.476499139682725,10.101752088004297,47.96448297438429,protein:1o7j.a__1d9q.d:a0.5|Independent discrete,1,r1:1o7j.a__1d9q.d,
protein:1o7j.a__1d9q.d:a0.5|CPS-2F|repetition1,11,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-2F,0.5,9.476499139682725,10.101752088004297,47.96448297438429,protein:1o7j.a__1d9q.d:a0.5|CPS-2F,1,r1:1o7j.a__1d9q.d,
protein:1o7j.a__1d9q.d:a0.5|CPS-3F|repetition1,12,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-3F,0.5,9.476499139682725,10.101752088004297,47.96448297438429,protein:1o7j.a__1d9q.d:a0.5|CPS-3F,1,r1:1o7j.a__1d9q.d,
protein:1o7j.a__1hfj.c:a0.5|Independent continuous|repetition1,13,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent continuous,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|Independent continuous,1,r1:1o7j.a__1hfj.c,
protein:1o7j.a__1hfj.c:a0.5|Independent discrete|repetition1,14,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent discrete,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|Independent discrete,1,r1:1o7j.a__1hfj.c,
protein:1o7j.a__1hfj.c:a0.5|CPS-2F|repetition1,15,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-2F,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|CPS-2F,1,r1:1o7j.a__1hfj.c,
protein:1o7j.a__1hfj.c:a0.5|CPS-3F|repetition1,16,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-3F,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|CPS-3F,1,r1:1o7j.a__1hfj.c,
protein:1o7j.a__1qd1.b:a0.5|Independent continuous|repetition1,17,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent continuous,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|Independent continuous,1,r1:1o7j.a__1qd1.b,
protein:1o7j.a__1qd1.b:a0.5|Independent discrete|repetition1,18,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent discrete,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|Independent discrete,1,r1:1o7j.a__1qd1.b,
protein:1o7j.a__1qd1.b:a0.5|CPS-2F|repetition1,19,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,CPS-2F,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|CPS-2F,1,r1:1o7j.a__1qd1.b,
