configuration_id,attempt_path,configuration_hash,input_hash_verified,code_hashes_verified,one_attempt,raw_saved_before_validation,raw_hash,validation_hash,status
hurricane:AL031854__AL011991:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\01\attempts\timing001_ceb9016ca3104a1cb2a39ea5f0d2c6e8,0e10e43ff2d17de8e5fa80ce70bc8648c5101b2fe846959b4a45282a1b27bed2,True,True,True,True,4feb41c096a55c244ca54e72f954902d8644dc7f32baba56a877b422d4affd4e,a1689e24fc72052c792d9916134161b1f58453863564ed1c77133c441a34ee91,validated
hurricane:AL031854__AL011991:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\02\attempts\timing002_f2582108108a47ec810b171e03be260f,48b9c4c3af6e44c78317a0ec6b3b5e7e10dce2e921aa901ed4421a966b26ae2b,True,True,True,True,828489dd434d381c3078878c49f7e4d354b1bc2b883fe026b90713a23dcbf021,b91f8a41126c02022acc3878d47589dffe3d5cd9956accfb75a2d178cd072e59,validated
hurricane:AL031854__AL011991:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\03\attempts\timing003_91287d00e9f34cdda177cb0c70d754f8,70535a3f63a00082859f1dd6df42816bae7e011ad2d116e7bd021a7145f8fd24,True,True,True,True,fe744f6a2b4e068af99db4a63dcf9ba4267fa3447e7eab75484b8b8dfaca3f28,2a5e735c79c5e899f4108d6792db0a88b3b790fbf8ea6eb465c2bb5cf0809258,validated
hurricane:AL031854__AL011991:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\04\attempts\timing004_22e5a2e3bf774d53a43b8e43cce41f84,c63c5b7f5185bbf0bdb30c5449dc01178064fb16ba10f03d02ad56f8e290ec43,True,True,True,True,b999f543d6935195a571f77ba77a535fc76df7df1c462984fec3b0f7018ce9e9,b125d8aa50a4b9c58a9ca46210e61fb2449cb11c4d1c7b044233860acc844f9c,validated
hurricane:EP021949__EP031949:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\05\attempts\timing005_63d66b580c76492f8c20d6a55a783a33,8e952770be4f023f6eebe25d0f54d3912d32c6e25bce738af4aec6d5f3bc9920,True,True,True,True,a2e2c550d303fb6539ee49d75392fc03914587de01da8852009f36c3d56797c2,5ae001d3b19f2193e2afacec9bd0ce1162c2b8f1d78c853047f9421a4d7a52db,validated
hurricane:EP021949__EP031949:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\06\attempts\timing006_32e247fbc1d54a12b378ee5da4837176,da79d3eb95902c1c23866f33028f7a5009090980f741e136a63f62a1b210544f,True,True,True,True,86d339638d3d8d1b59f20c4b2d9b2a4d428eba7b7421c5e428e709bc789554fa,64a2e25259255c34358bf3ee804e4adf9110a3d9147d530bb9c17e5344437b58,validated
hurricane:EP021949__EP031949:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\07\attempts\timing007_f777e4017a074c799ee70cf9fb0b7ae3,fdf1276b1054cbf62cace1ce955e121c11f8f589347b88e59896fd51ca81a19e,True,True,True,True,699ef2faee9f3ba8fd83816c08cb29215dab9e7cf3dd81ef419743c8cb51cb41,bff98f8d95538f135771048c347ebf7e26c65b278cc880ca9e8d2771172279db,validated
hurricane:EP021949__EP031949:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\08\attempts\timing008_db19840cf2ca485c80755c771660e2cc,ac513c9cb2dfd7ea5ec5b1d3f208d137b1fc67173e399a7f8e1939dcce48f372,True,True,True,True,b74319337018a3a9207e51bdd546686b95289dfdb5d052d2d26a5bc9317d35d4,df8661ea300aa0f4df63de2a823b3c6bc9396192576b02cbe44ae44169ffba50,validated
protein:1o7j.a__1d9q.d:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\09\attempts\timing009_0e304943d7634b6ebd5fd000f0050718,b0afd3fe917262a85133a12db7e4f6110117925f0730901017eaa952ddb8a476,True,True,True,True,43b5aea74fbfe516d1376e45f16f59e54bb350e2f3fcc21bd6df8b087715680c,d84d1ebaff1cfaa4ba56f2d8054f5e86202e5ccdf279a3cb1c50c30942c00978,validated
protein:1o7j.a__1d9q.d:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\10\attempts\timing010_05359e8789814828b948f789b9e1022f,752acccaf4056633600ec3fe023c377cf5c7e07008c97ad45596ff30afd7f143,True,True,True,True,08ee34f0c5c3b9b13283b2503bf36b8b9d5752b0474c2a943f6d9343494c6c4f,0c5e0a3135e07180087472a1396572c6038a13ccfe618933da513b1bcef03aae,validated
protein:1o7j.a__1d9q.d:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\11\attempts\timing011_92955b14c2df45d8b4bf377aa3a4f8ba,7b48077deaffa42ee7a88afe5bdbf2941c913781e572d378a3ae329f3e4d5643,True,True,True,True,375960148a4116dd8d4f243c3b67206fc64c6812c3bc6599323bff016947f7d3,1805858935ec459dfb1c253dcb0439b6c749be3326b1bf84ca726c67c697d855,validated
protein:1o7j.a__1d9q.d:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\12\attempts\timing012_2f895fc7d7634d7889d4728572b9e0f6,09da46f66c6f385e0b63853aff5b6d96c71b188d1a24e8b11cb5fca255d6e957,True,True,True,True,a67cc4229db5a6ee6461d1871f8497a49cb3cd32e59c9e711a96a4281f09516a,041dd648f8cd9b0b963052dc52f5a0c34ad99f5cc1977b1d5a400d0c4bc5d4d2,validated
protein:1o7j.a__1hfj.c:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\13\attempts\timing013_bb25fc5267e64b05a2cd916b1e685360,b9a51752f23752e28f087201d98b34d46cbb998569c85b7bcf373b928f2f478b,True,True,True,True,70cf6f79f5ef4c08db3bcfce15f2950219837561ef6cc95df3a1c59a6c3cf827,bec862f6c7005129a01a04088b757c83b0a8dad4a44fe91e2fb5e675019e74e3,validated
protein:1o7j.a__1hfj.c:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\14\attempts\timing014_dc8325fe6ac343b49fe136d8a1f97501,5d764045def44d9d2d6d43e6be8acc926869264e0ea207109b5b9ac68890d6dd,True,True,True,True,8ece78d097f319d937bfbb015f1ab4529ad2191faeddc7430eba0b2c070e9670,bd661e85957b192a86769d231dc9485243ac906894b1a1d93b255e8151f754c9,validated
