claim,value,source,selection,operation
PrimaryCount,40,tables/original_cohort.csv,all,row count
PrimaryValid,39,tables/original_cohort.csv,validated=True,row count
TimingPlanned,120,tables/timing_observations.csv,all,row count
TimingFinished,120,tables/timing_observations.csv,origin=new,row count
TimingValid,117,tables/timing_observations.csv,validated=True,row count
TimingResource,3,tables/timing_observations.csv,resource_limited=True,row count
TimingPending,0,tables/timing_observations.csv,origin=unexecuted,row count
ContinuousMatched,9,tables/paired_quality.csv,fidelity=continuous; delta_k available,row count
ContinuousEqual,8,tables/paired_quality.csv,fidelity=continuous; delta_k=0,row count
ContinuousExtra,1,tables/paired_quality.csv,fidelity=continuous; delta_k>0,row count
DiscreteEqual,10,tables/paired_quality.csv,fidelity=discrete; delta_k=0,row count
EqualRepair,3,tables/paired_quality.csv,fidelity=continuous; equal_k_coupling_repair=True,row count
BaselineViolations,4,tables/paired_quality.csv,fidelity=continuous; coupling ratio>1+1e-9,row count
ObjectiveDifferences,0,tables/timing_observations.csv,objective_consistency=unexpected_objective_difference,row count
CompleteTriples,40,tables/timing_observations.csv,group by base_configuration_id; all three origin=new,group count
StableTriples,40,tables/timing_observations.csv,all three recorded; distinct status count=1,group count
MixedTriples,0,tables/timing_observations.csv,all three recorded; distinct status count>1,group count
GraphComparisons,20,tables/graph_bounds.csv,quantity=configuration_states_active_bound,row count
ActiveAvailable,12,tables/graph_bounds.csv,quantity=configuration_states_active_bound; finite_upper_bound available,row count
ActiveTwoMin,13.55,tables/graph_bounds.csv,quantity=configuration_states_active_bound; method=CPS-2F,minimum percentage; rounded to 2 decimals
ActiveTwoMax,79.07,tables/graph_bounds.csv,quantity=configuration_states_active_bound; method=CPS-2F,maximum percentage; rounded to 2 decimals
ValidIC,10,tables/original_cohort.csv,method=Independent continuous; validated=True,row count
ValidID,10,tables/original_cohort.csv,method=Independent discrete; validated=True,row count
ValidTwoF,9,tables/original_cohort.csv,method=CPS-2F; validated=True,row count
ValidThreeF,10,tables/original_cohort.csv,method=CPS-3F; validated=True,row count
