pair_alias,method,kA,kB,k,retained_total,coupling_distance,delta3,status,coupling_ratio
H1,Independent continuous,5.0,5.0,5.0,0.2,725.5714648587692,426.1842176844774,validated,1.7024831862636949
H1,Independent discrete,20.0,19.0,20.0,0.78,426.1842176844774,426.1842176844774,validated,1.0
H1,CPS-2F,5.0,5.0,5.0,0.2,426.1842176844774,426.1842176844774,validated,1.0
H1,CPS-3F,20.0,19.0,20.0,0.78,426.1842176844774,426.1842176844774,validated,1.0
H2,CPS-2F,5.0,6.0,6.0,0.22,559.2493332576446,565.3421428246969,validated,0.9892227925259384
H2,CPS-3F,25.0,18.0,25.0,0.86,565.3421428246969,565.3421428246969,validated,1.0
H2,Independent continuous,5.0,5.0,5.0,0.2,790.6098883954147,565.3421428246969,validated,1.3984626803959483
H2,Independent discrete,25.0,18.0,25.0,0.86,565.3421428246969,565.3421428246969,validated,1.0
P1,Independent continuous,16.0,15.0,16.0,0.7045454545454546,47.96448297438429,47.96448297438429,validated,1.0
P1,Independent discrete,20.0,19.0,20.0,0.8863636363636364,47.96448297438429,47.96448297438429,validated,1.0
P1,CPS-2F,16.0,15.0,16.0,0.7045454545454546,47.96448297438429,47.96448297438429,validated,1.0
P1,CPS-3F,20.0,19.0,20.0,0.8863636363636364,47.96448297438429,47.96448297438429,validated,1.0
P2,CPS-2F,16.0,16.0,16.0,0.7272727272727273,0.9993252723713152,0.9993252723713152,validated,1.0
P2,CPS-3F,20.0,20.0,20.0,0.9090909090909092,0.9993252723713152,0.9993252723713152,validated,1.0
P2,Independent continuous,16.0,16.0,16.0,0.7272727272727273,0.9993252723713152,0.9993252723713152,validated,1.0
P2,Independent discrete,20.0,20.0,20.0,0.9090909090909092,0.9993252723713152,0.9993252723713152,validated,1.0
P3,Independent continuous,16.0,20.0,20.0,0.8181818181818182,35.978995691931146,35.978995691931146,validated,1.0
P3,Independent discrete,20.0,20.0,20.0,0.9090909090909092,35.978995691931146,35.978995691931146,validated,1.0
P3,CPS-2F,16.0,20.0,20.0,0.8181818181818182,35.978995691931146,35.978995691931146,validated,1.0
P3,CPS-3F,20.0,20.0,20.0,0.9090909090909092,35.978995691931146,35.978995691931146,validated,1.0
P4,Independent continuous,16.0,18.0,18.0,0.7727272727272727,18.018355890591128,15.364049921814235,validated,1.1727608268838183
P4,Independent discrete,20.0,21.0,21.0,0.9318181818181818,15.364049921814235,15.364049921814235,validated,1.0
P4,CPS-2F,17.0,18.0,18.0,0.7954545454545454,15.364049921814235,15.364049921814235,validated,1.0
P4,CPS-3F,20.0,21.0,21.0,0.9318181818181818,15.364049921814235,15.364049921814235,validated,1.0
P5,Independent continuous,16.0,16.0,16.0,0.7272727272727273,37.12846564295379,37.12846564295379,validated,1.0
P5,Independent discrete,20.0,21.0,21.0,0.9318181818181818,37.12846564295379,37.12846564295379,validated,1.0
P5,CPS-2F,16.0,16.0,16.0,0.7272727272727273,37.12846564295379,37.12846564295379,validated,1.0
P5,CPS-3F,20.0,21.0,21.0,0.9318181818181818,37.12846564295379,37.12846564295379,validated,1.0
H3,Independent continuous,4.0,16.0,16.0,0.1869158878504672,720.228597506722,411.7453872318912,validated,1.7492086610823305
H3,Independent discrete,25.0,79.0,79.0,0.97196261682243,411.7453872318912,411.7453872318912,validated,1.0
H3,CPS-2F,6.0,16.0,16.0,0.205607476635514,391.07954231396457,411.7453872318912,validated,0.9498091646955408
H3,CPS-3F,25.0,79.0,79.0,0.97196261682243,411.7453872318912,411.7453872318912,validated,1.0
H4,Independent continuous,12.0,10.0,12.0,0.1538461538461538,2961.871080312045,2969.784643498885,validated,0.9973353073920145
H4,Independent discrete,60.0,75.0,75.0,0.944055944055944,2969.784643498885,2969.784643498885,validated,1.0
H4,CPS-2F,,,,,,2969.784643498885,transition_budget_limit,
H4,CPS-3F,60.0,75.0,75.0,0.944055944055944,2969.784643498885,2969.784643498885,validated,1.0
H5,Independent continuous,5.0,7.0,7.0,0.2033898305084746,628.8969388779135,628.8969388779135,validated,1.0
H5,Independent discrete,28.0,27.0,28.0,0.9322033898305084,628.8969388779135,628.8969388779135,validated,1.0
H5,CPS-2F,5.0,7.0,7.0,0.2033898305084746,628.8969388779135,628.8969388779135,validated,1.0
H5,CPS-3F,28.0,27.0,28.0,0.9322033898305084,628.8969388779135,628.8969388779135,validated,1.0
