method,repetition,termination_reason,count
CPS-2F,1,transition_budget_limit,1
CPS-2F,1,validated,9
CPS-2F,2,transition_budget_limit,1
CPS-2F,2,validated,9
CPS-2F,3,transition_budget_limit,1
CPS-2F,3,validated,9
CPS-3F,1,validated,10
CPS-3F,2,validated,10
CPS-3F,3,validated,10
Independent continuous,1,validated,10
Independent continuous,2,validated,10
Independent continuous,3,validated,10
Independent discrete,1,validated,10
Independent discrete,2,validated,10
Independent discrete,3,validated,10
