domain,pair,case,nA,nB,units,alpha,s_A,s_B,delta1,delta2,delta3,input_file,method,certificate_enabled,status,route,phase,configuration_graph_entered,chain_graph_calls,chain_graphs_completed,repetition,cached,hard_seconds,memory_limit_mib,failure_reason,process_wall_seconds,peak_process_rss_mib,measured_execution_count,preprocessing_chain_graph_calls,raw_status,solve_seconds,warmup_seconds,kA,kB,k,compression_removed_pct,continuous_A_lower,continuous_A_upper,continuous_B_lower,continuous_B_upper,discrete_fidelity_A,discrete_fidelity_B,coupling_distance,coupling_budget_ratio,coupling_feasible,unequal_output_lengths,repeated_coupling_index,constraints_valid,states_discovered,transitions_examined,traceback,dDF,verified,seconds,lower_bound,states,transitions,auxiliary_A,auxiliary_B,baseline_method,baseline_missing,vertex_cost_vs_matching_baseline
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent continuous,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,4.522730700002285,153.36328125,1,0,optimal_independent_baseline,0.10076849999313708,2.3243304999923566,5.0,5.0,5.0,80.0,83.14593175646442,83.14594063973813,80.16283771723884,80.16284354133512,1192.29281437758,781.6969685577142,725.5714648587692,1.7024831862636949,False,False,False,True,,,,,,,,,,,,Independent continuous,False,0.0
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent discrete,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,3.5327613999979803,152.328125,1,0,optimal_independent_baseline,0.008966399997007102,0.871146100005717,20.0,19.0,20.0,21.999999999999996,32.61762019704306,32.617625207865075,16.298407143279604,16.29841681775634,84.06764326731184,81.15539294939066,426.1842176844774,1.0,True,True,True,True,,,,,,,,,,,,Independent discrete,False,0.0
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-2F,False,other_resource_limit,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,product transition budget exceeded,5.1173886000033235,161.5,1,0,other_resource_limit,1.6926002999971388,1.134413300009328,,,,,,,,,,,,,,,,,,,"Traceback (most recent call last):
  File ""C:\Users\a\PycharmProjects\PythonProject1\notebooks_paper\graph_only_v1\pilot_worker.py"", line 16, in <module>
    result=solve(A,B,p['delta1'],p['delta2'],p['delta3'],method,certificate=False,progress=progress)
  File ""C:\Users\a\PycharmProjects\PythonProject1\notebooks_paper\graph_only_v1\graph_core.py"", line 51, in solve
    raw=alg.solve_cps(A,B,d1,d2,d3,method,certificate=False,**LIMITS)
  File ""C:\Users\a\PycharmProjects\PythonProject1\cps_paper_algorithms.py"", line 189, in solve_cps
    if transitions>max_transitions:raise ResourceLimit('product transition budget exceeded')
                                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
cps_paper_algorithms.ResourceLimit: product transition budget exceeded
",,,,,,,,,Independent continuous,False,
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-3F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,3.221796500001801,152.9609375,1,2,optimal_configuration_graph,0.03303550000418909,0.7651216999947792,20.0,19.0,20.0,21.999999999999996,32.61762019704306,32.617625207865075,26.888781912208465,26.88879167977132,84.06764326731184,81.93625588577981,426.1842176844774,1.0,True,True,True,True,522.0,6544.0,,426.1842176844774,True,0.03140049999637995,20.0,522.0,6544.0,0.0,0.0,Independent discrete,False,0.0
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent continuous,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,2.818880100006936,153.41796875,1,0,optimal_independent_baseline,0.015381999997771345,0.7915296999999555,4.0,4.0,4.0,84.0,157.86509683758018,157.8651061347527,141.92971402346427,141.92972095819664,1247.8453722730112,930.7640236675084,465.82897638768674,1.0930225875528785,False,False,False,True,,,,,,,,,,,,Independent continuous,False,0.0
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent discrete,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,2.7273774999921443,151.9765625,1,0,optimal_independent_baseline,0.00956160000350792,0.7001473999989685,16.0,15.0,16.0,38.0,35.02627340802511,35.02628272322359,68.9345213613083,68.93453063803253,156.28309691137423,155.6376060886313,426.1842176844774,1.0,True,True,True,True,,,,,,,,,,,,Independent discrete,False,0.0
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-2F,False,other_resource_limit,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,product transition budget exceeded,2.7916091999941273,167.8671875,1,0,other_resource_limit,0.6514025000069523,0.5478144999942742,,,,,,,,,,,,,,,,,,,"Traceback (most recent call last):
  File ""C:\Users\a\PycharmProjects\PythonProject1\notebooks_paper\graph_only_v1\pilot_worker.py"", line 16, in <module>
    result=solve(A,B,p['delta1'],p['delta2'],p['delta3'],method,certificate=False,progress=progress)
  File ""C:\Users\a\PycharmProjects\PythonProject1\notebooks_paper\graph_only_v1\graph_core.py"", line 51, in solve
    raw=alg.solve_cps(A,B,d1,d2,d3,method,certificate=False,**LIMITS)
  File ""C:\Users\a\PycharmProjects\PythonProject1\cps_paper_algorithms.py"", line 189, in solve_cps
    if transitions>max_transitions:raise ResourceLimit('product transition budget exceeded')
                                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
cps_paper_algorithms.ResourceLimit: product transition budget exceeded
",,,,,,,,,Independent continuous,False,
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-3F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,1.4667590000026394,154.09765625,1,2,optimal_configuration_graph,0.08130840001103934,0.35324120000586845,16.0,15.0,16.0,38.0,35.02627340802511,35.02628272322359,68.9345213613083,68.93453063803253,156.28309691137423,155.6376060886313,426.1842176844774,1.0,True,True,True,True,1742.0,49344.0,,426.1842176844774,True,0.07986119999259245,16.0,1742.0,49344.0,0.0,0.0,Independent discrete,False,0.0
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.48157080151773,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent continuous,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,1.4035826999897836,153.64453125,1,0,optimal_independent_baseline,0.008293199993204325,0.38791809999383986,5.0,5.0,5.0,80.0,35.1840214931716,35.1840301942676,31.64601049174981,31.64601859317827,291.9603338383658,543.6776607993012,790.6098883954147,1.3984626803959483,False,False,False,True,,,,,,,,,,,,Independent continuous,False,0.0
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.48157080151773,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent discrete,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,1.343433100002585,152.1796875,1,0,optimal_independent_baseline,0.0033285999961663038,0.33235189999686554,25.0,18.0,25.0,14.000000000000002,0.0,0.0,22.25245746964613,22.252463374099925,0.0,24.765074163628086,565.3421428246969,1.0,True,True,True,True,,,,,,,,,,,,Independent discrete,False,0.0
