domain,pair,nA,nB,eligible,selection_rank,selected
protein,1o7j.a__1d9q.d,22,22,True,1.0,True
protein,1o7j.a__1hfj.c,22,22,True,2.0,True
protein,1o7j.a__1qd1.b,22,22,True,3.0,False
protein,1o7j.a__1toh.a,22,22,True,4.0,False
protein,1o7j.a__4eca.b,22,22,True,5.0,False
protein,1o7j.a__4eca.c,22,22,True,6.0,False
protein,1o7j.a__4eca.d,22,22,True,7.0,False
hurricane,EP081969__EP152009,27,38,True,,False
hurricane,EP041983__EP151967,26,27,True,,False
hurricane,EP051990__EP151989,26,40,True,,False
hurricane,EP161990__EP121985,55,42,True,,False
hurricane,EP071995__EP061984,27,27,True,,False
hurricane,AL021895__AL091887,36,47,True,,False
hurricane,EP171987__EP072012,27,33,True,,False
hurricane,EP042006__EP051990,33,26,True,,False
hurricane,AL041951__AL021903,52,43,True,,False
hurricane,EP081990__EP101990,35,38,True,,False
hurricane,EP121993__EP091990,50,47,True,,False
hurricane,EP042006__EP111985,33,36,True,,False
hurricane,EP131987__EP042002,29,30,True,,False
hurricane,EP131983__EP181989,34,33,True,,False
hurricane,EP211990__EP152008,26,38,True,,False
hurricane,EP092005__EP102008,34,41,True,,False
hurricane,EP051979__EP091965,29,37,True,,False
hurricane,EP031949__EP142014,25,35,True,,False
hurricane,EP101989__EP111983,27,36,True,,False
hurricane,EP042006__EP151989,33,40,True,,False
hurricane,AL021892__AL031890,40,33,True,,False
hurricane,EP031975__EP021969,35,33,True,,False
hurricane,EP051995__EP212015,36,33,True,,False
hurricane,EP092010__EP011969,30,28,True,,False
hurricane,EP082008__EP041978,40,29,True,,False
hurricane,EP071973__EP231990,25,67,True,,False
hurricane,EP162003__EP012002,25,31,True,,False
hurricane,EP011976__EP021984,44,82,True,,False
hurricane,EP012003__EP051968,28,33,True,,False
hurricane,EP101970__EP081954,25,27,True,,False
hurricane,EP051951__EP091975,29,35,True,,False
hurricane,EP131970__EP102015,27,36,True,,False
hurricane,EP041983__EP091972,26,33,True,,False
hurricane,EP191985__EP071972,37,37,True,,False
hurricane,EP112007__EP091993,30,42,True,,False
hurricane,EP031995__EP111968,42,41,True,,False
hurricane,EP131983__EP071972,34,37,True,,False
hurricane,EP071973__EP042002,25,30,True,,False
hurricane,EP111995__EP182014,41,36,True,,False
hurricane,EP102006__EP071987,32,28,True,,False
hurricane,EP051951__EP161970,29,31,True,,False
hurricane,EP091991__EP142000,26,37,True,,False
hurricane,EP131985__EP101980,29,26,True,,False
hurricane,EP172000__EP032014,32,41,True,,False
hurricane,EP031975__EP061982,35,32,True,,False
hurricane,EP042004__EP141990,30,35,True,,False
hurricane,EP081967__EP101980,25,26,True,,False
hurricane,EP112007__EP112006,30,32,True,,False
hurricane,AL021923__AL102000,38,29,True,,False
hurricane,EP031971__EP191990,27,35,True,,False
hurricane,EP041983__EP111975,26,37,True,,False
hurricane,EP101975__EP091972,31,33,True,,False
hurricane,EP071972__EP181989,37,33,True,,False
hurricane,EP051995__EP101983,36,31,True,,False
hurricane,EP111954__EP141998,25,47,True,,False
hurricane,EP181982__EP041992,40,50,True,,False
hurricane,EP091972__EP151967,33,27,True,,False
hurricane,EP112006__EP091993,32,42,True,,False
hurricane,AL031931__AL011917,34,33,True,,False
hurricane,EP031968__EP071971,27,29,True,,False
hurricane,EP102002__EP092000,31,25,True,,False
hurricane,EP172000__EP182014,32,36,True,,False
hurricane,EP042006__EP061982,33,32,True,,False
hurricane,EP102006__EP021981,32,25,True,,False
hurricane,EP081978__EP121968,32,37,True,,False
hurricane,AL031993__AL111988,33,53,True,,False
hurricane,AL012010__AL152000,32,34,True,,False
