configuration_id,attempt_count,status,validated,hashes_match
hurricane:EP172000__EP061970:a0.5|Independent continuous,1,validated,True,True
hurricane:EP172000__EP061970:a0.5|Independent discrete,1,validated,True,True
hurricane:EP172000__EP061970:a0.5|CPS-2F,1,validated,True,True
hurricane:EP172000__EP061970:a0.5|CPS-3F,1,validated,True,True
hurricane:EP111995__EP032014:a0.5|Independent continuous,1,validated,True,True
hurricane:EP111995__EP032014:a0.5|Independent discrete,1,validated,True,True
hurricane:EP111995__EP032014:a0.5|CPS-2F,1,validated,True,True
hurricane:EP111995__EP032014:a0.5|CPS-3F,1,validated,True,True
hurricane:EP061986__EP131991:a0.5|Independent continuous,1,validated,True,True
hurricane:EP061986__EP131991:a0.5|Independent discrete,1,validated,True,True
hurricane:EP061986__EP131991:a0.5|CPS-2F,1,validated,True,True
hurricane:EP061986__EP131991:a0.5|CPS-3F,1,validated,True,True
