configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,raw_kA,raw_kB,raw_k,observation_cohort
hurricane:EP172000__EP061970:a0.5|Independent continuous,1,hurricane,EP172000__EP061970,32,29,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP172000__EP061970.npz,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,Independent continuous,0.5,29.976738711059376,28.460236474616455,494.48158570658615,new,output\paper_v1\hurricane_extension_3\slots\01\attempts\hurricane3_01_c0e4722942de4edcaa11266316805ef1,validated,True,False,5,5,5,0.15625,0.1724137931034483,0.16393442622950818,0.0162576999864541,0.0009518999722786248,8.593053599994164,9.257552499999292,211.73828125,,,0,0,,0,False,independent_optimization,True,validated,,494.48158570658615,True,ecb0aa83d5c0a4120c837191b2f5dae767413c1885f6ae11d8714e198cbff968,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,5,5,5,hurricane_extension_3 single observation
hurricane:EP172000__EP061970:a0.5|Independent discrete,2,hurricane,EP172000__EP061970,32,29,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP172000__EP061970.npz,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,Independent discrete,0.5,29.976738711059376,28.460236474616455,494.48158570658615,new,output\paper_v1\hurricane_extension_3\slots\02\attempts\hurricane3_02_9fdee82a0e704fe7b40313cbe3c2fff4,validated,True,False,30,25,30,0.9375,0.8620689655172413,0.9016393442622951,0.006335199985187501,0.005236400000285357,7.287569000007352,8.011975500005065,194.421875,,,0,0,,0,False,independent_optimization,True,validated,,494.48158570658615,True,17553383e9283a783ef8a0cf7cc23b357f23ed39653568631f4bce3c6e657ec5,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,30,25,30,hurricane_extension_3 single observation
hurricane:EP172000__EP061970:a0.5|CPS-2F,3,hurricane,EP172000__EP061970,32,29,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP172000__EP061970.npz,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,CPS-2F,0.5,29.976738711059376,28.460236474616455,494.48158570658615,new,output\paper_v1\hurricane_extension_3\slots\03\attempts\hurricane3_03_b45df61f7c364569b48f895a3c451579,validated,True,False,5,5,5,0.15625,0.1724137931034483,0.16393442622950818,16.234476999990875,0.0024228999973274767,20.588111100019887,37.889891500002705,235.83984375,4069.0,2176448.0,4069,4068,0.0,2,True,configuration_graph,True,validated,,494.48158570658615,True,712648ad88e0a477f93637153afcced975055ee2aa7d6684202900c3120baeb7,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,5,5,5,hurricane_extension_3 single observation
hurricane:EP172000__EP061970:a0.5|CPS-3F,4,hurricane,EP172000__EP061970,32,29,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP172000__EP061970.npz,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,CPS-3F,0.5,29.976738711059376,28.460236474616455,494.48158570658615,new,output\paper_v1\hurricane_extension_3\slots\04\attempts\hurricane3_04_ef3ef5b482a148d1861bbc99a0efbb34,validated,True,False,30,25,30,0.9375,0.8620689655172413,0.9016393442622951,0.07123020000290126,0.007352900021942332,15.534938700002385,16.85449840000365,195.203125,350.0,1250.0,350,349,0.0,2,True,configuration_graph,True,validated,,494.48158570658615,True,f0648f6c44c69b63de0d0737172eea5764cb78e07bea3d6167cd8b20c377dd04,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,30,25,30,hurricane_extension_3 single observation
hurricane:EP111995__EP032014:a0.5|Independent continuous,5,hurricane,EP111995__EP032014,41,41,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP111995__EP032014.npz,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,Independent continuous,0.5,29.754472314578926,27.788037019698255,405.6324822546883,new,output\paper_v1\hurricane_extension_3\slots\05\attempts\hurricane3_05_544fb3f3607d4e0794fe4f019c330143,validated,True,False,8,7,8,0.1951219512195122,0.17073170731707318,0.18292682926829268,0.03512929999851622,0.0013946999970357865,8.432797000015853,9.106638800003566,211.58984375,,,0,0,,0,False,independent_optimization,True,validated,,702.063576973375,False,d69aad98411466322a7ab17765db65d8b99fadaf8f8e8d1cd08e25f587da6297,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,8,7,8,hurricane_extension_3 single observation
hurricane:EP111995__EP032014:a0.5|Independent discrete,6,hurricane,EP111995__EP032014,41,41,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP111995__EP032014.npz,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,Independent discrete,0.5,29.754472314578926,27.788037019698255,405.6324822546883,new,output\paper_v1\hurricane_extension_3\slots\06\attempts\hurricane3_06_eacef0d1253647f1ae27c2ff2018ac10,validated,True,False,36,39,39,0.8780487804878049,0.9512195121951219,0.9146341463414634,0.009860699996352196,0.009618799987947568,6.15014670000528,6.8446261000062805,194.71484375,,,0,0,,0,False,independent_optimization,True,validated,,405.6324822546883,True,125ec381330a27c58794269810db391b09ccc3bf176bf9193eaa6b53e00c9d75,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,36,39,39,hurricane_extension_3 single observation
hurricane:EP111995__EP032014:a0.5|CPS-2F,7,hurricane,EP111995__EP032014,41,41,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP111995__EP032014.npz,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,CPS-2F,0.5,29.754472314578926,27.788037019698255,405.6324822546883,new,output\paper_v1\hurricane_extension_3\slots\07\attempts\hurricane3_07_4c21c4ed71a9480f8e995dd5d7042530,validated,True,False,8,8,8,0.1951219512195122,0.1951219512195122,0.1951219512195122,18.389011899998877,0.0015631999995093793,9.443654200003948,28.47318830000586,262.60546875,9335.0,5300017.0,9335,9334,0.0,2,True,configuration_graph,True,validated,,405.6324822546883,True,6deeb7533deb56262a8aaed6594e3a11d368ecc3ad02f11411a8d63730879d0f,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,8,8,8,hurricane_extension_3 single observation
hurricane:EP111995__EP032014:a0.5|CPS-3F,8,hurricane,EP111995__EP032014,41,41,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP111995__EP032014.npz,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,CPS-3F,0.5,29.754472314578926,27.788037019698255,405.6324822546883,new,output\paper_v1\hurricane_extension_3\slots\08\attempts\hurricane3_08_c39016413aec43668328a3c20b36ffc0,validated,True,False,36,39,39,0.8780487804878049,0.9512195121951219,0.9146341463414634,0.045170500001404434,0.008299100009026006,6.217784299980849,6.931705099996179,194.953125,562.0,2597.0,562,561,0.0,2,True,configuration_graph,True,validated,,405.6324822546883,True,5e6f6402169c3496de5c35f97fbb48777980f9c6d5f6edc5abfafec793fff707,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,36,39,39,hurricane_extension_3 single observation
hurricane:EP061986__EP131991:a0.5|Independent continuous,9,hurricane,EP061986__EP131991,38,70,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP061986__EP131991.npz,da81fd2b7de704832cbd3be6f2951d4e46249bca00967c5d3b1e2b7b84676105,Independent continuous,0.5,74.61765238550089,44.18905419239473,444.44557675140607,new,output\paper_v1\hurricane_extension_3\slots\09\attempts\hurricane3_09_fbb5d270ca7a4c86bacbe7f25ec271a4,validated,True,False,4,9,9,0.10526315789473684,0.12857142857142856,0.12037037037037036,0.0903956999827642,0.0014170999929774553,8.555895299999975,9.363123999995878,211.48046875,,,0,0,,0,False,independent_optimization,True,validated,,1223.1636214249056,False,51082eed0e5e45d9df4dcc344aa174544ed23cb06aac7b2bb5245f04f9663b0c,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,4,9,9,hurricane_extension_3 single observation
hurricane:EP061986__EP131991:a0.5|Independent discrete,10,hurricane,EP061986__EP131991,38,70,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP061986__EP131991.npz,da81fd2b7de704832cbd3be6f2951d4e46249bca00967c5d3b1e2b7b84676105,Independent discrete,0.5,74.61765238550089,44.18905419239473,444.44557675140607,new,output\paper_v1\hurricane_extension_3\slots\10\attempts\hurricane3_10_7abd746c092446dd8f0d6e0a34cda991,validated,True,False,38,67,67,1.0,0.9571428571428572,0.9722222222222222,0.012466400017729029,0.01612409998779185,6.162499400001252,6.948430999997072,194.90234375,,,0,0,,0,False,independent_optimization,True,validated,,444.44557675140607,True,35a08582b595c0a52a60a7a045ade3db6a50b1a7775d4fedde78d4e0eb2a3703,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,38,67,67,hurricane_extension_3 single observation
