domain,pair,nA,nB,units,input_file,input_sha256,delta1,delta2,delta3,eligible,blocked_reason,plan_order,configuration_id,alpha,method,reuse_path,configuration_json
hurricane,EP172000__EP061970,32,29,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP172000__EP061970.npz,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,29.976738711059376,28.460236474616455,494.48158570658615,True,,1,hurricane:EP172000__EP061970:a0.5|Independent continuous,0.5,Independent continuous,,"{""domain"": ""hurricane"", ""pair"": ""EP172000__EP061970"", ""case"": ""hurricane:EP172000__EP061970:a0.5"", ""nA"": 32, ""nB"": 29, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 59.95347742211875, ""s_B"": 56.92047294923291, ""delta1"": 29.976738711059376, ""delta2"": 28.460236474616455, ""delta3"": 494.48158570658615, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP172000__EP061970.npz"", ""method"": ""Independent continuous"", ""diagnostic"": ""hurricane3_01"", ""certificate"": false, ""input_sha256"": ""9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP172000__EP061970:a0.5|Independent continuous""}"
hurricane,EP172000__EP061970,32,29,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP172000__EP061970.npz,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,29.976738711059376,28.460236474616455,494.48158570658615,True,,2,hurricane:EP172000__EP061970:a0.5|Independent discrete,0.5,Independent discrete,,"{""domain"": ""hurricane"", ""pair"": ""EP172000__EP061970"", ""case"": ""hurricane:EP172000__EP061970:a0.5"", ""nA"": 32, ""nB"": 29, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 59.95347742211875, ""s_B"": 56.92047294923291, ""delta1"": 29.976738711059376, ""delta2"": 28.460236474616455, ""delta3"": 494.48158570658615, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP172000__EP061970.npz"", ""method"": ""Independent discrete"", ""diagnostic"": ""hurricane3_02"", ""certificate"": false, ""input_sha256"": ""9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP172000__EP061970:a0.5|Independent discrete""}"
hurricane,EP172000__EP061970,32,29,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP172000__EP061970.npz,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,29.976738711059376,28.460236474616455,494.48158570658615,True,,3,hurricane:EP172000__EP061970:a0.5|CPS-2F,0.5,CPS-2F,,"{""domain"": ""hurricane"", ""pair"": ""EP172000__EP061970"", ""case"": ""hurricane:EP172000__EP061970:a0.5"", ""nA"": 32, ""nB"": 29, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 59.95347742211875, ""s_B"": 56.92047294923291, ""delta1"": 29.976738711059376, ""delta2"": 28.460236474616455, ""delta3"": 494.48158570658615, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP172000__EP061970.npz"", ""method"": ""CPS-2F"", ""diagnostic"": ""hurricane3_03"", ""certificate"": false, ""input_sha256"": ""9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP172000__EP061970:a0.5|CPS-2F""}"
hurricane,EP172000__EP061970,32,29,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP172000__EP061970.npz,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,29.976738711059376,28.460236474616455,494.48158570658615,True,,4,hurricane:EP172000__EP061970:a0.5|CPS-3F,0.5,CPS-3F,,"{""domain"": ""hurricane"", ""pair"": ""EP172000__EP061970"", ""case"": ""hurricane:EP172000__EP061970:a0.5"", ""nA"": 32, ""nB"": 29, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 59.95347742211875, ""s_B"": 56.92047294923291, ""delta1"": 29.976738711059376, ""delta2"": 28.460236474616455, ""delta3"": 494.48158570658615, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP172000__EP061970.npz"", ""method"": ""CPS-3F"", ""diagnostic"": ""hurricane3_04"", ""certificate"": false, ""input_sha256"": ""9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP172000__EP061970:a0.5|CPS-3F""}"
hurricane,EP111995__EP032014,41,41,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP111995__EP032014.npz,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,29.754472314578926,27.788037019698255,405.6324822546883,True,,5,hurricane:EP111995__EP032014:a0.5|Independent continuous,0.5,Independent continuous,,"{""domain"": ""hurricane"", ""pair"": ""EP111995__EP032014"", ""case"": ""hurricane:EP111995__EP032014:a0.5"", ""nA"": 41, ""nB"": 41, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 59.50894462915785, ""s_B"": 55.57607403939651, ""delta1"": 29.754472314578926, ""delta2"": 27.788037019698255, ""delta3"": 405.6324822546883, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP111995__EP032014.npz"", ""method"": ""Independent continuous"", ""diagnostic"": ""hurricane3_05"", ""certificate"": false, ""input_sha256"": ""19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP111995__EP032014:a0.5|Independent continuous""}"
hurricane,EP111995__EP032014,41,41,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP111995__EP032014.npz,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,29.754472314578926,27.788037019698255,405.6324822546883,True,,6,hurricane:EP111995__EP032014:a0.5|Independent discrete,0.5,Independent discrete,,"{""domain"": ""hurricane"", ""pair"": ""EP111995__EP032014"", ""case"": ""hurricane:EP111995__EP032014:a0.5"", ""nA"": 41, ""nB"": 41, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 59.50894462915785, ""s_B"": 55.57607403939651, ""delta1"": 29.754472314578926, ""delta2"": 27.788037019698255, ""delta3"": 405.6324822546883, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP111995__EP032014.npz"", ""method"": ""Independent discrete"", ""diagnostic"": ""hurricane3_06"", ""certificate"": false, ""input_sha256"": ""19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP111995__EP032014:a0.5|Independent discrete""}"
hurricane,EP111995__EP032014,41,41,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP111995__EP032014.npz,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,29.754472314578926,27.788037019698255,405.6324822546883,True,,7,hurricane:EP111995__EP032014:a0.5|CPS-2F,0.5,CPS-2F,,"{""domain"": ""hurricane"", ""pair"": ""EP111995__EP032014"", ""case"": ""hurricane:EP111995__EP032014:a0.5"", ""nA"": 41, ""nB"": 41, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 59.50894462915785, ""s_B"": 55.57607403939651, ""delta1"": 29.754472314578926, ""delta2"": 27.788037019698255, ""delta3"": 405.6324822546883, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP111995__EP032014.npz"", ""method"": ""CPS-2F"", ""diagnostic"": ""hurricane3_07"", ""certificate"": false, ""input_sha256"": ""19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP111995__EP032014:a0.5|CPS-2F""}"
hurricane,EP111995__EP032014,41,41,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP111995__EP032014.npz,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,29.754472314578926,27.788037019698255,405.6324822546883,True,,8,hurricane:EP111995__EP032014:a0.5|CPS-3F,0.5,CPS-3F,,"{""domain"": ""hurricane"", ""pair"": ""EP111995__EP032014"", ""case"": ""hurricane:EP111995__EP032014:a0.5"", ""nA"": 41, ""nB"": 41, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 59.50894462915785, ""s_B"": 55.57607403939651, ""delta1"": 29.754472314578926, ""delta2"": 27.788037019698255, ""delta3"": 405.6324822546883, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP111995__EP032014.npz"", ""method"": ""CPS-3F"", ""diagnostic"": ""hurricane3_08"", ""certificate"": false, ""input_sha256"": ""19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP111995__EP032014:a0.5|CPS-3F""}"
hurricane,EP061986__EP131991,38,70,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP061986__EP131991.npz,da81fd2b7de704832cbd3be6f2951d4e46249bca00967c5d3b1e2b7b84676105,74.61765238550089,44.18905419239473,444.44557675140607,True,,9,hurricane:EP061986__EP131991:a0.5|Independent continuous,0.5,Independent continuous,,"{""domain"": ""hurricane"", ""pair"": ""EP061986__EP131991"", ""case"": ""hurricane:EP061986__EP131991:a0.5"", ""nA"": 38, ""nB"": 70, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 149.23530477100178, ""s_B"": 88.37810838478946, ""delta1"": 74.61765238550089, ""delta2"": 44.18905419239473, ""delta3"": 444.44557675140607, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP061986__EP131991.npz"", ""method"": ""Independent continuous"", ""diagnostic"": ""hurricane3_09"", ""certificate"": false, ""input_sha256"": ""da81fd2b7de704832cbd3be6f2951d4e46249bca00967c5d3b1e2b7b84676105"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP061986__EP131991:a0.5|Independent continuous""}"
hurricane,EP061986__EP131991,38,70,projected km,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP061986__EP131991.npz,da81fd2b7de704832cbd3be6f2951d4e46249bca00967c5d3b1e2b7b84676105,74.61765238550089,44.18905419239473,444.44557675140607,True,,10,hurricane:EP061986__EP131991:a0.5|Independent discrete,0.5,Independent discrete,,"{""domain"": ""hurricane"", ""pair"": ""EP061986__EP131991"", ""case"": ""hurricane:EP061986__EP131991:a0.5"", ""nA"": 38, ""nB"": 70, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 149.23530477100178, ""s_B"": 88.37810838478946, ""delta1"": 74.61765238550089, ""delta2"": 44.18905419239473, ""delta3"": 444.44557675140607, ""input_file"": ""output\\paper_v1\\hurricane_extension_3\\inputs\\hurricane_EP061986__EP131991.npz"", ""method"": ""Independent discrete"", ""diagnostic"": ""hurricane3_10"", ""certificate"": false, ""input_sha256"": ""da81fd2b7de704832cbd3be6f2951d4e46249bca00967c5d3b1e2b7b84676105"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP061986__EP131991:a0.5|Independent discrete""}"
