claim,value,source
planned,80,results_with_strata.csv
observed,80,results_with_strata.csv
validated,79,results_with_strata.csv
resource_limited,1,results_with_strata.csv
validation_incomplete,0,results_with_strata.csv
pending,0,results_with_strata.csv
eligible_pool,2209,selection_pool.json and input_manifest.json
selected_pairs,20,selection_pool.json and input_manifest.json
reused_prior_storms,0,selection_pool.json and input_manifest.json
reused_within_storms,0,selection_pool.json and input_manifest.json
continuous_matched,19,tables/matched_quality.csv
continuous_equal,17,tables/matched_quality.csv
continuous_extra,2,tables/matched_quality.csv
continuous_equal_k_repairs,13,tables/matched_quality.csv
discrete_matched,20,tables/matched_quality.csv
discrete_equal,20,tables/matched_quality.csv
discrete_extra,0,tables/matched_quality.csv
discrete_equal_k_repairs,0,tables/matched_quality.csv
