configuration_id,plan_order,domain,pair,alpha,method,nA,nB,origin,attempt_path,status,search_completed,construction_completed,count_scope,quantity,observed,finite_upper_bound,percent_of_bound,formula,assumptions,source,asymptotic_states,missing_reason,bound_missing_reason,pair_alias
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,auxiliary_A,50.0,1300,3.8461538461538463,2 k(k-1),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_dense_A,1976.0,34476,5.731523378582202,k*(k+2k(k-1)),"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_active_A,100.0,1976,5.060728744939271,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_edges_with_waits_A,2580.0,5050,51.08910891089109,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,auxiliary_B,62.0,1860,3.3333333333333335,2 k(k-1),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_dense_B,2883.0,58621,4.918032786885246,k*(k+2k(k-1)),"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_active_B,142.0,2883,4.92542490461325,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_edges_with_waits_B,4031.0,10153,39.7025509701566,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,configuration_states_input_bound,3208.0,2021017596,0.0001587319183340747,n*m*(n+2n(n-1))*(m+2m(m-1)),All index combinations; includes source/terminal; no hidden asymptotic constant,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,configuration_states_extended_bound,3208.0,5696808,0.05631223660688582,n*m*(n+aA)*(m+aB),Actual extended-curve sizes; all index combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,configuration_states_active_bound,3208.0,14200,22.591549295774648,H_A*H_B,Completed single graphs; includes coupling-invalid combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,candidate_transition_checks,1098127.0,10385780,10.57337051237365,E_A*E_B-H_A*H_B,No duplicate single-graph entries; each product source popped once; excludes simultaneous waits,Finite derivation from solve_cps() and chain_graph(); see graph_bounds.md,O(n^3 m^3),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,unique_configuration_edges,,100812900,,"N*(N-1)/2, N=H_A*H_B",Product graph not materialized; no observed unique-edge count; strict forward topological order,Finite DAG counting derivation; not a transition-check measurement,O(n^3 m^3),Counter unavailable or phase not reached; historical runs not rerun,,S1
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,dynamic_programming_labels,,369200,,n*H_A*H_B,At most n distinct A-hop counts per state; labels not instrumented,Thesis section5.1; manuscript section4.4; solve_cps values dictionaries,O(n^3 m^3),Counter unavailable or phase not reached; historical runs not rerun,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,auxiliary_A,0.0,0,,0 (no auxiliary locations),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,Zero/non-applicable bound,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_dense_A,676.0,676,100.0,k^2,"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_active_A,26.0,676,3.8461538461538463,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_edges_with_waits_A,51.0,351,14.52991452991453,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^2 m^2),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,auxiliary_B,0.0,0,,0 (no auxiliary locations),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,Zero/non-applicable bound,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_dense_B,961.0,961,100.0,k^2,"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_active_B,42.0,961,4.37044745057232,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_edges_with_waits_B,122.0,903,13.510520487264673,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^2 m^2),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,configuration_states_input_bound,243.0,649636,0.03740556249961517,n^2*m^2,All index combinations; includes source/terminal; no hidden asymptotic constant,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,configuration_states_active_bound,243.0,1092,22.252747252747252,H_A*H_B,Completed single graphs; includes coupling-invalid combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,candidate_transition_checks,891.0,5130,17.36842105263158,E_A*E_B-H_A*H_B,No duplicate single-graph entries; each product source popped once; excludes simultaneous waits,Finite derivation from solve_cps() and chain_graph(); see graph_bounds.md,O(n^2 m^2),,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,unique_configuration_edges,,595686,,"N*(N-1)/2, N=H_A*H_B",Product graph not materialized; no observed unique-edge count; strict forward topological order,Finite DAG counting derivation; not a transition-check measurement,O(n^2 m^2),Counter unavailable or phase not reached; historical runs not rerun,,S1
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,dynamic_programming_labels,,28392,,n*H_A*H_B,At most n distinct A-hop counts per state; labels not instrumented,Thesis section5.1; manuscript section4.4; solve_cps values dictionaries,O(n^2 m^2),Counter unavailable or phase not reached; historical runs not rerun,,S1
hurricane:AL091944__AL031917:a0.5|CPS-2F,6,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,new,output\paper_v1\hurricane_final_20\slots\06\attempts\final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,auxiliary_A,56.0,1624,3.4482758620689653,2 k(k-1),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,,S2
