configuration_id,domain,pair,alpha,method,status,observed,finite_upper_bound,percent_of_bound,search_completed,construction_completed,count_scope,formula,source
hurricane:EP092002__EP171994:a0.5|CPS-2F,hurricane,EP092002__EP171994,0.5,CPS-2F,validated,3208.0,2021017596,0.0001587319183340747,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP092002__EP171994:a0.5|CPS-3F,hurricane,EP092002__EP171994,0.5,CPS-3F,validated,243.0,649636,0.03740556249961517,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL091944__AL031917:a0.5|CPS-2F,hurricane,AL091944__AL031917,0.5,CPS-2F,validated,3660.0,4051874925,9.032855326846004e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL091944__AL031917:a0.5|CPS-3F,hurricane,AL091944__AL031917,0.5,CPS-3F,validated,195.0,1030225,0.018927904098619233,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP101985__EP151985:a0.5|CPS-2F,hurricane,EP101985__EP151985,0.5,CPS-2F,validated,4039.0,10823177100,3.731806254930449e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP101985__EP151985:a0.5|CPS-3F,hurricane,EP101985__EP151985,0.5,CPS-3F,validated,288.0,1976836,0.014568735089810181,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP031965__EP141991:a0.5|CPS-3F,hurricane,EP031965__EP141991,0.5,CPS-3F,validated,260.0,1102500,0.023582766439909298,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP031965__EP141991:a0.5|CPS-2F,hurricane,EP031965__EP141991,0.5,CPS-2F,validated,3543.0,4483867500,7.901660787255645e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL061921__AL101926:a0.5|CPS-2F,hurricane,AL061921__AL101926,0.5,CPS-2F,transition_budget_limit,24180.0,57701086605,4.190562331265477e-05,False,True,observed before termination,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL061921__AL101926:a0.5|CPS-3F,hurricane,AL061921__AL101926,0.5,CPS-3F,validated,2926.0,6007401,0.04870658709148931,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP041976__EP041984:a0.5|CPS-2F,hurricane,EP041976__EP041984,0.5,CPS-2F,validated,3295.0,11622528000,2.835011453618352e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP041976__EP041984:a0.5|CPS-3F,hurricane,EP041976__EP041984,0.5,CPS-3F,validated,225.0,2073600,0.010850694444444444,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP081967__EP101980:a0.5|CPS-2F,hurricane,EP081967__EP101980,0.5,CPS-2F,validated,1675.0,1055827500,0.0001586433389924017,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP081967__EP101980:a0.5|CPS-3F,hurricane,EP081967__EP101980,0.5,CPS-3F,validated,100.0,422500,0.023668639053254437,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP031994__EP031978:a0.5|CPS-3F,hurricane,EP031994__EP031978,0.5,CPS-3F,validated,235.0,1030225,0.022810551093207794,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP031994__EP031978:a0.5|CPS-2F,hurricane,EP031994__EP031978,0.5,CPS-2F,validated,3403.0,4051874925,8.398581059359823e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP021985__EP181984:a0.5|CPS-2F,hurricane,EP021985__EP181984,0.5,CPS-2F,validated,6553.0,12528990576,5.230269717460437e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP021985__EP181984:a0.5|CPS-3F,hurricane,EP021985__EP181984,0.5,CPS-3F,validated,504.0,2178576,0.02313437768524027,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL101886__AL051950:a0.5|CPS-2F,hurricane,AL101886__AL051950,0.5,CPS-2F,validated,11941.0,3316687500,0.00036002788927205233,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
