pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason
AL011852__AL081959,"['AL011852', 'AL081959']",hurricane,atlantic,45,50,True,
AL011860__AL051912,"['AL011860', 'AL051912']",hurricane,atlantic,35,30,True,
AL011861__AL021943,"['AL011861', 'AL021943']",hurricane,atlantic,28,26,True,
AL011861__AL041852,"['AL011861', 'AL041852']",hurricane,atlantic,28,36,True,
AL011885__AL071894,"['AL011885', 'AL071894']",hurricane,atlantic,36,42,True,
AL011885__AL211995,"['AL011885', 'AL211995']",hurricane,atlantic,36,29,True,
AL011892__AL011968,"['AL011892', 'AL011968']",hurricane,atlantic,33,51,True,
AL011893__AL061904,"['AL011893', 'AL061904']",hurricane,atlantic,36,26,True,
AL011897__AL071901,"['AL011897', 'AL071901']",hurricane,atlantic,43,55,True,
AL011897__AL101936,"['AL011897', 'AL101936']",hurricane,atlantic,43,49,True,
AL011910__AL011928,"['AL011910', 'AL011928']",hurricane,atlantic,27,46,True,
AL011910__AL021943,"['AL011910', 'AL021943']",hurricane,atlantic,27,26,True,
AL011912__AL011957,"['AL011912', 'AL011957']",hurricane,atlantic,42,32,True,
AL011917__AL091887,"['AL011917', 'AL091887']",hurricane,atlantic,33,47,True,
AL011918__AL031933,"['AL011918', 'AL031933']",hurricane,atlantic,28,55,True,
AL011920__AL111976,"['AL011920', 'AL111976']",hurricane,atlantic,38,45,True,
AL011923__AL041979,"['AL011923', 'AL041979']",hurricane,atlantic,28,29,True,
AL011923__AL071871,"['AL011923', 'AL071871']",hurricane,atlantic,28,33,True,
AL011926__AL042005,"['AL011926', 'AL042005']",hurricane,atlantic,47,59,True,
AL011927__AL081955,"['AL011927', 'AL081955']",hurricane,atlantic,45,69,True,
AL011928__AL011852,"['AL011928', 'AL011852']",hurricane,atlantic,46,45,True,
AL011928__AL021939,"['AL011928', 'AL021939']",hurricane,atlantic,46,49,True,
AL011953__AL172008,"['AL011953', 'AL172008']",hurricane,atlantic,53,35,True,
AL011963__AL081996,"['AL011963', 'AL081996']",hurricane,atlantic,43,53,True,
AL011964__AL021886,"['AL011964', 'AL021886']",hurricane,atlantic,38,33,True,
AL011965__AL041902,"['AL011965', 'AL041902']",hurricane,atlantic,29,44,True,
AL011970__AL111964,"['AL011970', 'AL111964']",hurricane,atlantic,39,35,True,
AL011991__AL021906,"['AL011991', 'AL021906']",hurricane,atlantic,25,41,True,
AL011994__AL052010,"['AL011994', 'AL052010']",hurricane,atlantic,32,32,True,
AL012005__AL171995,"['AL012005', 'AL171995']",hurricane,atlantic,25,39,True,
AL012010__AL152000,"['AL012010', 'AL152000']",hurricane,atlantic,32,34,True,
AL021867__AL031862,"['AL021867', 'AL031862']",hurricane,atlantic,28,34,True,
AL021867__AL061886,"['AL021867', 'AL061886']",hurricane,atlantic,28,52,True,
AL021867__AL071898,"['AL021867', 'AL071898']",hurricane,atlantic,28,49,True,
AL021867__AL071961,"['AL021867', 'AL071961']",hurricane,atlantic,28,41,True,
AL021867__AL082008,"['AL021867', 'AL082008']",hurricane,atlantic,28,49,True,
AL021868__AL012001,"['AL021868', 'AL012001']",hurricane,atlantic,29,57,True,
AL021873__AL122012,"['AL021873', 'AL122012']",hurricane,atlantic,64,60,True,
AL021876__AL112004,"['AL021876', 'AL112004']",hurricane,atlantic,33,69,True,
AL021877__AL041979,"['AL021877', 'AL041979']",hurricane,atlantic,34,29,True,
AL021878__AL011917,"['AL021878', 'AL011917']",hurricane,atlantic,45,33,True,
AL021878__AL091887,"['AL021878', 'AL091887']",hurricane,atlantic,45,47,True,
AL021878__AL131967,"['AL021878', 'AL131967']",hurricane,atlantic,45,70,True,
AL021879__AL031966,"['AL021879', 'AL031966']",hurricane,atlantic,32,36,True,
AL021879__AL041899,"['AL021879', 'AL041899']",hurricane,atlantic,32,43,True,
AL021879__AL071898,"['AL021879', 'AL071898']",hurricane,atlantic,32,49,True,
AL021879__AL082008,"['AL021879', 'AL082008']",hurricane,atlantic,32,49,True,
AL021879__AL091945,"['AL021879', 'AL091945']",hurricane,atlantic,32,39,True,
AL021880__AL021919,"['AL021880', 'AL021919']",hurricane,atlantic,45,59,True,
AL021880__AL031910,"['AL021880', 'AL031910']",hurricane,atlantic,45,44,True,
