pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason,max_length,length_ratio,size_quartile,ratio_group,stratum,reused_prior_storms,reused_current_storms,selection_order,tie_pool_size,blocked_reason,units,subsampling,alignment,source_files,input_file,input_sha256,s_A,s_B,delta3,delta1,delta2,source_hashes
EP092002__EP171994,"['EP092002', 'EP171994']",hurricane,pacific,26,31,True,,31,1.1923076923076923,1,balanced,Q1_balanced,[],[],1,519,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP092002.txt', 'data/hurricanes/EP171994.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,91.67508049324879,82.35474240370239,366.7686943223481,45.83754024662439,41.177371201851194,"{'data/hurricanes/EP092002.txt': '350940581a9d72c6a06d784c27a596c8d24512e2120570430668b81108452877', 'data/hurricanes/EP171994.txt': 'f52b8f4bf6a06f69e178641713ccfeb9c610b4ff2ef1057b55256aa9a03e532c'}"
AL091944__AL031917,"['AL091944', 'AL031917']",hurricane,atlantic,29,35,True,,35,1.206896551724138,2,balanced,Q2_balanced,[],[],2,550,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/AL091944.txt', 'data/hurricanes/AL031917.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,243.97413644736525,221.45530556928594,780.7843688813,121.98706822368263,110.72765278464297,"{'data/hurricanes/AL091944.txt': '9aee5d4fc27210025337b11eceaced69ae31cd967bbf4450202311c58d4e2f63', 'data/hurricanes/AL031917.txt': 'de2e1ab6a12efcfa4e3a605f79397c8c0cb06f61ef11a4d4e48fcfff2175e8a9'}"
EP101985__EP151985,"['EP101985', 'EP151985']",hurricane,pacific,37,38,True,,38,1.027027027027027,3,balanced,Q3_balanced,[],[],3,360,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP101985.txt', 'data/hurricanes/EP151985.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP101985__EP151985.npz,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,95.61374475722793,102.08406866213599,406.85909889789855,47.80687237861397,51.042034331067995,"{'data/hurricanes/EP101985.txt': '10002436bc6a641cb9c98c075553b83a8ae2829563b1fe785c520af65072c9cb', 'data/hurricanes/EP151985.txt': 'f576c498a1d444d05a8821cf77e8aa50d43e393a436176b9089c9fdcf5c4cd8f'}"
EP031965__EP141991,"['EP031965', 'EP141991']",hurricane,pacific,25,42,True,,42,1.68,3,unequal,Q3_unequal,[],[],4,76,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP031965.txt', 'data/hurricanes/EP141991.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP031965__EP141991.npz,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,97.41729073726759,70.90586329093748,434.6913296711127,48.708645368633796,35.45293164546874,"{'data/hurricanes/EP031965.txt': 'a9598aca93f815e5cfba847a947f7c25e6de9e8498cbdcf321549cd2f24932ff', 'data/hurricanes/EP141991.txt': '334be198ce35c173412fe0149b69f64c0d66dd677a257fc9d5eaaaf0ca2c4bc7'}"
AL061921__AL101926,"['AL061921', 'AL101926']",hurricane,atlantic,43,57,True,,57,1.3255813953488371,4,balanced,Q4_balanced,[],[],5,336,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/AL061921.txt', 'data/hurricanes/AL101926.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_AL061921__AL101926.npz,075b62ae7810f20aaee5716a08592d9c34d29821f5cad9ce1f78dbd209b3c638,117.77519106228858,125.66092025542433,1227.852607303796,58.88759553114429,62.830460127712165,"{'data/hurricanes/AL061921.txt': '8610de1d14141fdc2173bfa49ad77d40820e40cc08a3be2effec2956bd1a2359', 'data/hurricanes/AL101926.txt': '2e706cfe82da7b4d32505abbe14675a122d6d0b0ac2767e4fd7ebc45f235353f'}"
EP041976__EP041984,"['EP041976', 'EP041984']",hurricane,pacific,30,48,True,,48,1.6,4,unequal,Q4_unequal,[],[],6,164,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP041976.txt', 'data/hurricanes/EP041984.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP041976__EP041984.npz,2b36cf5f84c94603b94c277ea7970c2e6cf82612160bc26c97cfa9ab20d6faf9,167.2880410211289,100.78153709586026,436.5324275155856,83.64402051056445,50.39076854793013,"{'data/hurricanes/EP041976.txt': '814c9aa52e57baa932c561d021a20fdb6241887fea9e875996e41bef4bfbe80a', 'data/hurricanes/EP041984.txt': 'd0b21340215c16530002b98f76e6204ce17d620fc2d1099f49f291428618da85'}"
EP081967__EP101980,"['EP081967', 'EP101980']",hurricane,pacific,25,26,True,,26,1.04,1,balanced,Q1_balanced,[],[],7,505,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP081967.txt', 'data/hurricanes/EP101980.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP081967__EP101980.npz,0946514b39933f9ee0d804e81a1a0d4ec1b8e11aaa85884cc2187bcb3030e97c,116.99652378310414,112.49033955577293,275.4479155672447,58.49826189155207,56.24516977788647,"{'data/hurricanes/EP081967.txt': '8ef403b55fbd3405bf953e4bdf8901c8b6a5e3171bcdd646fa311b0362f5772b', 'data/hurricanes/EP101980.txt': '6bbc21603fbc138c3b91c3ee8beb1d8628e51a58289e7528f12fc11a5be40688'}"
EP031994__EP031978,"['EP031994', 'EP031978']",hurricane,pacific,29,35,True,,35,1.206896551724138,2,balanced,Q2_balanced,[],[],8,525,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP031994.txt', 'data/hurricanes/EP031978.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP031994__EP031978.npz,1d28bc38a35762d764489667768030a48b0d3b023d8e11cf8dd1e994b766d591,111.91826950362963,101.85169118911543,569.7520381273594,55.959134751814815,50.925845594557714,"{'data/hurricanes/EP031994.txt': '64d017d9f63a482d5571dc2750ed5f987c0eeeedf4df9efc46674f5f103435c7', 'data/hurricanes/EP031978.txt': 'ad8d7f1cf36a03c3b97c10e854998193fc1044b8e23b9e906c78d626dd766570'}"
EP021985__EP181984,"['EP021985', 'EP181984']",hurricane,pacific,41,36,True,,41,1.1388888888888888,3,balanced,Q3_balanced,[],[],9,334,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP021985.txt', 'data/hurricanes/EP181984.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP021985__EP181984.npz,55cb19cbe18e96961f064d76de7fb24a5594e61c951d573b5bcccb3346af57b6,86.75751170865064,73.17506704154135,472.3424551981962,43.37875585432532,36.58753352077068,"{'data/hurricanes/EP021985.txt': 'd41ad8efa2a5f3c402e1c16a087ad4057f50daf5346c0d2bd494f180ae56b7c8', 'data/hurricanes/EP181984.txt': 'ff43cdbbbb9bc1e4e255c8ba5486c47b06d3da7351141ecb76ce868e32058063'}"
AL101886__AL051950,"['AL101886', 'AL051950']",hurricane,atlantic,25,38,True,,38,1.52,3,unequal,Q3_unequal,[],[],10,69,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/AL101886.txt', 'data/hurricanes/AL051950.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_AL101886__AL051950.npz,f25f94d3a701d9a25b14646dc7b39b615e35be775c28cac17d3aa907bd4c8de6,86.94859781805319,71.52626353880962,820.0003849815315,43.474298909026594,35.76313176940481,"{'data/hurricanes/AL101886.txt': 'ca06f85d1ab602472be4422c307e61e726651eac9023778c6bc34f78fbcde960', 'data/hurricanes/AL051950.txt': 'a40211538272b8ca8b071e3a1dda26463c92b9c0c03399f5cc805594aec0e30b'}"
