configuration_id,plan_order,domain,pair,alpha,method,nA,nB,origin,attempt_path,status,search_completed,construction_completed,count_scope,quantity,observed,finite_upper_bound,percent_of_bound,formula,assumptions,source,asymptotic_states,missing_reason,bound_missing_reason
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,auxiliary_A,50.0,1300.0,3.8461538461538463,2 k(k-1),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_dense_A,1976.0,34476.0,5.731523378582202,k*(k+2k(k-1)),"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_active_A,100.0,1976.0,5.060728744939271,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_edges_with_waits_A,2580.0,5050.0,51.08910891089109,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,auxiliary_B,62.0,1860.0,3.333333333333333,2 k(k-1),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_dense_B,2883.0,58621.0,4.918032786885246,k*(k+2k(k-1)),"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_active_B,142.0,2883.0,4.92542490461325,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,single_edges_with_waits_B,4031.0,10153.0,39.7025509701566,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,configuration_states_input_bound,3208.0,2021017596.0,0.000158731918334,n*m*(n+2n(n-1))*(m+2m(m-1)),All index combinations; includes source/terminal; no hidden asymptotic constant,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,configuration_states_extended_bound,3208.0,5696808.0,0.0563122366068858,n*m*(n+aA)*(m+aB),Actual extended-curve sizes; all index combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,configuration_states_active_bound,3208.0,14200.0,22.591549295774648,H_A*H_B,Completed single graphs; includes coupling-invalid combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,candidate_transition_checks,1098127.0,10385780.0,10.57337051237365,E_A*E_B-H_A*H_B,No duplicate single-graph entries; each product source popped once; excludes simultaneous waits,Finite derivation from solve_cps() and chain_graph(); see graph_bounds.md,O(n^3 m^3),,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,unique_configuration_edges,,100812900.0,,"N*(N-1)/2, N=H_A*H_B",Product graph not materialized; no observed unique-edge count; strict forward topological order,Finite DAG counting derivation; not a transition-check measurement,O(n^3 m^3),Counter unavailable or phase not reached; historical runs not rerun,
hurricane:EP092002__EP171994:a0.5|CPS-2F,211,hurricane,EP092002__EP171994,0.5,CPS-2F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,True,completed search,dynamic_programming_labels,,369200.0,,n*H_A*H_B,At most n distinct A-hop counts per state; labels not instrumented,Thesis section5.1; manuscript section4.4; solve_cps values dictionaries,O(n^3 m^3),Counter unavailable or phase not reached; historical runs not rerun,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,auxiliary_A,0.0,0.0,,0 (no auxiliary locations),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,Zero/non-applicable bound
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_dense_A,676.0,676.0,100.0,k^2,"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_active_A,26.0,676.0,3.8461538461538463,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_edges_with_waits_A,51.0,351.0,14.52991452991453,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^2 m^2),,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,auxiliary_B,0.0,0.0,,0 (no auxiliary locations),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,Zero/non-applicable bound
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_dense_B,961.0,961.0,100.0,k^2,"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_active_B,42.0,961.0,4.37044745057232,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,single_edges_with_waits_B,122.0,903.0,13.510520487264673,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^2 m^2),,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,configuration_states_input_bound,243.0,649636.0,0.0374055624996151,n^2*m^2,All index combinations; includes source/terminal; no hidden asymptotic constant,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,configuration_states_active_bound,243.0,1092.0,22.25274725274725,H_A*H_B,Completed single graphs; includes coupling-invalid combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^2 m^2),,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,candidate_transition_checks,891.0,5130.0,17.36842105263158,E_A*E_B-H_A*H_B,No duplicate single-graph entries; each product source popped once; excludes simultaneous waits,Finite derivation from solve_cps() and chain_graph(); see graph_bounds.md,O(n^2 m^2),,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,unique_configuration_edges,,595686.0,,"N*(N-1)/2, N=H_A*H_B",Product graph not materialized; no observed unique-edge count; strict forward topological order,Finite DAG counting derivation; not a transition-check measurement,O(n^2 m^2),Counter unavailable or phase not reached; historical runs not rerun,
hurricane:EP092002__EP171994:a0.5|CPS-3F,212,hurricane,EP092002__EP171994,0.5,CPS-3F,26,31,historical attempt,output/paper_v1/hurricane_final_20/slots/04/attempts/final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,True,completed search,dynamic_programming_labels,,28392.0,,n*H_A*H_B,At most n distinct A-hop counts per state; labels not instrumented,Thesis section5.1; manuscript section4.4; solve_cps values dictionaries,O(n^2 m^2),Counter unavailable or phase not reached; historical runs not rerun,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,auxiliary_A,56.0,1624.0,3.4482758620689653,2 k(k-1),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,single_dense_A,2465.0,47937.0,5.142165759225651,k*(k+2k(k-1)),"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,single_active_A,133.0,2465.0,5.395537525354969,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,single_edges_with_waits_A,4459.0,8911.0,50.03927729772192,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,auxiliary_B,68.0,2380.0,2.857142857142857,2 k(k-1),Interior curve-parameter intersections; CPS-3F percentage not applicable,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,single_dense_B,3605.0,84525.0,4.265010351966874,k*(k+2k(k-1)),"Dense indexing slots, not valid vertices",Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,single_active_B,147.0,3605.0,4.077669902912621,k*(k+a),Anchored source/terminal included; single-graph construction complete,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,single_edges_with_waits_B,5134.0,10878.0,47.19617576760434,H*(H+1)/2,Unique forward transitions plus exactly H waits; completed graph,Finite derivation from chain_graph() enumeration and pruning,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,configuration_states_input_bound,3660.0,4051874925.0,9.032855326846004e-05,n*m*(n+2n(n-1))*(m+2m(m-1)),All index combinations; includes source/terminal; no hidden asymptotic constant,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,configuration_states_extended_bound,3660.0,8886325.0,0.041186879840654,n*m*(n+aA)*(m+aB),Actual extended-curve sizes; all index combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,configuration_states_active_bound,3660.0,19551.0,18.720270062912384,H_A*H_B,Completed single graphs; includes coupling-invalid combinations,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,candidate_transition_checks,2318923.0,22872955.0,10.138274656685155,E_A*E_B-H_A*H_B,No duplicate single-graph entries; each product source popped once; excludes simultaneous waits,Finite derivation from solve_cps() and chain_graph(); see graph_bounds.md,O(n^3 m^3),,
hurricane:AL091944__AL031917:a0.5|CPS-2F,214,hurricane,AL091944__AL031917,0.5,CPS-2F,29,35,historical attempt,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,True,completed search,unique_configuration_edges,,191111025.0,,"N*(N-1)/2, N=H_A*H_B",Product graph not materialized; no observed unique-edge count; strict forward topological order,Finite DAG counting derivation; not a transition-check measurement,O(n^3 m^3),Counter unavailable or phase not reached; historical runs not rerun,
