configuration_id,attempts,input_sha256,configuration_sha256,status,raw_sha256
hurricane:EP092002__EP171994:a0.5|Independent continuous,1,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,41bf95568ffd2024d7edd6a840f9f7c1300fbaf0573d187b13e96a9691ee3095,validated,4bcf25762f1110e9dff6e9bcb7cb609cf7ccb1bedd72eefcfede470aa1e91b91
hurricane:EP092002__EP171994:a0.5|Independent discrete,1,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,e013c9b4366f570ec71af445cb193a301b4602027231fe7d0e0a56fadc5394f2,validated,e53522742b41b972c7916d61431100d4598c46f2ba0c3ac2f7c0a905c8cc0309
hurricane:EP092002__EP171994:a0.5|CPS-2F,1,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,55fbe2524b91964af6e0818bdb82969234bb0d89a7471e6d9a9b5887fcaa8b3c,validated,83944c1dee39833a476df40138905bfd2a698933dbebecf26ce22de93ec1c9ca
hurricane:EP092002__EP171994:a0.5|CPS-3F,1,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,6aa2848d014dd6303a4360a685166e859282d65c06cf31b136119112025cf5d1,validated,04fcd566e9f51ab44e0ddd4b8b1550036ce5ff6acfdb38a00dfa60d58fe1de8c
hurricane:AL091944__AL031917:a0.5|Independent discrete,1,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,3e12a5df8851275e60c03efd83094c8d4e03040cd3c26f3c6e2b61884e00d176,validated,eab41e804e71a1e5eb8668dc82aaf1ddc9bb0e4953519adcfd757d52b558c414
hurricane:AL091944__AL031917:a0.5|CPS-2F,1,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,520a28df4a9c76552d8028ca7bd4100b9faea76467d94e6c1d5a788a3a606e09,validated,1103cc7dd2dbd056ba0dcbec792681490b03ca7b268cb600ea7760bd82b84d11
hurricane:AL091944__AL031917:a0.5|CPS-3F,1,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,87b6111d03709c80a3532fcc05795d79f4f8900014c32907036fa1e28a091956,validated,57eea7d5938346690fee81bf67b8849271917337c151df0720e42057bd22abf7
hurricane:AL091944__AL031917:a0.5|Independent continuous,1,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,42f1d11ecdf8e74c8410ecbd8fedfe39de37703ad74f8db81856d1d8d51d9585,validated,3fee3d68c641a6725ce391e7054c07fd57f487b56d020f149896dc81e927e320
hurricane:EP101985__EP151985:a0.5|CPS-2F,1,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,ba5a7908817a4b258c3d55c928db3845a7e305f26bd0e0f2178ca474a5334bd4,validated,12616f203647119410e4efcec3991d2732a75c3736da9af524ab0d6b7460dd2b
hurricane:EP101985__EP151985:a0.5|CPS-3F,1,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,f7b3ddf52e41f48043b7c4059586338213451b741cc3e92ed45845f96438a782,validated,3d4d9a99bc597070a05f1c3a9fff1621256973ebe521c8a6e628d8abbfbb3435
hurricane:EP101985__EP151985:a0.5|Independent continuous,1,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,5af42674acbd544711df9ea2c5c022dcc40e3b0a61bbf8df68f9e9416e6d94a8,validated,87796080228911261a506c3f6cfe28f2fee75682c15a71d5d2acd1387d6592ac
hurricane:EP101985__EP151985:a0.5|Independent discrete,1,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,02673365c625d40a56ade9fddf2870c4e1844bd6ad1823f3df36ffbb6317c7b1,validated,9bb87c79149eba2e0886fb5adcfc3df04ac41bafc7c112a701424c35729b7a38
hurricane:EP031965__EP141991:a0.5|CPS-3F,1,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,0ee6ceb54cde0d3e496f1583bcaef9efbf1c043ddfee6fe5bee52604692cbe34,validated,2352659543547cdd5d98539d36463c5d0131d2895484a426dd3f5a38966c2958
hurricane:EP031965__EP141991:a0.5|Independent continuous,1,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,499bafa42b645a8c264d8c373b389c184f2dc821f8103090731f2918ad0d2f0f,validated,f86abc6d502d3cb17b41d8dc5dab2c4b69fb78d9f8f86bdb295b852e19cb5b1e
hurricane:EP031965__EP141991:a0.5|Independent discrete,1,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,f6201f7ab41d301f3e75bea5c40a9a303ebdfc03edbb50964b310339c5648c1a,validated,d27ae84f7a7c9362724291848db86dd95746ffa2d4a3765efd4143234e879f9c
hurricane:EP031965__EP141991:a0.5|CPS-2F,1,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,b2bbbc5618e1fe971718fcab82395cabea72e5f32d6ff31c467c69750f17e75f,validated,4442c348b97d681b3a4aa4c6af7118d2132c1150b5dc2d96c24525d24484e1d0
hurricane:AL061921__AL101926:a0.5|Independent continuous,1,075b62ae7810f20aaee5716a08592d9c34d29821f5cad9ce1f78dbd209b3c638,92b93cb5329ed15a1245dc91a0b4d36fd4c3e8d1c157562fc202274ca3c8d95c,validated,28d4c1c31e1fcd116e4672bafcb71f2536dd9a9d2829ab8d7a177461d989ae09
hurricane:AL061921__AL101926:a0.5|Independent discrete,1,075b62ae7810f20aaee5716a08592d9c34d29821f5cad9ce1f78dbd209b3c638,d8364838c0b1d957a80b5e78fa5eb157745df926c9516b975148a5c97e572fa3,validated,36e2534e1390fb97619cf592b86ad6b3c0bf8e71e0b26d9cdf0b2b2af6896b38
