configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,raw_kA,raw_kB,raw_k,observation_cohort
hurricane:EP092002__EP171994:a0.5|Independent continuous,1,hurricane,EP092002__EP171994,26,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,Independent continuous,0.5,45.83754024662439,41.177371201851194,366.7686943223481,new,output\paper_v1\hurricane_final_20\slots\01\attempts\final20_01_b434dd29179344f58040590f59962d54,validated,True,False,4.0,5.0,5.0,0.15384615384615385,0.16129032258064516,0.15789473684210525,0.01475980001850985,0.001128700008848682,8.602286100009223,9.233298200007994,211.2578125,,,0,0,,0,False,independent_optimization,True,validated,,411.59259248787515,False,4bcf25762f1110e9dff6e9bcb7cb609cf7ccb1bedd72eefcfede470aa1e91b91,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,4.0,5.0,5.0,hurricane_final_20 single observation
hurricane:EP092002__EP171994:a0.5|Independent discrete,2,hurricane,EP092002__EP171994,26,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,Independent discrete,0.5,45.83754024662439,41.177371201851194,366.7686943223481,new,output\paper_v1\hurricane_final_20\slots\02\attempts\final20_02_021eda7600df412cb66577c8602cf8e4,validated,True,False,26.0,27.0,27.0,1.0,0.8709677419354839,0.9298245614035088,0.007512099982704967,0.0054438000079244375,12.262699400016572,13.222441699996125,193.9296875,,,0,0,,0,False,independent_optimization,True,validated,,366.7686943223481,True,e53522742b41b972c7916d61431100d4598c46f2ba0c3ac2f7c0a905c8cc0309,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,26.0,27.0,27.0,hurricane_final_20 single observation
hurricane:EP092002__EP171994:a0.5|CPS-2F,3,hurricane,EP092002__EP171994,26,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,CPS-2F,0.5,45.83754024662439,41.177371201851194,366.7686943223481,new,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,True,False,4.0,5.0,5.0,0.15384615384615385,0.16129032258064516,0.15789473684210525,2.288840099994559,0.0009611000132281333,9.54164129999117,12.527390700008254,223.390625,3208.0,1098127.0,3208,3207,0.0,2,True,configuration_graph,True,validated,,366.7686943223481,True,83944c1dee39833a476df40138905bfd2a698933dbebecf26ce22de93ec1c9ca,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,4.0,5.0,5.0,hurricane_final_20 single observation
hurricane:EP092002__EP171994:a0.5|CPS-3F,4,hurricane,EP092002__EP171994,26,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,CPS-3F,0.5,45.83754024662439,41.177371201851194,366.7686943223481,new,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991,validated,True,False,26.0,27.0,27.0,1.0,0.8709677419354839,0.9298245614035088,0.036728400009451434,0.004202999989502132,6.341750399995362,7.034119600022677,194.2890625,243.0,891.0,243,242,0.0,2,True,configuration_graph,True,validated,,366.7686943223481,True,04fcd566e9f51ab44e0ddd4b8b1550036ce5ff6acfdb38a00dfa60d58fe1de8c,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,26.0,27.0,27.0,hurricane_final_20 single observation
hurricane:AL091944__AL031917:a0.5|Independent discrete,5,hurricane,AL091944__AL031917,29,35,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,Independent discrete,0.5,121.98706822368263,110.72765278464297,780.7843688813,new,output\paper_v1\hurricane_final_20\slots\05\attempts\final20_05_3a62e104edfc418990091b0fc0094304,validated,True,False,27.0,35.0,35.0,0.9310344827586207,1.0,0.96875,0.007298799988348037,0.005493399978149682,6.205396200006362,6.86317960001179,194.41796875,,,0,0,,0,False,independent_optimization,True,validated,,780.7843688813,True,eab41e804e71a1e5eb8668dc82aaf1ddc9bb0e4953519adcfd757d52b558c414,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,27.0,35.0,35.0,hurricane_final_20 single observation
hurricane:AL091944__AL031917:a0.5|CPS-2F,6,hurricane,AL091944__AL031917,29,35,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,CPS-2F,0.5,121.98706822368263,110.72765278464297,780.7843688813,new,output\paper_v1\hurricane_final_20\slots\06\attempts\final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,True,False,6.0,7.0,7.0,0.20689655172413793,0.2,0.203125,3.604877600009786,0.0015681000077165663,9.456084200006444,13.700527200009674,223.00390625,3660.0,2318923.0,3660,3659,0.0,2,True,configuration_graph,True,validated,,747.8036291490033,True,1103cc7dd2dbd056ba0dcbec792681490b03ca7b268cb600ea7760bd82b84d11,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,6.0,7.0,7.0,hurricane_final_20 single observation
hurricane:AL091944__AL031917:a0.5|CPS-3F,7,hurricane,AL091944__AL031917,29,35,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,CPS-3F,0.5,121.98706822368263,110.72765278464297,780.7843688813,new,output\paper_v1\hurricane_final_20\slots\07\attempts\final20_07_9ead45b3a9ed4ab19713c687e77e7dd3,validated,True,False,27.0,35.0,35.0,0.9310344827586207,1.0,0.96875,0.03579579998040572,0.005604200006928295,6.105286700010765,6.803285000001779,195.33203125,195.0,570.0,195,194,0.0,2,True,configuration_graph,True,validated,,780.7843688813,True,57eea7d5938346690fee81bf67b8849271917337c151df0720e42057bd22abf7,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,27.0,35.0,35.0,hurricane_final_20 single observation
hurricane:AL091944__AL031917:a0.5|Independent continuous,8,hurricane,AL091944__AL031917,29,35,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,Independent continuous,0.5,121.98706822368263,110.72765278464297,780.7843688813,new,output\paper_v1\hurricane_final_20\slots\08\attempts\final20_08_db16c6b5195540c2af47c2511446e913,validated,True,False,6.0,6.0,6.0,0.20689655172413793,0.17142857142857143,0.1875,0.019302900007460266,0.0010656000231392682,8.749222999991616,9.409465100005036,211.49609375,,,0,0,,0,False,independent_optimization,True,validated,,1180.1130563459121,False,3fee3d68c641a6725ce391e7054c07fd57f487b56d020f149896dc81e927e320,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,6.0,6.0,6.0,hurricane_final_20 single observation
hurricane:EP101985__EP151985:a0.5|CPS-2F,9,hurricane,EP101985__EP151985,37,38,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP101985__EP151985.npz,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,CPS-2F,0.5,47.80687237861397,51.042034331067995,406.85909889789855,new,output\paper_v1\hurricane_final_20\slots\09\attempts\final20_09_eb7bd5f7323448baa7ad1468993fe005,validated,True,False,5.0,6.0,6.0,0.13513513513513514,0.15789473684210525,0.14666666666666667,3.8288532000151463,0.0011983999866060913,9.508383000007598,13.971550299989758,228.3671875,4039.0,1670988.0,4039,4038,0.0,2,True,configuration_graph,True,validated,,406.85909889789855,True,12616f203647119410e4efcec3991d2732a75c3736da9af524ab0d6b7460dd2b,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,5.0,6.0,6.0,hurricane_final_20 single observation
hurricane:EP101985__EP151985:a0.5|CPS-3F,10,hurricane,EP101985__EP151985,37,38,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP101985__EP151985.npz,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,CPS-3F,0.5,47.80687237861397,51.042034331067995,406.85909889789855,new,output\paper_v1\hurricane_final_20\slots\10\attempts\final20_10_a12a88c5c90046c5828fe762e12e783e,validated,True,False,37.0,36.0,37.0,1.0,0.9473684210526315,0.9733333333333334,0.03897549997782335,0.008912999997846782,6.332461300014984,7.114194599998882,194.765625,288.0,816.0,288,287,0.0,2,True,configuration_graph,True,validated,,406.85909889789855,True,3d4d9a99bc597070a05f1c3a9fff1621256973ebe521c8a6e628d8abbfbb3435,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,37.0,36.0,37.0,hurricane_final_20 single observation
hurricane:EP101985__EP151985:a0.5|Independent continuous,11,hurricane,EP101985__EP151985,37,38,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP101985__EP151985.npz,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,Independent continuous,0.5,47.80687237861397,51.042034331067995,406.85909889789855,new,output\paper_v1\hurricane_final_20\slots\11\attempts\final20_11_acdcfa29a7d9446f94aa50661c0dddb9,validated,True,False,4.0,6.0,6.0,0.10810810810810811,0.15789473684210525,0.13333333333333333,0.033131000003777444,0.0010356999991927296,9.031145699991612,9.732847699982813,211.7890625,,,0,0,,0,False,independent_optimization,True,validated,,914.1930035398707,False,87796080228911261a506c3f6cfe28f2fee75682c15a71d5d2acd1387d6592ac,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,4.0,6.0,6.0,hurricane_final_20 single observation
hurricane:EP101985__EP151985:a0.5|Independent discrete,12,hurricane,EP101985__EP151985,37,38,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP101985__EP151985.npz,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,Independent discrete,0.5,47.80687237861397,51.042034331067995,406.85909889789855,new,output\paper_v1\hurricane_final_20\slots\12\attempts\final20_12_6da99ca50a034841840ee306c7c8cafe,validated,True,False,37.0,36.0,37.0,1.0,0.9473684210526315,0.9733333333333334,0.008439899975201115,0.0071659999957773834,6.220291800011182,6.898319900006754,194.3671875,,,0,0,,0,False,independent_optimization,True,validated,,406.85909889789855,True,9bb87c79149eba2e0886fb5adcfc3df04ac41bafc7c112a701424c35729b7a38,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,37.0,36.0,37.0,hurricane_final_20 single observation
hurricane:EP031965__EP141991:a0.5|CPS-3F,13,hurricane,EP031965__EP141991,25,42,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP031965__EP141991.npz,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,CPS-3F,0.5,48.708645368633796,35.45293164546874,434.6913296711127,new,output\paper_v1\hurricane_final_20\slots\13\attempts\final20_13_7957d74aba4843288c5f5ac0777d6ae5,validated,True,False,25.0,38.0,38.0,1.0,0.9047619047619048,0.9402985074626866,0.03508119998150505,0.005993600003421307,6.449998600000981,7.153456600004574,195.58203125,260.0,803.0,260,259,0.0,2,True,configuration_graph,True,validated,,434.6913296711127,True,2352659543547cdd5d98539d36463c5d0131d2895484a426dd3f5a38966c2958,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,25.0,38.0,38.0,hurricane_final_20 single observation
hurricane:EP031965__EP141991:a0.5|Independent continuous,14,hurricane,EP031965__EP141991,25,42,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP031965__EP141991.npz,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,Independent continuous,0.5,48.708645368633796,35.45293164546874,434.6913296711127,new,output\paper_v1\hurricane_final_20\slots\14\attempts\final20_14_bf5d6943445e43de83984aaabce39ebe,validated,True,False,4.0,7.0,7.0,0.16,0.16666666666666666,0.16417910447761194,0.05091799999354407,0.00281510001514107,17.01701160002267,17.9866267000034,211.9296875,,,0,0,,0,False,independent_optimization,True,validated,,481.1066315905446,False,f86abc6d502d3cb17b41d8dc5dab2c4b69fb78d9f8f86bdb295b852e19cb5b1e,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,4.0,7.0,7.0,hurricane_final_20 single observation
hurricane:EP031965__EP141991:a0.5|Independent discrete,15,hurricane,EP031965__EP141991,25,42,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP031965__EP141991.npz,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,Independent discrete,0.5,48.708645368633796,35.45293164546874,434.6913296711127,new,output\paper_v1\hurricane_final_20\slots\15\attempts\final20_15_8ff9c91d98364b5295c99dc1d34b268e,validated,True,False,25.0,38.0,38.0,1.0,0.9047619047619048,0.9402985074626866,0.007731499994406477,0.006500799994682893,6.092934999993304,6.793398699985119,194.390625,,,0,0,,0,False,independent_optimization,True,validated,,434.6913296711127,True,d27ae84f7a7c9362724291848db86dd95746ffa2d4a3765efd4143234e879f9c,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,25.0,38.0,38.0,hurricane_final_20 single observation
