domain,pair,nA,nB,units,input_file,input_sha256,delta1,delta2,delta3,eligible,blocked_reason,stratum,size_quartile,ratio_group,selection_order,plan_order,configuration_id,alpha,method,reuse_path,configuration_json
hurricane,EP092002__EP171994,26,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,45.83754024662439,41.177371201851194,366.7686943223481,True,,Q1_balanced,1,balanced,1,1,hurricane:EP092002__EP171994:a0.5|Independent continuous,0.5,Independent continuous,,"{""domain"": ""hurricane"", ""pair"": ""EP092002__EP171994"", ""case"": ""hurricane:EP092002__EP171994:a0.5"", ""nA"": 26, ""nB"": 31, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 91.67508049324879, ""s_B"": 82.35474240370239, ""delta1"": 45.83754024662439, ""delta2"": 41.177371201851194, ""delta3"": 366.7686943223481, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_EP092002__EP171994.npz"", ""method"": ""Independent continuous"", ""diagnostic"": ""final20_01"", ""certificate"": false, ""input_sha256"": ""d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP092002__EP171994:a0.5|Independent continuous""}"
hurricane,EP092002__EP171994,26,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,45.83754024662439,41.177371201851194,366.7686943223481,True,,Q1_balanced,1,balanced,1,2,hurricane:EP092002__EP171994:a0.5|Independent discrete,0.5,Independent discrete,,"{""domain"": ""hurricane"", ""pair"": ""EP092002__EP171994"", ""case"": ""hurricane:EP092002__EP171994:a0.5"", ""nA"": 26, ""nB"": 31, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 91.67508049324879, ""s_B"": 82.35474240370239, ""delta1"": 45.83754024662439, ""delta2"": 41.177371201851194, ""delta3"": 366.7686943223481, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_EP092002__EP171994.npz"", ""method"": ""Independent discrete"", ""diagnostic"": ""final20_02"", ""certificate"": false, ""input_sha256"": ""d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP092002__EP171994:a0.5|Independent discrete""}"
hurricane,EP092002__EP171994,26,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,45.83754024662439,41.177371201851194,366.7686943223481,True,,Q1_balanced,1,balanced,1,3,hurricane:EP092002__EP171994:a0.5|CPS-2F,0.5,CPS-2F,,"{""domain"": ""hurricane"", ""pair"": ""EP092002__EP171994"", ""case"": ""hurricane:EP092002__EP171994:a0.5"", ""nA"": 26, ""nB"": 31, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 91.67508049324879, ""s_B"": 82.35474240370239, ""delta1"": 45.83754024662439, ""delta2"": 41.177371201851194, ""delta3"": 366.7686943223481, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_EP092002__EP171994.npz"", ""method"": ""CPS-2F"", ""diagnostic"": ""final20_03"", ""certificate"": false, ""input_sha256"": ""d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP092002__EP171994:a0.5|CPS-2F""}"
hurricane,EP092002__EP171994,26,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,45.83754024662439,41.177371201851194,366.7686943223481,True,,Q1_balanced,1,balanced,1,4,hurricane:EP092002__EP171994:a0.5|CPS-3F,0.5,CPS-3F,,"{""domain"": ""hurricane"", ""pair"": ""EP092002__EP171994"", ""case"": ""hurricane:EP092002__EP171994:a0.5"", ""nA"": 26, ""nB"": 31, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 91.67508049324879, ""s_B"": 82.35474240370239, ""delta1"": 45.83754024662439, ""delta2"": 41.177371201851194, ""delta3"": 366.7686943223481, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_EP092002__EP171994.npz"", ""method"": ""CPS-3F"", ""diagnostic"": ""final20_04"", ""certificate"": false, ""input_sha256"": ""d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP092002__EP171994:a0.5|CPS-3F""}"
hurricane,AL091944__AL031917,29,35,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,121.98706822368263,110.72765278464297,780.7843688813,True,,Q2_balanced,2,balanced,2,5,hurricane:AL091944__AL031917:a0.5|Independent discrete,0.5,Independent discrete,,"{""domain"": ""hurricane"", ""pair"": ""AL091944__AL031917"", ""case"": ""hurricane:AL091944__AL031917:a0.5"", ""nA"": 29, ""nB"": 35, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 243.97413644736525, ""s_B"": 221.45530556928594, ""delta1"": 121.98706822368263, ""delta2"": 110.72765278464297, ""delta3"": 780.7843688813, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_AL091944__AL031917.npz"", ""method"": ""Independent discrete"", ""diagnostic"": ""final20_05"", ""certificate"": false, ""input_sha256"": ""db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:AL091944__AL031917:a0.5|Independent discrete""}"
hurricane,AL091944__AL031917,29,35,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,121.98706822368263,110.72765278464297,780.7843688813,True,,Q2_balanced,2,balanced,2,6,hurricane:AL091944__AL031917:a0.5|CPS-2F,0.5,CPS-2F,,"{""domain"": ""hurricane"", ""pair"": ""AL091944__AL031917"", ""case"": ""hurricane:AL091944__AL031917:a0.5"", ""nA"": 29, ""nB"": 35, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 243.97413644736525, ""s_B"": 221.45530556928594, ""delta1"": 121.98706822368263, ""delta2"": 110.72765278464297, ""delta3"": 780.7843688813, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_AL091944__AL031917.npz"", ""method"": ""CPS-2F"", ""diagnostic"": ""final20_06"", ""certificate"": false, ""input_sha256"": ""db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:AL091944__AL031917:a0.5|CPS-2F""}"
hurricane,AL091944__AL031917,29,35,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,121.98706822368263,110.72765278464297,780.7843688813,True,,Q2_balanced,2,balanced,2,7,hurricane:AL091944__AL031917:a0.5|CPS-3F,0.5,CPS-3F,,"{""domain"": ""hurricane"", ""pair"": ""AL091944__AL031917"", ""case"": ""hurricane:AL091944__AL031917:a0.5"", ""nA"": 29, ""nB"": 35, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 243.97413644736525, ""s_B"": 221.45530556928594, ""delta1"": 121.98706822368263, ""delta2"": 110.72765278464297, ""delta3"": 780.7843688813, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_AL091944__AL031917.npz"", ""method"": ""CPS-3F"", ""diagnostic"": ""final20_07"", ""certificate"": false, ""input_sha256"": ""db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:AL091944__AL031917:a0.5|CPS-3F""}"
hurricane,AL091944__AL031917,29,35,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,121.98706822368263,110.72765278464297,780.7843688813,True,,Q2_balanced,2,balanced,2,8,hurricane:AL091944__AL031917:a0.5|Independent continuous,0.5,Independent continuous,,"{""domain"": ""hurricane"", ""pair"": ""AL091944__AL031917"", ""case"": ""hurricane:AL091944__AL031917:a0.5"", ""nA"": 29, ""nB"": 35, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 243.97413644736525, ""s_B"": 221.45530556928594, ""delta1"": 121.98706822368263, ""delta2"": 110.72765278464297, ""delta3"": 780.7843688813, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_AL091944__AL031917.npz"", ""method"": ""Independent continuous"", ""diagnostic"": ""final20_08"", ""certificate"": false, ""input_sha256"": ""db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:AL091944__AL031917:a0.5|Independent continuous""}"
hurricane,EP101985__EP151985,37,38,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP101985__EP151985.npz,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,47.80687237861397,51.042034331067995,406.85909889789855,True,,Q3_balanced,3,balanced,3,9,hurricane:EP101985__EP151985:a0.5|CPS-2F,0.5,CPS-2F,,"{""domain"": ""hurricane"", ""pair"": ""EP101985__EP151985"", ""case"": ""hurricane:EP101985__EP151985:a0.5"", ""nA"": 37, ""nB"": 38, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 95.61374475722793, ""s_B"": 102.08406866213599, ""delta1"": 47.80687237861397, ""delta2"": 51.042034331067995, ""delta3"": 406.85909889789855, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_EP101985__EP151985.npz"", ""method"": ""CPS-2F"", ""diagnostic"": ""final20_09"", ""certificate"": false, ""input_sha256"": ""198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP101985__EP151985:a0.5|CPS-2F""}"
hurricane,EP101985__EP151985,37,38,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP101985__EP151985.npz,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,47.80687237861397,51.042034331067995,406.85909889789855,True,,Q3_balanced,3,balanced,3,10,hurricane:EP101985__EP151985:a0.5|CPS-3F,0.5,CPS-3F,,"{""domain"": ""hurricane"", ""pair"": ""EP101985__EP151985"", ""case"": ""hurricane:EP101985__EP151985:a0.5"", ""nA"": 37, ""nB"": 38, ""units"": ""projected km"", ""alpha"": 0.5, ""s_A"": 95.61374475722793, ""s_B"": 102.08406866213599, ""delta1"": 47.80687237861397, ""delta2"": 51.042034331067995, ""delta3"": 406.85909889789855, ""input_file"": ""output\\paper_v1\\hurricane_final_20\\inputs\\hurricane_EP101985__EP151985.npz"", ""method"": ""CPS-3F"", ""diagnostic"": ""final20_10"", ""certificate"": false, ""input_sha256"": ""198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f"", ""algorithms"": {""curve_algorithms.py"": ""85e1f6444f23091810a3042decc3e2945a273d2b83cb5da3c6b76f8b495c98e7"", ""cps_paper_algorithms.py"": ""49bca757aacc4d81c9263416c79b91da6fbb2df5358e9e4bb80d97d08802d876""}, ""graph_limits"": {""seconds"": 55.0, ""max_states"": 100000, ""max_transitions"": 20000000, ""max_chain_edges"": 800000}, ""phase_budgets"": {""startup"": 60.0, ""input_loading"": 15.0, ""warmup"": 120.0, ""solver"": 60.0, ""checkpoint"": 5.0, ""validation"": 30.0, ""optional_measurements"": 30.0, ""reporting"": 10.0}, ""memory_mib"": 512, ""configuration_id"": ""hurricane:EP101985__EP151985:a0.5|CPS-3F""}"
