domain,stratum,method,status,count
hurricane,Q1_balanced,CPS-2F,validated,4
hurricane,Q1_balanced,CPS-3F,validated,4
hurricane,Q1_balanced,Independent continuous,validated,4
hurricane,Q1_balanced,Independent discrete,validated,4
hurricane,Q2_balanced,CPS-2F,validated,4
hurricane,Q2_balanced,CPS-3F,validated,4
hurricane,Q2_balanced,Independent continuous,validated,4
hurricane,Q2_balanced,Independent discrete,validated,4
hurricane,Q3_balanced,CPS-2F,validated,3
hurricane,Q3_balanced,CPS-3F,validated,3
hurricane,Q3_balanced,Independent continuous,validated,3
hurricane,Q3_balanced,Independent discrete,validated,3
hurricane,Q3_unequal,CPS-2F,validated,3
hurricane,Q3_unequal,CPS-3F,validated,3
hurricane,Q3_unequal,Independent continuous,validated,3
hurricane,Q3_unequal,Independent discrete,validated,3
hurricane,Q4_balanced,CPS-2F,transition_budget_limit,1
hurricane,Q4_balanced,CPS-2F,validated,2
hurricane,Q4_balanced,CPS-3F,validated,3
hurricane,Q4_balanced,Independent continuous,validated,3
hurricane,Q4_balanced,Independent discrete,validated,3
hurricane,Q4_unequal,CPS-2F,validated,3
hurricane,Q4_unequal,CPS-3F,validated,3
hurricane,Q4_unequal,Independent continuous,validated,3
hurricane,Q4_unequal,Independent discrete,validated,3
