pair,pair_alias,fidelity,baseline_k,joint_k,delta_k,baseline_coupling_ratio,joint_coupling_ratio,equal_k_coupling_repair,baseline_source,joint_source
EP092002__EP171994,S1,continuous,5.0,5.0,0.0,1.1222129883477239,1.0,True,output\paper_v1\hurricane_final_20\slots\01\attempts\final20_01_b434dd29179344f58040590f59962d54,output\paper_v1\hurricane_final_20\slots\03\attempts\final20_03_30ed5a490d4340e4b557ed8452b1516c
EP092002__EP171994,S1,discrete,27.0,27.0,0.0,1.0,1.0,False,output\paper_v1\hurricane_final_20\slots\02\attempts\final20_02_021eda7600df412cb66577c8602cf8e4,output\paper_v1\hurricane_final_20\slots\04\attempts\final20_04_619d64cf04564736abd1dd18b2c8b991
AL091944__AL031917,S2,continuous,6.0,7.0,1.0,1.5114455455054336,0.9577594774604016,False,output\paper_v1\hurricane_final_20\slots\08\attempts\final20_08_db16c6b5195540c2af47c2511446e913,output\paper_v1\hurricane_final_20\slots\06\attempts\final20_06_866e9f142f5548c9b31eea1aac3dc726
AL091944__AL031917,S2,discrete,35.0,35.0,0.0,1.0,1.0,False,output\paper_v1\hurricane_final_20\slots\05\attempts\final20_05_3a62e104edfc418990091b0fc0094304,output\paper_v1\hurricane_final_20\slots\07\attempts\final20_07_9ead45b3a9ed4ab19713c687e77e7dd3
EP101985__EP151985,S3,continuous,6.0,6.0,0.0,2.2469523380851997,1.0,True,output\paper_v1\hurricane_final_20\slots\11\attempts\final20_11_acdcfa29a7d9446f94aa50661c0dddb9,output\paper_v1\hurricane_final_20\slots\09\attempts\final20_09_eb7bd5f7323448baa7ad1468993fe005
EP101985__EP151985,S3,discrete,37.0,37.0,0.0,1.0,1.0,False,output\paper_v1\hurricane_final_20\slots\12\attempts\final20_12_6da99ca50a034841840ee306c7c8cafe,output\paper_v1\hurricane_final_20\slots\10\attempts\final20_10_a12a88c5c90046c5828fe762e12e783e
EP031965__EP141991,S4,continuous,7.0,7.0,0.0,1.106777611493999,1.0,True,output\paper_v1\hurricane_final_20\slots\14\attempts\final20_14_bf5d6943445e43de83984aaabce39ebe,output\paper_v1\hurricane_final_20\slots\16\attempts\final20_16_d4e35d041ef04ad5989ece181a5d19a1
EP031965__EP141991,S4,discrete,38.0,38.0,0.0,1.0,1.0,False,output\paper_v1\hurricane_final_20\slots\15\attempts\final20_15_8ff9c91d98364b5295c99dc1d34b268e,output\paper_v1\hurricane_final_20\slots\13\attempts\final20_13_7957d74aba4843288c5f5ac0777d6ae5
AL061921__AL101926,S5,continuous,11.0,,,1.0086841521020338,,False,output\paper_v1\hurricane_final_20\slots\17\attempts\final20_17_1395c928d4754fc7942839c77b7f3225,output\paper_v1\hurricane_final_20\slots\19\attempts\final20_19_670b202c19c54aa28a7f79a13800898a
AL061921__AL101926,S5,discrete,44.0,44.0,0.0,1.0,1.0,False,output\paper_v1\hurricane_final_20\slots\18\attempts\final20_18_7e6483aa34094a098d9dc41a27d91a71,output\paper_v1\hurricane_final_20\slots\20\attempts\final20_20_5c112c2ece744b91bba8231374693156
