pair_alias,pair,nA,nB,stratum,selection_order,input_sha256,delta1,delta2,delta3
S1,EP092002__EP171994,26,31,Q1_balanced,1,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,45.83754024662439,41.1773712018512,366.7686943223481
S2,AL091944__AL031917,29,35,Q2_balanced,2,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,121.98706822368264,110.72765278464296,780.7843688813
S3,EP101985__EP151985,37,38,Q3_balanced,3,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,47.80687237861397,51.042034331068,406.85909889789855
S4,EP031965__EP141991,25,42,Q3_unequal,4,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,48.7086453686338,35.45293164546874,434.6913296711127
S5,AL061921__AL101926,43,57,Q4_balanced,5,075b62ae7810f20aaee5716a08592d9c34d29821f5cad9ce1f78dbd209b3c638,58.88759553114429,62.830460127712165,1227.852607303796
S6,EP041976__EP041984,30,48,Q4_unequal,6,2b36cf5f84c94603b94c277ea7970c2e6cf82612160bc26c97cfa9ab20d6faf9,83.64402051056445,50.39076854793013,436.5324275155856
S7,EP081967__EP101980,25,26,Q1_balanced,7,0946514b39933f9ee0d804e81a1a0d4ec1b8e11aaa85884cc2187bcb3030e97c,58.49826189155207,56.24516977788647,275.4479155672447
S8,EP031994__EP031978,29,35,Q2_balanced,8,1d28bc38a35762d764489667768030a48b0d3b023d8e11cf8dd1e994b766d591,55.959134751814815,50.925845594557714,569.7520381273594
S9,EP021985__EP181984,41,36,Q3_balanced,9,55cb19cbe18e96961f064d76de7fb24a5594e61c951d573b5bcccb3346af57b6,43.37875585432532,36.58753352077068,472.3424551981962
S10,AL101886__AL051950,25,38,Q3_unequal,10,f25f94d3a701d9a25b14646dc7b39b615e35be775c28cac17d3aa907bd4c8de6,43.474298909026594,35.76313176940481,820.0003849815315
S11,AL091947__AL011953,36,53,Q4_balanced,11,4031a8fd96ff75fa97fa22b47e517942f0d69918d5e7e816aeefb1b31df04589,52.29511935829839,32.915760399141355,1009.5226098832308
S12,EP072011__EP092011,26,50,Q4_unequal,12,713b56e638ff3d937cd45d4d877fd079194042f824e2bf0397f43daf6fc357df,61.39010746178042,38.9242234382456,401.5857984622588
S13,AL171980__AL112009,25,31,Q1_balanced,13,5de1fe8932de570845156bf23d5f0b282c1e5938a22df37324c8f517a6fe250f,46.16236679818303,45.7059501167157,581.976309646647
S14,AL102008__AL061989,33,36,Q2_balanced,14,03522b5f4b1b9d80013b557a1f4bb0e1c36cd495e0a8eba67de65ca6b2db84e8,55.4905898744148,66.59347000338767,700.5236944883802
S15,EP102002__EP042014,31,42,Q3_balanced,15,c7e12ce495215ad4ea07cd2563504d9596457095f47999d9c2f0a69fe0758f68,45.982674841101485,33.04288866454094,408.6856459982538
S16,EP032000__EP041975,27,41,Q3_unequal,16,4f61048028e7f2e99bbb36e29c5c6f0bd6dad7d99299932738a2ec913d7ea67a,54.74454480736741,42.88395494751405,654.008303422923
S17,EP081993__EP121989,56,45,Q4_balanced,17,4ac28373bff6ea6afc5eb44c48cbbb5bb19ff12c6caef7db2d6707a2952d1834,39.58488478955462,52.77038708832474,457.382013117886
S18,EP032006__EP201992,27,69,Q4_unequal,18,a628134f9a46e9e7913c849105762a52bc7f7dbbf60d096ab68d220e7e118227,74.05334739689872,36.45256714563898,950.7159634797608
S19,AL022011__AL071977,29,27,Q1_balanced,19,a69c2f5a77f296d5f57f506e9da0631ddc262a181f84e681436a40bcac9cca41,51.843902769443424,56.32007199263512,670.4440211411239
S20,EP101972__EP141967,29,37,Q2_balanced,20,1136560945b718482100845d30314a5c97fde7b5a2ae428ea6275b9cbb457171,53.18383484536521,31.38552607706816,529.4905368904152
