domain,pair,case,nA,nB,units,alpha,s_A,s_B,delta1,delta2,delta3,input_file,method,repetition,cached,runtime_kind,status,route,failure_reason,hard_seconds,memory_limit_mib,process_wall_seconds,peak_process_rss_mib,measured_execution_count,baseline_method,baseline_missing,resource_monitoring_valid,peak_memory_scope,kA,kB,k,compression_removed_pct,continuous_A_lower,continuous_A_upper,continuous_B_lower,continuous_B_upper,coupling_distance,coupling_budget_ratio,vertex_cost_vs_matching_baseline,solve_seconds,warmup_seconds,lower_bound,states_discovered,transitions_examined,discrete_fidelity_A,discrete_fidelity_B,coupling_feasible,unequal_output_lengths,repeated_coupling_index,constraints_valid
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a0.5,22,22,angstrom,0.5,18.95299827936545,20.20350417600859,9.476499139682725,10.101752088004297,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,Independent continuous,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,25.612126699998043,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a0.5,22,22,angstrom,0.5,18.95299827936545,20.20350417600859,9.476499139682725,10.101752088004297,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,Independent discrete,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,62.228659700005664,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a0.5,22,22,angstrom,0.5,18.95299827936545,20.20350417600859,9.476499139682725,10.101752088004297,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,CPS-2F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,48.05839099999866,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a0.5,22,22,angstrom,0.5,18.95299827936545,20.20350417600859,9.476499139682725,10.101752088004297,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,CPS-3F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,67.40542859998823,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a1,22,22,angstrom,1.0,18.95299827936545,20.20350417600859,18.95299827936545,20.20350417600859,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,Independent continuous,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,64.67372419999447,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a1,22,22,angstrom,1.0,18.95299827936545,20.20350417600859,18.95299827936545,20.20350417600859,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,Independent discrete,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,30.95187839999562,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a1,22,22,angstrom,1.0,18.95299827936545,20.20350417600859,18.95299827936545,20.20350417600859,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,CPS-2F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,33.48029559999122,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a1,22,22,angstrom,1.0,18.95299827936545,20.20350417600859,18.95299827936545,20.20350417600859,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,CPS-3F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,34.4193845000118,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent continuous,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,35.259798699989915,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent discrete,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,43.96109089998936,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-2F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,37.002797099994496,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-3F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,37.178511400008574,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent continuous,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,28.88213169999653,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent discrete,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,36.22241339999891,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-2F,1,False,diagnostic single execution,startup_resource_limit,none,Worker exit 1; see protein_1o7j.a__1hfj.c_a1_CPS-2F.log; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,39.63131089998933,,0,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-3F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,39.62438459999976,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,,,,,,,,,,,
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent continuous,1,False,diagnostic single execution,optimal,independent_optimization,,20.0,512,15.117733399994904,150.35546875,1,Independent continuous,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",5.0,5.0,5.0,80.0,83.14593175646442,83.14594063973813,80.16283771723884,80.16284354133512,725.5714648587692,1.7024831862636949,0.0,0.0374433999968459,2.2988888000109,,,,1192.29281437758,781.6969685577142,False,False,False,True
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent discrete,1,False,diagnostic single execution,optimal,independent_optimization,,20.0,512,21.58693369998946,148.69140625,1,Independent discrete,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",20.0,19.0,20.0,22.0,32.61762019704306,32.617625207865075,16.298407143279604,16.29841681775634,426.1842176844774,1.0,0.0,0.0518180999933974,6.963623799994821,,,,84.06764326731184,81.15539294939066,True,True,True,True
