pair,alias,domain,alpha,nA,nB,delta1,delta2,delta3,units,input_sha256,attempt_path,status,subsequent_search_resource_limited,common_comparison_set,preprocessing,configuration_sha256,aA,bound_A,percentage_A,exact_fraction_A,construction_completed_A,construction_evidence_A,count_source_A,count_field_A,count_source_sha256_A,aB,bound_B,percentage_B,exact_fraction_B,construction_completed_B,construction_evidence_B,count_source_B,count_field_B,count_source_sha256_B
AL031854__AL011991,H1,hurricane,0.5,25,25,85.275996704096968,82.015960100940916,426.1842176844774,projected km,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,output/paper_v1/unified_pilot_results/slots/03/attempts/slot03_5333325f78a44ccf8c803cb680ccb2c1,validated,False,True,Full supplied hurricane tracks; no additional subsampling,dbae180123c057e8c53368341711c988debf134f61dccddc265dc50f352936bd,48,1200,4,4800/1200,True,Successful configuration-graph checkpoint plus chain_graphs_completed=2; per-curve flag not recorded,output/paper_v1/unified_pilot_results/slots/03/attempts/slot03_5333325f78a44ccf8c803cb680ccb2c1/raw_solver.json,raw_result.auxiliary_A,82a5d0eb15fd3d6e8419cb64c4fb6062d74c9ddd1e02730211af33a3b1a398df,48,1200,4,4800/1200,True,Successful configuration-graph checkpoint plus chain_graphs_completed=2; per-curve flag not recorded,output/paper_v1/unified_pilot_results/slots/03/attempts/slot03_5333325f78a44ccf8c803cb680ccb2c1/raw_solver.json,raw_result.auxiliary_B,82a5d0eb15fd3d6e8419cb64c4fb6062d74c9ddd1e02730211af33a3b1a398df
EP021949__EP031949,H2,hurricane,0.5,25,25,40.255073787151673,36.481570801517726,565.34214282469691,projected km,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,output/paper_v1/unified_pilot_results/slots/09/attempts/slot09_e46deb0bcdd14153a890b48a67dfe8ee,validated,False,True,Full supplied hurricane tracks; no additional subsampling,6d92d4c91d2eae211546fa1604f41506292d1b426622b035a8e4b5dd07434de5,48,1200,4,4800/1200,True,Successful configuration-graph checkpoint plus chain_graphs_completed=2; per-curve flag not recorded,output/paper_v1/unified_pilot_results/slots/09/attempts/slot09_e46deb0bcdd14153a890b48a67dfe8ee/raw_solver.json,raw_result.auxiliary_A,84005181ed4c04e75f197f7ee57d3cd7fb93905856b82a04422a82fd70958b4f,52,1200,4.333333333333333,5200/1200,True,Successful configuration-graph checkpoint plus chain_graphs_completed=2; per-curve flag not recorded,output/paper_v1/unified_pilot_results/slots/09/attempts/slot09_e46deb0bcdd14153a890b48a67dfe8ee/raw_solver.json,raw_result.auxiliary_B,84005181ed4c04e75f197f7ee57d3cd7fb93905856b82a04422a82fd70958b4f
EP111954__EP021984,H3,hurricane,0.5,25,82,62.591169915552747,21.588171440446899,411.74538723189119,projected km,f6f69328452dbeb2c9b701abdb3760ce7a95f9de1a53ed1dcbd1261aa4023d20,output/paper_v1/expanded_comparison/slots/59/attempts/expanded59_1a41930b343049c19e4c4044b1d1680e,validated,False,True,Full supplied hurricane tracks; no additional subsampling,aeb986cad223d005c171ed1fe7d950a5d289a3302017d1d452662f0fb32fb120,48,1200,4,4800/1200,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/59/attempts/expanded59_1a41930b343049c19e4c4044b1d1680e/raw_solver.json,observation.single_graph_A.auxiliary,230a8fd36339f5ea7593822573dda040afdd73eb11d38800bb0d812552c6083a,162,13284,1.2195121951219512,16200/13284,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/59/attempts/expanded59_1a41930b343049c19e4c4044b1d1680e/raw_solver.json,observation.single_graph_B.auxiliary,230a8fd36339f5ea7593822573dda040afdd73eb11d38800bb0d812552c6083a
EP012014__EP212006,H5,hurricane,0.5,30,29,22.088133009069068,20.773394823842601,628.8969388779135,projected km,b1ea8828119b71374fb3be9b07b5e3d7cd5ed7f81701351d279a01dd32677ddf,output/paper_v1/expanded_comparison/slots/75/attempts/expanded75_1d406bb8211e4ea9ad5fa732f6052f0d,validated,False,True,Full supplied hurricane tracks; no additional subsampling,1f46a8007f51a2448b4f2b6b66dab143ef6db569141abea36052c9516a41a1ef,58,1740,3.3333333333333335,5800/1740,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/75/attempts/expanded75_1d406bb8211e4ea9ad5fa732f6052f0d/raw_solver.json,observation.single_graph_A.auxiliary,3db23d1d6a85248ac5c8982969dc4b5b73d106550f23e18c389f11e664e45394,58,1624,3.5714285714285716,5800/1624,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/75/attempts/expanded75_1d406bb8211e4ea9ad5fa732f6052f0d/raw_solver.json,observation.single_graph_B.auxiliary,3db23d1d6a85248ac5c8982969dc4b5b73d106550f23e18c389f11e664e45394
AL182011__AL061926,H6,hurricane,0.5,31,27,27.787027255881306,35.390013012879727,785.74468852385485,projected km,ba58f2c03df52031d3334018fbe8e621d469f60aa4cbe71d7b712273476973cc,output/paper_v1/coverage_extension/slots/39/attempts/coverage39_d0000f0707ba4c0fa5783226237f953b,validated,False,True,Full supplied hurricane tracks; no additional subsampling,790eb51a5736a85cc08786b2fc7c1225209f2fccafa3015c1dd68868359e06c2,59,1860,3.172043010752688,5900/1860,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/39/attempts/coverage39_d0000f0707ba4c0fa5783226237f953b/raw_solver.json,observation.single_graph_A.auxiliary,208f44ccefd9781b743309fe66b7f3213da70befe7000eab5a0ac2aca6d16021,51,1404,3.6324786324786325,5100/1404,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/39/attempts/coverage39_d0000f0707ba4c0fa5783226237f953b/raw_solver.json,observation.single_graph_B.auxiliary,208f44ccefd9781b743309fe66b7f3213da70befe7000eab5a0ac2aca6d16021
EP141997__EP092000,H7,hurricane,0.5,34,25,43.076835452765003,44.812648684231867,470.22958898173351,projected km,ecaedec88bea9b8978999fa4f7e9d2ed13fd72d095668c5b24c2734ed0f2238b,output/paper_v1/coverage_extension/slots/43/attempts/coverage43_8541b5d5d53f44b4949584f38e7422e3,validated,False,True,Full supplied hurricane tracks; no additional subsampling,283534b26d4e16a713fa4e1998cedcf51e1fd96dc6a66b37b2c63c0d0f484bba,66,2244,2.9411764705882355,6600/2244,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/43/attempts/coverage43_8541b5d5d53f44b4949584f38e7422e3/raw_solver.json,observation.single_graph_A.auxiliary,d9a76bdb32f3ca35eb5df9bef63e8bcd1cd61bacacd30bec65036df1d67a9737,47,1200,3.9166666666666665,4700/1200,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/43/attempts/coverage43_8541b5d5d53f44b4949584f38e7422e3/raw_solver.json,observation.single_graph_B.auxiliary,d9a76bdb32f3ca35eb5df9bef63e8bcd1cd61bacacd30bec65036df1d67a9737
EP211990__EP152008,H8,hurricane,0.5,26,38,63.886345409849554,41.283326337303571,234.85273869420817,projected km,65bdc8d3eea9992d1beaddb2846878c75be0c05b7809a08882c9e55aeab693ca,output/paper_v1/coverage_extension/slots/47/attempts/coverage47_30c8adcf99e14ab09a9650bae3cbb95b,validated,False,True,Full supplied hurricane tracks; no additional subsampling,8e510090d191665b0a9c5c2210e7a4306d39f38dfc06e3ac0cbab9216ff981a0,49,1300,3.7692307692307692,4900/1300,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/47/attempts/coverage47_30c8adcf99e14ab09a9650bae3cbb95b/raw_solver.json,observation.single_graph_A.auxiliary,4dfbd96bb8e296ea81803f1ea5da28d6eb3f18e92d0bb6242b6d5f847030ab7c,73,2812,2.5960170697012801,7300/2812,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/47/attempts/coverage47_30c8adcf99e14ab09a9650bae3cbb95b/raw_solver.json,observation.single_graph_B.auxiliary,4dfbd96bb8e296ea81803f1ea5da28d6eb3f18e92d0bb6242b6d5f847030ab7c
EP041981__EP211992,H9,hurricane,0.5,25,40,53.137211686550096,34.27687825539067,779.35334858268243,projected km,1559555895c7c428ab5c79bae86f9aecd02e4ff060cbfdfb2ca311471c4213b6,output/paper_v1/coverage_extension/slots/51/attempts/coverage51_2c8472d7d1364a8f98e47021d71f6cae,validated,False,True,Full supplied hurricane tracks; no additional subsampling,732232d26625b67d749a5228a438d96dff57b3a179e57072ca8fa842193aacfd,48,1200,4,4800/1200,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/51/attempts/coverage51_2c8472d7d1364a8f98e47021d71f6cae/raw_solver.json,observation.single_graph_A.auxiliary,504554e05324840332c58c894372d19e63e56f036a9e241e5df7c3643483fc20,78,3120,2.5,7800/3120,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/51/attempts/coverage51_2c8472d7d1364a8f98e47021d71f6cae/raw_solver.json,observation.single_graph_B.auxiliary,504554e05324840332c58c894372d19e63e56f036a9e241e5df7c3643483fc20
AL181887__AL091888,H10,hurricane,0.5,26,64,101.79610036143887,51.670295507735965,1460.4827080122416,projected km,6d9b056dfe76b1e50c23bc5a0d5b4f256ed31bcbd8dab24f41a890c4fb482890,output/paper_v1/coverage_extension/slots/55/attempts/coverage55_36facae9ae4c474291ca5ad092b5f61a,validated,False,True,Full supplied hurricane tracks; no additional subsampling,a93991d1010d917bb5bb34ab42032587defb2fe23d2bca9d5dcdc5fad32dfe91,50,1300,3.8461538461538463,5000/1300,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/55/attempts/coverage55_36facae9ae4c474291ca5ad092b5f61a/raw_solver.json,observation.single_graph_A.auxiliary,94d76abd2f2b51572ad7d3a2fb2d786c60d95614ade5a56cd89a7414de81b0b6,126,8064,1.5625,12600/8064,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/55/attempts/coverage55_36facae9ae4c474291ca5ad092b5f61a/raw_solver.json,observation.single_graph_B.auxiliary,94d76abd2f2b51572ad7d3a2fb2d786c60d95614ade5a56cd89a7414de81b0b6
EP172000__EP061970,H11,hurricane,0.5,32,29,29.976738711059376,28.460236474616451,494.48158570658615,projected km,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,output/paper_v1/hurricane_extension_3/slots/03/attempts/hurricane3_03_b45df61f7c364569b48f895a3c451579,validated,False,True,Full supplied hurricane tracks; no additional subsampling,cf7cf60994e9151862c0d4a506cfd16c8e609732fd9c4eeb563451693b5dc915,62,1984,3.125,6200/1984,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_extension_3/slots/03/attempts/hurricane3_03_b45df61f7c364569b48f895a3c451579/raw_solver.json,observation.single_graph_A.auxiliary,712648ad88e0a477f93637153afcced975055ee2aa7d6684202900c3120baeb7,56,1624,3.4482758620689653,5600/1624,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_extension_3/slots/03/attempts/hurricane3_03_b45df61f7c364569b48f895a3c451579/raw_solver.json,observation.single_graph_B.auxiliary,712648ad88e0a477f93637153afcced975055ee2aa7d6684202900c3120baeb7
