domain,pair,case,nA,nB,units,alpha,s_A,s_B,delta1,delta2,delta3,input_file,method,repetition,cached,runtime_kind,status,route,failure_reason,hard_seconds,memory_limit_mib,process_wall_seconds,peak_process_rss_mib,measured_execution_count,baseline_method,baseline_missing,resource_monitoring_valid,peak_memory_scope,kA,kB,k,compression_removed_pct,continuous_A_lower,continuous_A_upper,continuous_B_lower,continuous_B_upper,coupling_distance,coupling_budget_ratio,vertex_cost_vs_matching_baseline,solve_seconds
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a0.5,22,22,angstrom,0.5,18.95299827936545,20.20350417600859,9.476499139682725,10.101752088004297,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,Independent continuous,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,25.612126699998043,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a0.5,22,22,angstrom,0.5,18.95299827936545,20.20350417600859,9.476499139682725,10.101752088004297,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,Independent discrete,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,62.228659700005664,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a0.5,22,22,angstrom,0.5,18.95299827936545,20.20350417600859,9.476499139682725,10.101752088004297,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,CPS-2F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,48.05839099999866,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a0.5,22,22,angstrom,0.5,18.95299827936545,20.20350417600859,9.476499139682725,10.101752088004297,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,CPS-3F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,67.40542859998823,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a1,22,22,angstrom,1.0,18.95299827936545,20.20350417600859,18.95299827936545,20.20350417600859,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,Independent continuous,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,64.67372419999447,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a1,22,22,angstrom,1.0,18.95299827936545,20.20350417600859,18.95299827936545,20.20350417600859,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,Independent discrete,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,30.95187839999562,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a1,22,22,angstrom,1.0,18.95299827936545,20.20350417600859,18.95299827936545,20.20350417600859,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,CPS-2F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,33.48029559999122,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a1,22,22,angstrom,1.0,18.95299827936545,20.20350417600859,18.95299827936545,20.20350417600859,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,CPS-3F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,34.4193845000118,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent continuous,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,35.259798699989915,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent discrete,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,43.96109089998936,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-2F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,37.002797099994496,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-3F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,37.178511400008574,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent continuous,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,28.88213169999653,,1,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent discrete,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,36.22241339999891,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-2F,1,False,diagnostic single execution,startup_resource_limit,none,Worker exit 1; see protein_1o7j.a__1hfj.c_a1_CPS-2F.log; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,39.63131089998933,,0,Independent continuous,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-3F,1,False,diagnostic single execution,time_limit,none,Isolated worker resource cap; not a proof of infeasibility; launcher-only monitor: child memory unmeasured. No solution recovered; not repeated.,20.0,512,39.62438459999976,,1,Independent discrete,True,False,unavailable: original launcher-only monitor invalid,,,,,,,,,,,,
