alias,pair,domain,nA,nB,common_comparison_set,subsequent_search_resource_limited,preprocessing
H1,AL031854__AL011991,hurricane,25,25,True,False,Full supplied hurricane tracks; no additional subsampling
H2,EP021949__EP031949,hurricane,25,25,True,False,Full supplied hurricane tracks; no additional subsampling
H3,EP111954__EP021984,hurricane,25,82,True,False,Full supplied hurricane tracks; no additional subsampling
H4,AL072006__AL011900,hurricane,62,81,False,True,Full supplied hurricane tracks; no additional subsampling
H5,EP012014__EP212006,hurricane,30,29,True,False,Full supplied hurricane tracks; no additional subsampling
H6,AL182011__AL061926,hurricane,31,27,True,False,Full supplied hurricane tracks; no additional subsampling
H7,EP141997__EP092000,hurricane,34,25,True,False,Full supplied hurricane tracks; no additional subsampling
H8,EP211990__EP152008,hurricane,26,38,True,False,Full supplied hurricane tracks; no additional subsampling
H9,EP041981__EP211992,hurricane,25,40,True,False,Full supplied hurricane tracks; no additional subsampling
H10,AL181887__AL091888,hurricane,26,64,True,False,Full supplied hurricane tracks; no additional subsampling
H11,EP172000__EP061970,hurricane,32,29,True,False,Full supplied hurricane tracks; no additional subsampling
H12,EP111995__EP032014,hurricane,41,41,True,False,Full supplied hurricane tracks; no additional subsampling
H13,EP061986__EP131991,hurricane,38,70,True,False,Full supplied hurricane tracks; no additional subsampling
H14,EP092002__EP171994,hurricane,26,31,True,False,Full supplied hurricane tracks; no additional subsampling
H15,AL091944__AL031917,hurricane,29,35,True,False,Full supplied hurricane tracks; no additional subsampling
H16,EP101985__EP151985,hurricane,37,38,True,False,Full supplied hurricane tracks; no additional subsampling
H17,EP031965__EP141991,hurricane,25,42,True,False,Full supplied hurricane tracks; no additional subsampling
H18,AL061921__AL101926,hurricane,43,57,False,True,Full supplied hurricane tracks; no additional subsampling
H19,EP041976__EP041984,hurricane,30,48,True,False,Full supplied hurricane tracks; no additional subsampling
H20,EP081967__EP101980,hurricane,25,26,True,False,Full supplied hurricane tracks; no additional subsampling
H21,EP031994__EP031978,hurricane,29,35,True,False,Full supplied hurricane tracks; no additional subsampling
H22,EP021985__EP181984,hurricane,41,36,True,False,Full supplied hurricane tracks; no additional subsampling
H23,AL101886__AL051950,hurricane,25,38,True,False,Full supplied hurricane tracks; no additional subsampling
H24,AL091947__AL011953,hurricane,36,53,True,False,Full supplied hurricane tracks; no additional subsampling
H25,EP072011__EP092011,hurricane,26,50,True,False,Full supplied hurricane tracks; no additional subsampling
H26,AL171980__AL112009,hurricane,25,31,True,False,Full supplied hurricane tracks; no additional subsampling
H27,AL102008__AL061989,hurricane,33,36,True,False,Full supplied hurricane tracks; no additional subsampling
H28,EP102002__EP042014,hurricane,31,42,True,False,Full supplied hurricane tracks; no additional subsampling
H29,EP032000__EP041975,hurricane,27,41,True,False,Full supplied hurricane tracks; no additional subsampling
H30,EP081993__EP121989,hurricane,56,45,True,False,Full supplied hurricane tracks; no additional subsampling
H31,EP032006__EP201992,hurricane,27,69,True,False,Full supplied hurricane tracks; no additional subsampling
H32,AL022011__AL071977,hurricane,29,27,True,False,Full supplied hurricane tracks; no additional subsampling
H33,EP101972__EP141967,hurricane,29,37,True,False,Full supplied hurricane tracks; no additional subsampling
P1,1o7j.a__1d9q.d,protein,22,22,True,False,w=16; endpoint-preserving protein subsampling
P2,1o7j.a__1hfj.c,protein,22,22,True,False,w=16; endpoint-preserving protein subsampling
P3,1o7j.a__1qd1.b,protein,22,22,True,False,w=16; endpoint-preserving protein subsampling
P4,1o7j.a__4eca.d,protein,22,22,True,False,w=16; endpoint-preserving protein subsampling
P5,1o7j.a__1toh.a,protein,22,22,True,False,w=16; endpoint-preserving protein subsampling
P6,1o7j.a__4eca.b,protein,22,22,True,False,w=16; endpoint-preserving protein subsampling
P7,1o7j.a__4eca.c,protein,22,22,True,False,w=16; endpoint-preserving protein subsampling
P9,1o7j.a__1wls.a,protein,22,22,True,False,w=16; endpoint-preserving protein subsampling
P10,1o7j.a__2eq5.a,protein,22,15,True,False,w=16; endpoint-preserving protein subsampling
P11,1o7j.a__2zsk.a,protein,22,16,True,False,w=16; endpoint-preserving protein subsampling
P12,1o7j.a__1zq1.a,protein,22,29,True,False,w=16; endpoint-preserving protein subsampling
P14,1o7j.a__2fep.a,protein,22,18,True,False,w=16; endpoint-preserving protein subsampling
