domain,pair,nA,nB,input_file,input_sha256,inherited,units,subsampling,alignment,basin,individuals,features,pair_alias,delta1,delta2,delta3
protein,1o7j.a__1d9q.d,22,22,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,True,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '1d9q']","[np.float64(3.091042453358316), np.float64(0.0), np.float64(0.10189298468465235), np.float64(0.0057776121369231236)]",P1,9.476499139682725,10.101752088004297,47.96448297438429
protein,1o7j.a__1hfj.c,22,22,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,True,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '1hfj']","[np.float64(3.091042453358316), np.float64(0.0), np.float64(0.08870624089209793), np.float64(7.324767421835017e-05)]",P2,9.476499139682725,9.537881702673165,0.9993252723713152
protein,1o7j.a__1qd1.b,22,22,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,False,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '1qd1']","[np.float64(3.091042453358316), np.float64(0.0), np.float64(0.05818031930629271), np.float64(0.00736127613281789)]",P3,9.476499139682725,10.890797290213742,35.978995691931146
protein,1o7j.a__4eca.d,22,22,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,False,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '4eca']","[np.float64(3.091042453358316), np.float64(0.0), np.float64(0.08954940034295641), np.float64(0.004551817695411999)]",P4,9.476499139682725,8.78100160685718,15.364049921814235
protein,1o7j.a__1toh.a,22,22,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,False,angstrom,existing w=16; 325 supplied points -> 22,existing Kabsch to 1o7j.a,,"['1o7j', '1toh']","[np.float64(3.091042453358316), np.float64(0.0), np.float64(0.10600026296780272), np.float64(0.0053107038527976085)]",P5,9.476499139682725,10.346278485309297,37.12846564295379
hurricane,AL031854__AL011991,25,25,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,True,projected km,none; full supplied track,supplied common basin coordinates; no alignment,atlantic,"['AL031854', 'AL011991']","[np.float64(3.2188758248682006), np.float64(0.0), np.float64(0.7379658080645005), np.float64(0.09640061137208297)]",H1,85.27599670409697,82.01596010094092,426.1842176844774
hurricane,EP021949__EP031949,25,25,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,True,projected km,none; full supplied track,supplied common basin coordinates; no alignment,pacific,"['EP021949', 'EP031949']","[np.float64(3.2188758248682006), np.float64(0.0), np.float64(0.8909414761803294), np.float64(0.2597469741417784)]",H2,40.25507378715167,36.48157080151773,565.3421428246969
hurricane,EP111954__EP021984,25,82,output\paper_v1\expanded_comparison\inputs\hurricane_EP111954__EP021984.npz,f6f69328452dbeb2c9b701abdb3760ce7a95f9de1a53ed1dcbd1261aa4023d20,False,projected km,none; full supplied track,supplied common basin coordinates; no alignment,pacific,"['EP111954', 'EP021984']","[np.float64(4.406719247264253), np.float64(1.1878434223960523), np.float64(0.8415873085651769), np.float64(0.024185614791877082)]",H3,62.59116991555275,21.5881714404469,411.7453872318912
hurricane,AL072006__AL011900,62,81,output\paper_v1\expanded_comparison\inputs\hurricane_AL072006__AL011900.npz,d1c7ae57c312b1c5a78b6a809f85412f79e79e9cffd6209bda018544b7cd301f,False,projected km,none; full supplied track,supplied common basin coordinates; no alignment,atlantic,"['AL072006', 'AL011900']","[np.float64(4.394449154672439), np.float64(0.2673147696273472), np.float64(0.4683266220041641), np.float64(0.18070207212625938)]",H4,83.40813893161072,81.15849951823131,2969.784643498885
hurricane,EP012014__EP212006,30,29,output\paper_v1\expanded_comparison\inputs\hurricane_EP012014__EP212006.npz,b1ea8828119b71374fb3be9b07b5e3d7cd5ed7f81701351d279a01dd32677ddf,False,projected km,none; full supplied track,supplied common basin coordinates; no alignment,pacific,"['EP012014', 'EP212006']","[np.float64(3.4011973816621555), np.float64(0.033901551675681416), np.float64(0.5313800185411821), np.float64(0.5557457631933547)]",H5,22.088133009069068,20.7733948238426,628.8969388779135
