table,A_printed,B_printed,delta1,delta2,delta3,paper_CPS3F_plus,paper_CPS3F
1,107j.a,1hfj.c,4,4,1,109,83
1,107j.a,1qd1.b,4,4,21,126,82
1,107j.a,1toh,4,4,21,149,84
1,107j.a,4eca.c,4,4,6,111,83
1,107j.a,1d9q.d,4,4,20,130,82
1,107j.a,4cea.b,4,4,5,111,82
1,107j.a,4cea.d,4,4,5,113,84
2,107j.a,1hfj.c,12,12,1,26,15
2,107j.a,1qd1.b,15,15,12,21,11
2,107j.a,1toh,16,16,13,22,11
2,107j.a,4eca.c,12,12,3,27,16
2,107j.a,1d9q.d,15,15,13,24,12
2,107j.a,4cea.b,12,12,3,26,15
2,107j.a,4cea.d,12,12,3,32,16
3,107j.a,3ntx.a,10,10,5,39,25
3,107j.a,1wls.a,15,13,6,22,14
3,107j.a,2eq5.a,8,6,19,58,32
3,107j.a,2zsk.a,12,8,17,38,19
3,107j.a,1zq1.a,10,12,19,45,23
3,107j.a,3jq0.a,12,12,26,70,36
3,107j.a,2fep.a,12,12,10,11,6
