domain,pair,case,nA,nB,units,alpha,s_A,s_B,delta1,delta2,delta3,input_file
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a0.5,22,22,angstrom,0.5,18.95299827936545,20.20350417600859,9.476499139682725,10.101752088004295,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz
protein,1o7j.a__1d9q.d,protein:1o7j.a__1d9q.d:a1,22,22,angstrom,1.0,18.95299827936545,20.20350417600859,18.95299827936545,20.20350417600859,47.96448297438429,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713151,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713151,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.481570801517734,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a1,25,25,projected km,1.0,80.51014757430335,72.96314160303547,80.51014757430335,72.96314160303547,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz
