pair,chain_A,chain_B,frame,w,superimposed,n_A,n_B,n_before,edge_mean,dF_discrete,dF_continuous,feasibility_floor,delta3,feasible,endpoint_floor,delta1_alpha1,delta1_alpha2,delta1_alpha4
1o7j.a/1hfj.c,1o7j.a,1hfj.c,deposited,1,False,325,325,325,3.81,54.87,54.87,45.548,55.0,True,45.548,3.81,7.62,15.24
1o7j.a/4eca.b,1o7j.a,4eca.b,deposited,1,False,325,325,325,3.811,59.431,59.431,55.432,60.0,True,55.432,3.811,7.622,15.243
1o7j.a/4eca.c,1o7j.a,4eca.c,deposited,1,False,325,325,325,3.81,60.525,60.525,46.308,61.0,True,46.308,3.81,7.62,15.239
1o7j.a/4eca.d,1o7j.a,4eca.d,deposited,1,False,325,325,325,3.811,54.07,54.07,45.293,55.0,True,45.293,3.811,7.621,15.242
1o7j.a/1qd1.b,1o7j.a,1qd1.b,deposited,1,False,325,325,325,3.81,49.351,49.351,42.585,50.0,True,42.585,3.81,7.62,15.239
1o7j.a/1toh.a,1o7j.a,1toh.a,deposited,1,False,325,325,325,3.847,63.03,63.03,41.156,64.0,True,41.156,3.847,7.693,15.386
1o7j.a/1d9q.d,1o7j.a,1d9q.d,deposited,1,False,325,325,325,3.847,84.031,84.031,84.031,85.0,True,84.031,3.847,7.693,15.386
1o7j.a/1hfj.c,1o7j.a,1hfj.c,aligned,1,True,325,325,325,3.81,1.147,1.111,0.495,2.0,True,0.495,3.81,7.62,15.24
1o7j.a/4eca.b,1o7j.a,4eca.b,aligned,1,True,325,325,325,3.811,6.875,6.875,4.39,7.0,True,4.39,3.811,7.622,15.243
1o7j.a/4eca.c,1o7j.a,4eca.c,aligned,1,True,325,325,325,3.81,6.976,6.976,4.522,7.0,True,4.522,3.81,7.62,15.239
1o7j.a/4eca.d,1o7j.a,4eca.d,aligned,1,True,325,325,325,3.811,6.863,6.863,4.452,7.0,True,4.452,3.811,7.621,15.242
1o7j.a/1qd1.b,1o7j.a,1qd1.b,aligned,1,True,325,325,325,3.81,35.979,35.979,35.979,36.0,True,35.979,3.81,7.62,15.239
1o7j.a/1toh.a,1o7j.a,1toh.a,aligned,1,True,325,325,325,3.847,37.128,37.128,37.128,38.0,True,37.128,3.847,7.693,15.386
1o7j.a/1d9q.d,1o7j.a,1d9q.d,aligned,1,True,325,325,325,3.847,47.964,47.965,47.964,48.0,True,47.964,3.847,7.693,15.386
1o7j.a/1hfj.c,1o7j.a,1hfj.c,deposited,2,False,163,163,325,6.067,54.87,54.87,45.548,55.0,True,45.548,6.067,12.135,24.269
1o7j.a/4eca.b,1o7j.a,4eca.b,deposited,2,False,163,163,325,6.046,60.068,60.066,55.432,61.0,True,55.432,6.046,12.092,24.185
1o7j.a/4eca.c,1o7j.a,4eca.c,deposited,2,False,163,163,325,6.056,60.525,60.525,46.308,61.0,True,46.308,6.056,12.112,24.224
1o7j.a/4eca.d,1o7j.a,4eca.d,deposited,2,False,163,163,325,6.062,53.904,53.904,45.293,54.0,True,45.293,6.062,12.123,24.247
1o7j.a/1qd1.b,1o7j.a,1qd1.b,deposited,2,False,163,163,325,6.056,48.082,48.082,42.585,49.0,True,42.585,6.056,12.112,24.224
1o7j.a/1toh.a,1o7j.a,1toh.a,deposited,2,False,163,163,325,6.035,63.03,63.03,41.156,64.0,True,41.156,6.035,12.069,24.139
1o7j.a/1d9q.d,1o7j.a,1d9q.d,deposited,2,False,163,163,325,6.085,84.031,84.031,84.031,85.0,True,84.031,6.085,12.169,24.338
1o7j.a/1hfj.c,1o7j.a,1hfj.c,aligned,2,True,163,163,325,6.067,1.018,0.983,0.495,2.0,True,0.495,6.067,12.135,24.269
1o7j.a/4eca.b,1o7j.a,4eca.b,aligned,2,True,163,163,325,6.046,6.275,5.909,4.39,7.0,True,4.39,6.046,12.093,24.185
1o7j.a/4eca.c,1o7j.a,4eca.c,aligned,2,True,163,163,325,6.056,6.024,5.704,4.522,7.0,True,4.522,6.056,12.112,24.224
1o7j.a/4eca.d,1o7j.a,4eca.d,aligned,2,True,163,163,325,6.062,6.1,5.519,4.452,7.0,True,4.452,6.062,12.123,24.247
1o7j.a/1qd1.b,1o7j.a,1qd1.b,aligned,2,True,163,163,325,6.056,35.979,35.979,35.979,36.0,True,35.979,6.056,12.112,24.224
1o7j.a/1toh.a,1o7j.a,1toh.a,aligned,2,True,163,163,325,6.035,37.128,37.128,37.128,38.0,True,37.128,6.035,12.069,24.139
1o7j.a/1d9q.d,1o7j.a,1d9q.d,aligned,2,True,163,163,325,6.085,47.964,47.965,47.964,48.0,True,47.964,6.085,12.169,24.338
1o7j.a/1hfj.c,1o7j.a,1hfj.c,deposited,4,False,82,82,325,9.228,56.552,56.552,45.548,57.0,True,45.548,9.228,18.456,36.912
1o7j.a/4eca.b,1o7j.a,4eca.b,deposited,4,False,82,82,325,9.241,60.333,60.216,55.432,61.0,True,55.432,9.241,18.482,36.964
1o7j.a/4eca.c,1o7j.a,4eca.c,deposited,4,False,82,82,325,9.238,59.678,59.678,46.308,60.0,True,46.308,9.238,18.476,36.953
1o7j.a/4eca.d,1o7j.a,4eca.d,deposited,4,False,82,82,325,9.233,52.415,52.415,45.293,53.0,True,45.293,9.233,18.466,36.933
1o7j.a/1qd1.b,1o7j.a,1qd1.b,deposited,4,False,82,82,325,9.197,47.554,47.005,42.585,48.0,True,42.585,9.197,18.394,36.788
1o7j.a/1toh.a,1o7j.a,1toh.a,deposited,4,False,82,82,325,9.017,64.207,64.207,41.156,65.0,True,41.156,9.017,18.034,36.068
1o7j.a/1d9q.d,1o7j.a,1d9q.d,deposited,4,False,82,82,325,9.357,84.031,84.031,84.031,85.0,True,84.031,9.357,18.713,37.427
1o7j.a/1hfj.c,1o7j.a,1hfj.c,aligned,4,True,82,82,325,9.228,1.018,1.018,0.495,2.0,True,0.495,9.228,18.456,36.912
1o7j.a/4eca.b,1o7j.a,4eca.b,aligned,4,True,82,82,325,9.241,7.093,6.606,4.39,8.0,True,4.39,9.241,18.482,36.964
1o7j.a/4eca.c,1o7j.a,4eca.c,aligned,4,True,82,82,325,9.238,7.33,6.556,4.522,8.0,True,4.522,9.238,18.476,36.953
1o7j.a/4eca.d,1o7j.a,4eca.d,aligned,4,True,82,82,325,9.233,7.119,6.477,4.452,8.0,True,4.452,9.233,18.466,36.933
1o7j.a/1qd1.b,1o7j.a,1qd1.b,aligned,4,True,82,82,325,9.197,35.979,35.979,35.979,36.0,True,35.979,9.197,18.394,36.788
1o7j.a/1toh.a,1o7j.a,1toh.a,aligned,4,True,82,82,325,9.017,37.128,37.128,37.128,38.0,True,37.128,9.017,18.034,36.068
1o7j.a/1d9q.d,1o7j.a,1d9q.d,aligned,4,True,82,82,325,9.357,47.964,47.965,47.964,48.0,True,47.964,9.357,18.714,37.427
1o7j.a/1hfj.c,1o7j.a,1hfj.c,deposited,8,False,42,42,325,14.594,54.179,54.179,45.548,55.0,True,45.548,14.594,29.189,58.378
1o7j.a/4eca.b,1o7j.a,4eca.b,deposited,8,False,42,42,325,14.653,57.747,57.117,55.432,58.0,True,55.432,14.653,29.306,58.612
1o7j.a/4eca.c,1o7j.a,4eca.c,deposited,8,False,42,42,325,14.673,57.413,57.413,46.308,58.0,True,46.308,14.673,29.346,58.691
1o7j.a/4eca.d,1o7j.a,4eca.d,deposited,8,False,42,42,325,14.65,54.508,54.508,45.293,55.0,True,45.293,14.65,29.3,58.599
1o7j.a/1qd1.b,1o7j.a,1qd1.b,deposited,8,False,42,42,325,14.965,47.554,47.48,42.585,48.0,True,42.585,14.965,29.93,59.861
1o7j.a/1toh.a,1o7j.a,1toh.a,deposited,8,False,42,42,325,14.741,65.31,65.193,41.156,66.0,True,41.156,14.741,29.483,58.965
1o7j.a/1d9q.d,1o7j.a,1d9q.d,deposited,8,False,42,42,325,14.637,84.031,84.031,84.031,85.0,True,84.031,14.637,29.275,58.55
1o7j.a/1hfj.c,1o7j.a,1hfj.c,aligned,8,True,42,42,325,14.594,0.999,0.959,0.495,1.0,True,0.495,14.594,29.189,58.377
1o7j.a/4eca.b,1o7j.a,4eca.b,aligned,8,True,42,42,325,14.653,11.903,11.799,4.39,12.0,True,4.39,14.653,29.306,58.611
1o7j.a/4eca.c,1o7j.a,4eca.c,aligned,8,True,42,42,325,14.673,11.96,11.845,4.522,12.0,True,4.522,14.673,29.346,58.691
1o7j.a/4eca.d,1o7j.a,4eca.d,aligned,8,True,42,42,325,14.65,11.778,11.648,4.452,12.0,True,4.452,14.65,29.3,58.599
1o7j.a/1qd1.b,1o7j.a,1qd1.b,aligned,8,True,42,42,325,14.965,35.979,35.979,35.979,36.0,True,35.979,14.965,29.93,59.861
1o7j.a/1toh.a,1o7j.a,1toh.a,aligned,8,True,42,42,325,14.741,37.128,37.128,37.128,38.0,True,37.128,14.741,29.483,58.965
1o7j.a/1d9q.d,1o7j.a,1d9q.d,aligned,8,True,42,42,325,14.637,47.964,47.965,47.964,48.0,True,47.964,14.637,29.275,58.55
1o7j.a/1hfj.c,1o7j.a,1hfj.c,deposited,16,False,22,22,325,19.014,56.87,56.87,45.548,57.0,True,45.548,19.014,38.029,76.058
1o7j.a/4eca.b,1o7j.a,4eca.b,deposited,16,False,22,22,325,18.269,55.964,55.964,55.432,56.0,True,55.432,18.269,36.539,73.078
1o7j.a/4eca.c,1o7j.a,4eca.c,deposited,16,False,22,22,325,18.306,57.413,57.413,46.308,58.0,True,46.308,18.306,36.613,73.226
1o7j.a/4eca.d,1o7j.a,4eca.d,deposited,16,False,22,22,325,18.258,54.508,54.508,45.293,55.0,True,45.293,18.258,36.515,73.03
1o7j.a/1qd1.b,1o7j.a,1qd1.b,deposited,16,False,22,22,325,20.367,47.554,47.554,42.585,48.0,True,42.585,20.367,40.735,81.469
1o7j.a/1toh.a,1o7j.a,1toh.a,deposited,16,False,22,22,325,19.823,62.106,61.795,41.156,63.0,True,41.156,19.823,39.646,79.291
1o7j.a/1d9q.d,1o7j.a,1d9q.d,deposited,16,False,22,22,325,19.578,84.031,84.031,84.031,85.0,True,84.031,19.578,39.156,78.313
1o7j.a/1hfj.c,1o7j.a,1hfj.c,aligned,16,True,22,22,325,19.014,0.999,0.999,0.495,1.0,True,0.495,19.014,38.029,76.058
1o7j.a/4eca.b,1o7j.a,4eca.b,aligned,16,True,22,22,325,18.269,15.185,14.884,4.39,16.0,True,4.39,18.269,36.539,73.078
1o7j.a/4eca.c,1o7j.a,4eca.c,aligned,16,True,22,22,325,18.306,15.338,14.869,4.522,16.0,True,4.522,18.306,36.613,73.226
1o7j.a/4eca.d,1o7j.a,4eca.d,aligned,16,True,22,22,325,18.258,15.364,14.66,4.452,16.0,True,4.452,18.258,36.515,73.03
1o7j.a/1qd1.b,1o7j.a,1qd1.b,aligned,16,True,22,22,325,20.367,35.979,35.979,35.979,36.0,True,35.979,20.367,40.735,81.469
1o7j.a/1toh.a,1o7j.a,1toh.a,aligned,16,True,22,22,325,19.823,37.128,37.128,37.128,38.0,True,37.128,19.823,39.646,79.291
1o7j.a/1d9q.d,1o7j.a,1d9q.d,aligned,16,True,22,22,325,19.578,47.964,47.965,47.964,48.0,True,47.964,19.578,39.157,78.313
