pair,domain,alpha,method,baseline,delta1,delta2,delta3,joint_status,baseline_status,matched_validated,k_joint,k_baseline,vertex_cost,baseline_coupling_feasible,joint_attempt,baseline_attempt
AL031854__AL011991,hurricane,0.5,CPS-2F,Independent continuous,85.27599670409697,82.01596010094092,426.1842176844774,validated,validated,True,5.0,5.0,0.0,False,output\paper_v1\unified_pilot_results\slots\03\attempts\slot03_5333325f78a44ccf8c803cb680ccb2c1,output\paper_v1\unified_pilot_results\slots\01\attempts\slot01_a21dc5c0aa204ab3b617cea12e9c1fdf
AL031854__AL011991,hurricane,0.5,CPS-3F,Independent discrete,85.27599670409697,82.01596010094092,426.1842176844774,validated,validated,True,20.0,20.0,0.0,True,output\paper_v1\unified_pilot_results\slots\04\attempts\slot04_932e5573922349258233e40f17b3a4ad,output\paper_v1\unified_pilot_results\slots\02\attempts\slot02_be1a32ff67984f64be5a5df446945b5e
AL031854__AL011991,hurricane,1.0,CPS-2F,Independent continuous,170.55199340819394,164.03192020188183,426.1842176844774,transition_budget_limit,validated,False,,4.0,,False,output\paper_v1\unified_pilot_results\slots\06\attempts\slot06_e21c1ee13d734cd8b59abf9e4a4a1dd4,output\paper_v1\unified_pilot_results\slots\08\attempts\slot08_e87dd29030384a46a88e8329ed149094
AL031854__AL011991,hurricane,1.0,CPS-3F,Independent discrete,170.55199340819394,164.03192020188183,426.1842176844774,validated,validated,True,16.0,16.0,0.0,True,output\paper_v1\unified_pilot_results\slots\07\attempts\slot07_61a62b3628834eafbcd97bd272a0369e,output\paper_v1\unified_pilot_results\slots\05\attempts\slot05_0c387ea78eff44e9945f07128b393bb1
EP021949__EP031949,hurricane,0.5,CPS-2F,Independent continuous,40.25507378715167,36.48157080151773,565.3421428246969,validated,validated,True,6.0,5.0,1.0,False,output\paper_v1\unified_pilot_results\slots\09\attempts\slot09_e46deb0bcdd14153a890b48a67dfe8ee,output\paper_v1\unified_pilot_results\slots\11\attempts\slot11_779efee65c1c4da48452a50487b13fb4
EP021949__EP031949,hurricane,0.5,CPS-3F,Independent discrete,40.25507378715167,36.48157080151773,565.3421428246969,validated,validated,True,25.0,25.0,0.0,True,output\paper_v1\unified_pilot_results\slots\10\attempts\slot10_9c3ce8eb1cc545e1b9833ac08e21c34d,output\paper_v1\unified_pilot_results\slots\12\attempts\slot12_cbb981900e99447d9afd681e05358355
EP021949__EP031949,hurricane,1.0,CPS-3F,Independent discrete,80.51014757430335,72.96314160303547,565.3421428246969,validated,validated,True,15.0,15.0,0.0,True,output\paper_v1\unified_pilot_results\slots\13\attempts\slot13_288bd832f6b34a6ca19d5e091f46554e,output\paper_v1\unified_pilot_results\slots\15\attempts\slot15_452824b437124977b5f90387d2ceee8f
EP021949__EP031949,hurricane,1.0,CPS-2F,Independent continuous,80.51014757430335,72.96314160303547,565.3421428246969,validated,validated,True,4.0,4.0,0.0,False,output\paper_v1\unified_pilot_results\slots\16\attempts\slot16_717d93cece42448796adbcb4b4004ad9,output\paper_v1\unified_pilot_results\slots\14\attempts\slot14_611e60f8a5fe4cb1ad7a48a443a2692b
1o7j.a__1d9q.d,protein,0.5,CPS-2F,Independent continuous,9.476499139682725,10.101752088004297,47.96448297438429,validated,validated,True,16.0,16.0,0.0,True,output\paper_v1\unified_pilot_results\slots\19\attempts\slot19_67a95ddd348341d08fd3a07c99191bd7,output\paper_v1\unified_pilot_results\slots\17\attempts\slot17_8cc2d653a53341719f762049559f92f0
1o7j.a__1d9q.d,protein,0.5,CPS-3F,Independent discrete,9.476499139682725,10.101752088004297,47.96448297438429,validated,validated,True,20.0,20.0,0.0,True,output\paper_v1\unified_pilot_results\slots\20\attempts\slot20_e0ee0e87e6cf44b8b6e3f58388474666,output\paper_v1\graph_only_v2\attempts\C_8c679d9e32f84779ab0c2bea3386850e
