path,sha256
notebooks_paper\00_data_and_protocol.ipynb,da3779865429e74ae9cf9faec06c34ebd3b9bd3b6e3f73fa785b82b242b32ef0
notebooks_paper\01_correctness.ipynb,e402447076903eb6eed25ef22225034850c5d468b7c319defcbff29869295058
notebooks_paper\02_proteins.ipynb,43374a3fa6a0c75bd34cea1a60b839ba156bfe44e95f32d4459bf6888f14f473
notebooks_paper\03_hurricanes.ipynb,8875a9ec92ef22e649d1e74d0da4100ce5c4144d21b8a1519fb88d20ba2d65b5
notebooks_paper\audit_setup.py,f93d2b812120221d53c1d68e60047d8ece64ec9bc165a44c72593918df607025
notebooks_paper\build_notebooks.py,6fffb3aa2b76ef74bc2b19f7463f55c9f41bf271fd0a49bb694db3b5e68e1778
notebooks_paper\correctness_checks.py,fa369404d6d3192aa1a9451ab82f6e2d550ee941307f07a80d61f4a0ad0c4f1e
notebooks_paper\execute_stage1.py,7c0a2baed2c960960cecdc403eee07e41e84a83f846e28f5c91271a8f2631394
notebooks_paper\finalize_stage1.py,68ca01669c72885073c23226366a4eb4a68176700a43b2c5c9e747d617645748
notebooks_paper\final_audit.py,8ef40271af193d0098712057c4c635456a9ce903aecaee0055809c65c7116b57
notebooks_paper\finish_documentation.py,a3b4f9c257cb51cb03e0ec331c0bc3d76623a502313ef31b264df47d76522b96
notebooks_paper\inspect_stage1.py,e72a83c1c45b4317004b928fc5b423992dbd4741b340d9d65e2beae5527717de
notebooks_paper\paper_core.py,5c83abf643249effbddc2c1ac1515388ae60144fcec367245ffe0b0aef842876
notebooks_paper\pilot_worker.py,2f029a0badda2919799e8797d6d288a0c27cde0a11ff99e2504ceb0a512b993c
notebooks_paper\README.md,176fc3093eb3be98f4f22ea831efab0e93dab58d106ff4b0887a975f0f00846e
notebooks_paper\refresh_saved_notebooks.py,6615053176b7071682aa74762acba484775e52a118159de6e3b45b207e519da5
notebooks_paper\repair_resource_reporting.py,cc8e5d2b0dd1f27d07c6e354df29828e4d21ff234c354cc39507eee84e78de16
notebooks_paper\stop_own_pilot.py,53e9bdb5ee77a28ee2b71f4d57e8bda8fe0750f290c416cc512d2b0752f82a47
output\algorithm_checks.json,4af30cbaeff672ddb15fbede9eb16e667ae5e4004f1e86846b5cc5cbbd78327d
output\chain_breaks.csv,6967407f87a539e271cf22257517cff1cca5c3885a20f01ab248d91fc2e29f41
output\identifier_audit.csv,a093ede40f8ace18883fa62c2fadc9122141075d5ce16227943b336bd68e247b
output\missing_residues.csv,a4927b52789d0c597dbbdd8d13cfc8877cf8941fad61069d1f3a38e34d43156d
output\pair_frame_diagnostics.csv,3175504bde85a85bb7bfba0c69da0c9ae40d183e309f75dd0494ecbf8ffb3837
output\pair_jobs.json,5a391e082655254550238a8b59081ecd82b91cfa096acf626c8242d2ed47f542
output\paper_experiments.csv,fa061a0a303dddaeaa6206f302a0cf5b3e42484081b5516370f989532e702cea
