pair,pair_alias,domain,fidelity,cohort,baseline_k,joint_k,delta_k,baseline_coupling_ratio,joint_coupling_ratio,equal_k_coupling_repair,baseline_status,joint_status,baseline_source,joint_source
1o7j.a__1d9q.d,P1,protein,continuous,original alpha0.5 single observation,16.0,16.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\unified_pilot_results\slots\17\attempts\slot17_8cc2d653a53341719f762049559f92f0,output\paper_v1\unified_pilot_results\slots\19\attempts\slot19_67a95ddd348341d08fd3a07c99191bd7
1o7j.a__1d9q.d,P1,protein,discrete,original alpha0.5 single observation,20.0,20.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\graph_only_v2\attempts\C_8c679d9e32f84779ab0c2bea3386850e,output\paper_v1\unified_pilot_results\slots\20\attempts\slot20_e0ee0e87e6cf44b8b6e3f58388474666
1o7j.a__1hfj.c,P2,protein,continuous,original alpha0.5 single observation,16.0,16.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\unified_pilot_results\slots\27\attempts\slot27_3abe46c8e95b4cdd96c9b8eb7f451478,output\paper_v1\unified_pilot_results\slots\25\attempts\slot25_e5ce743da5d4474f8086789aa234a723
1o7j.a__1hfj.c,P2,protein,discrete,original alpha0.5 single observation,20.0,20.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\unified_pilot_results\slots\28\attempts\slot28_1530208469eb432cb8bc302cdc0c09fa,output\paper_v1\unified_pilot_results\slots\26\attempts\slot26_dd70540fbfa346d9babebd31da1d1eae
1o7j.a__1qd1.b,P3,protein,continuous,original alpha0.5 single observation,20.0,20.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\expanded_comparison\slots\33\attempts\expanded33_cd40b1cb287c4293b17a8c217c343bff,output\paper_v1\expanded_comparison\slots\35\attempts\expanded35_4fea86cbd8a54e25b1f0959f61809ba3
1o7j.a__1qd1.b,P3,protein,discrete,original alpha0.5 single observation,20.0,20.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\expanded_comparison\slots\34\attempts\expanded34_e309439661e84f828e3ac66dc0ee042a,output\paper_v1\expanded_comparison\slots\36\attempts\expanded36_b0a6256809594ea6b52aaa2f32fc4ee9
1o7j.a__4eca.d,P4,protein,continuous,original alpha0.5 single observation,18.0,18.0,0.0,1.1727608268838183,1.0,True,validated,validated,output\paper_v1\expanded_comparison\slots\41\attempts\expanded41_da3bf933c57344b48c76eae72c26fcc6,output\paper_v1\expanded_comparison\slots\43\attempts\expanded43_11cd981519ea4c5fb33267ed28507b86
1o7j.a__4eca.d,P4,protein,discrete,original alpha0.5 single observation,21.0,21.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\expanded_comparison\slots\42\attempts\expanded42_fd26c863622e455a9c4a6630250ec9e8,output\paper_v1\expanded_comparison\slots\44\attempts\expanded44_6906d978a7af4dbaac36afccfffbb772
1o7j.a__1toh.a,P5,protein,continuous,original alpha0.5 single observation,16.0,16.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\expanded_comparison\slots\49\attempts\expanded49_7091dabdfc5f49dda51a71a173419874,output\paper_v1\expanded_comparison\slots\51\attempts\expanded51_72e5e9926d3848e6b4761ef7165f51b5
1o7j.a__1toh.a,P5,protein,discrete,original alpha0.5 single observation,21.0,21.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\expanded_comparison\slots\50\attempts\expanded50_7157e7e5cb1a4ec9aff399f10b78208c,output\paper_v1\expanded_comparison\slots\52\attempts\expanded52_c4efe3d705014dad820831f4da89447d
